features.0.0.weight,features.0.1.weight,features.0.1.bias,features.1.conv.0.weight,features.1.conv.1.weight,features.1.conv.1.bias,features.1.conv.3.weight,features.1.conv.3.bias,features.1.conv.3.mask,features.1.conv.4.weight,features.1.conv.4.bias,features.2.conv.0.weight,features.2.conv.0.bias,features.2.conv.0.mask,features.2.conv.1.weight,features.2.conv.1.bias,features.2.conv.3.weight,features.2.conv.4.weight,features.2.conv.4.bias,features.2.conv.6.weight
0.044436615,0.16078076,0.35864404,0.030826172,0.5905543,1.3784208,-0.29896474,0.0,1.0,-0.3161461,1.2024969,-0.014852338,0.0,1.0,0.47262794,0.021005688,-0.12962788,0.3281004,0.20072755,0.022738265
-0.033906695,0.06503105,-0.14623404,0.040842522,0.22340398,0.1472657,0.023295213,0.0,1.0,0.27171317,0.51351154,-0.37012953,0.0,1.0,0.50321907,-0.042603023,-0.24917056,0.24378987,0.21040641,0.11765875
-0.13749442,0.17878342,0.4378669,0.0141865555,0.75555646,1.4864202,0.6154252,0.0,1.0,0.21772571,-1.768124,-0.02411258,0.0,1.0,0.5116471,-0.04319634,-0.11045464,0.20388104,0.19235858,-0.021239398
-0.09725972,0.011125683,-0.08189615,0.014476979,0.60048914,0.05143647,-0.002189521,0.0,1.0,-0.20690605,-1.6833866,-0.10271244,0.0,1.0,0.3336959,0.34988353,-0.16532512,0.25529873,0.02322486,-0.11351275
0.22345585,0.007871721,-0.09607676,-0.9523871,0.40066126,-0.15567373,0.03578712,0.0,1.0,0.25442457,0.6445991,-0.016425086,0.0,1.0,0.26231247,0.32175404,-0.23873574,0.32114717,-0.006978812,0.04613887
0.8511649,0.31662345,0.6456408,0.26917604,0.31588143,0.87902117,0.007855187,0.0,1.0,-0.21140929,-2.5044758,0.26499695,0.0,1.0,0.46509558,0.031666618,-0.16825233,0.26733232,0.24286819,-0.083301194
0.04801596,0.076070875,0.3484904,0.02135738,0.6463097,0.88304454,-0.07898222,0.0,1.0,-0.18098572,-3.068645,0.23412204,0.0,1.0,0.28468674,0.32205743,0.0043441355,0.27903727,0.0017168394,0.027554689
-0.18947016,0.07256443,0.2071772,-0.03153473,0.7382365,1.6455071,0.4466912,0.0,1.0,0.2680604,-1.8821853,0.23031126,0.0,1.0,0.65446573,0.15280485,0.0015524665,0.7919171,-0.161326,0.08050393
-0.68665785,0.027125847,-0.10199033,0.10135767,0.11915058,0.14549786,-0.016247366,0.0,1.0,-0.2749114,0.4015068,-0.16238126,0.0,1.0,0.10039817,0.015798246,0.007642279,0.0036632814,-0.013907727,-0.01856519
0.076186195,0.015922429,-0.0702074,-0.05383137,0.084334515,0.16289063,0.008300461,0.0,1.0,0.12537953,5.064725,-0.3908049,0.0,1.0,0.118198715,0.43117088,0.03636165,0.4415339,-0.031696316,0.2153172
-0.07370725,0.07283212,-0.12922464,-0.05819346,0.0010713574,-0.0009788725,-0.0009601663,0.0,1.0,0.17948946,-0.6802351,-0.06669754,0.0,1.0,0.4999327,0.13017483,0.12282875,0.24881443,0.019777553,0.18905282
-0.12433287,0.15954047,0.58029807,-0.07114916,1.0594941,0.7300209,-0.009031528,0.0,1.0,0.2185347,1.3807083,0.15587331,0.0,1.0,0.45136973,-0.04829881,0.17116044,0.18838732,0.58515614,-0.19004016
-0.2003959,0.17265701,0.48833057,-0.051065344,1.275271,0.875811,-0.062879205,0.0,1.0,-0.172149,-0.44812694,-0.16904096,0.0,1.0,0.4871115,0.03744077,-0.051086247,0.27999678,0.2509927,-0.12363113
0.38382614,0.22022869,0.6970618,-0.05268727,0.3097089,0.7511926,-0.088573486,0.0,1.0,0.23917924,0.3451918,-0.03293652,0.0,1.0,0.4416971,0.03691948,0.1699825,0.26439688,0.21979307,-0.25964025
1.3975881,0.09321051,-0.12635282,-0.065656595,5.606559,-0.025240477,0.0024847072,0.0,1.0,0.27687433,1.0068078,-0.12741409,0.0,1.0,0.41241962,0.025272587,0.2877319,0.20267445,0.45834383,-0.056505777
0.13306917,0.020790044,0.078323156,-0.046611372,0.82188916,1.3816482,-0.6765732,0.0,1.0,0.19544531,5.6424866,-0.037773963,0.0,1.0,0.32861954,0.32751822,0.012264639,0.28348765,0.16515154,-0.15213847
-0.36720487,0.13355602,0.35191274,-0.05204298,0.5597484,1.2247545,0.24697995,0.0,1.0,0.0,0.0,-0.06546513,0.0,1.0,0.40842906,0.19362089,0.13114399,0.26294398,-0.002322698,-0.26788104
-1.1923693,0.03691419,-0.16191024,-0.05069991,1.1701844,-0.0075455722,-0.020736229,0.0,1.0,0.0,0.0,-0.032958675,0.0,1.0,0.28135386,0.33619794,0.2095751,0.30309853,0.015339308,-0.24337925
-0.001227196,0.21350816,0.50855374,-0.0026294454,0.32951507,1.1364348,-0.2100784,0.0,1.0,0.0,0.0,0.35596737,0.0,1.0,0.52137816,-0.0052768607,0.15563694,0.33580145,0.042756174,0.04982437
0.00195104,0.096569136,0.40938234,-0.014254498,0.52693456,1.2653552,0.4474591,0.0,1.0,0.0,0.0,-0.0005104272,0.0,1.0,0.32308337,0.27415445,0.1303503,0.27595887,0.021186238,-0.1863339
-0.07792891,0.060545865,-0.15348418,0.033114325,0.55879486,-0.0027511367,-0.011513086,0.0,1.0,0.0,0.0,0.12152346,0.0,1.0,0.6194658,0.13818264,0.10069794,0.42985213,0.03521663,0.24956085
-0.0032213083,0.27891418,0.4508529,0.035790797,0.2471257,1.0171118,0.03720371,0.0,1.0,0.0,0.0,0.07535619,0.0,1.0,0.49236298,0.061675075,0.20274019,0.28404891,0.19636025,0.20191193
0.07336835,0.058620844,0.1026266,0.8266751,0.002568482,-0.0014970523,-0.0003123699,0.0,1.0,0.0,0.0,0.102078676,0.0,1.0,0.48625624,-0.023316557,0.34152204,0.23557018,0.36990094,0.15491287
0.44664252,0.2747838,0.62779087,-0.7240277,0.22392914,1.6247562,-0.019632183,0.0,1.0,0.0,0.0,0.22379439,0.0,1.0,0.1489851,0.387108,0.20001654,0.39659622,-0.0012015646,0.05359666
-0.01680682,0.00011336351,-0.009514398,-0.030238938,0.12591168,-0.09773945,-0.005427828,0.0,1.0,0.0,0.0,0.6707635,0.0,1.0,0.3963997,0.15872791,0.08953236,0.29606232,0.00079665193,0.16024698
-0.056205045,0.061985295,-0.19399817,-0.0874574,0.09973497,0.22279473,0.03468331,0.0,1.0,0.0,0.0,-0.18696448,0.0,1.0,0.21447408,0.33365738,0.016069166,0.36790445,0.00057971705,0.16868408
-0.3944205,0.02225929,-0.053600244,-0.005159021,0.30084342,0.09058916,0.012803328,0.0,1.0,0.0,0.0,0.0052755317,0.0,1.0,0.2383775,0.33236682,0.006118808,0.29314652,0.036294732,-0.021438146
-0.0061014593,0.03193376,-0.106135115,0.05252258,0.5416645,-0.29242852,0.005526013,0.0,1.0,0.0,0.0,-0.016985418,0.0,1.0,0.36259142,-0.21832322,-0.06296519,-0.18048574,0.11165447,-0.049136408
0.005480207,0.07025134,-0.07243633,0.04302822,3.292707,0.3492213,0.0011906307,0.0,1.0,0.0,0.0,0.0015493699,0.0,1.0,0.5758254,-0.036013577,-0.34304395,0.48954755,-0.026023582,0.0498531
-0.010518632,0.14219896,-0.26356563,0.08466705,6.030697,-0.03138787,0.011413027,0.0,1.0,0.0,0.0,-0.10447731,0.0,1.0,0.39782235,0.22757109,0.10381085,0.22161476,0.07934889,-0.040299546
0.008081724,0.011588702,-0.0875781,-0.034070753,0.05770482,0.0851164,0.0009833482,0.0,1.0,0.0,0.0,-0.16654569,0.0,1.0,0.43385485,0.21591966,-0.2425091,0.25484213,0.2241036,-0.07719589
-0.013922798,0.21472472,0.47514123,0.014469821,0.48486724,1.264148,-0.0327607,0.0,1.0,0.0,0.0,-0.19321008,0.0,1.0,0.43419912,-0.03358423,-0.10932921,0.19192533,0.59038746,0.067336835
-0.026622152,0.0,0.0,-0.0030220326,0.0,0.0,-0.3539428,0.0,1.0,0.0,0.0,-0.18496631,0.0,1.0,0.49701357,0.066596046,0.30778864,0.26620117,0.07174303,0.29829514
-0.0038021463,0.0,0.0,0.07211133,0.0,0.0,-0.029501036,0.0,1.0,0.0,0.0,0.17363572,0.0,1.0,0.38970795,0.21981384,-0.0039661005,0.27994516,0.12136217,0.010263582
-0.0018611096,0.0,0.0,0.0037281993,0.0,0.0,0.34065703,0.0,1.0,0.0,0.0,0.17313674,0.0,1.0,0.6215612,0.025396604,0.23378055,0.57868415,-0.18191351,0.1416051
-0.004782166,0.0,0.0,-0.0030243006,0.0,0.0,0.008557336,0.0,1.0,0.0,0.0,0.3176095,0.0,1.0,0.6082854,-0.036842816,0.14021564,0.27519497,0.2586253,-0.19000553
-0.00026928636,0.0,0.0,-0.06255498,0.0,0.0,0.01735116,0.0,1.0,0.0,0.0,-0.14457986,0.0,1.0,0.61384314,-0.042622793,0.08253859,0.5685379,-0.12470716,0.31938347
0.008263315,0.0,0.0,-0.04991391,0.0,0.0,0.20810461,0.0,1.0,0.0,0.0,-0.1742408,0.0,1.0,1.2688016,0.21309005,-0.056891132,-0.07717348,0.095214225,0.06588985
-0.002442633,0.0,0.0,-0.095180646,0.0,0.0,0.22457245,0.0,1.0,0.0,0.0,0.15789855,0.0,1.0,0.48047826,0.11008492,-0.032073103,0.508532,0.22082856,-0.12915596
0.007923057,0.0,0.0,0.023658607,0.0,0.0,-0.77818793,0.0,1.0,0.0,0.0,-0.13774492,0.0,1.0,0.58758193,0.037542775,0.31283522,0.67400175,-0.28161377,-0.0052009914
-0.030870484,0.0,0.0,0.031579506,0.0,0.0,-0.0025877932,0.0,1.0,0.0,0.0,0.15405658,0.0,1.0,0.30935386,0.2759089,-0.26638073,0.3755024,-0.0038562673,0.053667285
-0.050076555,0.0,0.0,0.019054158,0.0,0.0,-0.02399182,0.0,1.0,0.0,0.0,-0.0871236,0.0,1.0,0.50844747,-0.033247627,-0.022948217,0.17547178,1.0131179,-0.20299818
