Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
BPDA,1686,False,0.704117476940155,8,SCP Default.csv,
BPDA,1686,False,0.7056604623794556,8,Trivial Default.csv,
BPDA,1686,True,0.6375108361244202,8,Base Model.csv,2.0
CW,1553,False,1.0370769132350688,9,SCP Default.csv,
CW,1553,False,0.2871262729167938,9,Trivial Default.csv,
CW,1553,True,0.6199401617050171,9,Base Model.csv,2.0
DIFGSM,1686,False,0.6623336672782898,8,SCP Default.csv,
DIFGSM,1686,False,0.6525243520736694,8,Trivial Default.csv,
DIFGSM,1686,True,0.6234604716300964,8,Base Model.csv,2.0
EOTPGD,1686,False,0.6795060634613037,8,SCP Default.csv,
EOTPGD,1686,False,0.6566463708877563,8,Trivial Default.csv,
EOTPGD,1686,True,0.6248572468757629,8,Base Model.csv,2.0
MIFGSM,1686,False,0.673443078994751,8,SCP Default.csv,
MIFGSM,1686,False,0.671069324016571,8,Trivial Default.csv,
MIFGSM,1686,True,0.6219756007194519,8,Base Model.csv,2.0
RFGSM,1686,False,0.6730753183364868,8,SCP Default.csv,
RFGSM,1686,False,0.6458705067634583,8,Trivial Default.csv,
RFGSM,1686,True,0.618350625038147,8,Base Model.csv,2.0
