Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,5096,fail,4.414922714233398,
DeepFool,260,True,2.790390729904175,8
DeepFool,9302,fail,5.126948833465576,8
DeepFool,9693,True,2.4846668243408203,6
DeepFool,9591,True,2.7466559410095215,1
DeepFool,1105,fail,3.445298910140991,1
DeepFool,668,fail,3.1385574340820312,1
DeepFool,9997,fail,3.327566146850586,1
DeepFool,591,True,0.0,8
DeepFool,6410,True,2.7449300289154053,8
DeepFool,5563,fail,4.008648872375488,8
DeepFool,1558,True,2.4101946353912354,0
DeepFool,599,fail,3.737514019012451,0
DeepFool,878,True,1.233612298965454,8
DeepFool,4932,fail,5.160669326782227,8
DeepFool,4734,fail,3.6050243377685547,8
DeepFool,2934,False,2.785989284515381,9
DeepFool,7372,True,2.384735345840454,5
DeepFool,632,False,2.263444185256958,2
DeepFool,7961,fail,4.94228458404541,2
DeepFool,6972,fail,4.099234580993652,2
DeepFool,4501,True,2.18245005607605,3
DeepFool,70,fail,4.908390522003174,3
DeepFool,6557,True,1.9345437288284302,0
DeepFool,4922,True,2.8537750244140625,8
DeepFool,2437,True,0.5890316963195801,2
DeepFool,6132,fail,3.9426863193511963,2
DeepFool,4204,fail,3.7787468433380127,2
DeepFool,306,fail,3.4242584705352783,2
DeepFool,1469,True,1.4818602800369263,3
DeepFool,2743,True,1.2870852947235107,5
DeepFool,3152,fail,3.1205034255981445,5
DeepFool,7439,False,2.697784423828125,7
DeepFool,7848,False,2.460120677947998,2
DeepFool,2869,True,1.7369436025619507,8
DeepFool,6971,False,1.4291552305221558,0
DeepFool,5452,fail,3.730471611022949,0
DeepFool,9247,fail,4.0872955322265625,0
DeepFool,9425,False,2.7318525314331055,0
DeepFool,9386,fail,4.065639019012451,0
DeepFool,4717,fail,4.087325096130371,0
DeepFool,7608,fail,3.389458417892456,0
DeepFool,3142,fail,3.4214375019073486,0
DeepFool,3747,True,2.7726054191589355,1
DeepFool,6991,fail,3.12021541595459,1
DeepFool,3104,fail,3.4898502826690674,1
DeepFool,9222,fail,3.8269999027252197,1
DeepFool,7450,fail,4.333280563354492,1
DeepFool,4603,fail,3.177168130874634,1
DeepFool,7316,fail,3.8300178050994873,1
DeepFool,3292,True,2.811466693878174,7
DeepFool,8321,fail,3.385336399078369,7
DeepFool,5564,True,0.917017936706543,4
DeepFool,6266,False,2.92038631439209,2
DeepFool,3058,fail,3.402068853378296,2
DeepFool,5917,fail,4.7830705642700195,2
DeepFool,5445,True,2.3554062843322754,5
DeepFool,4664,fail,3.189751625061035,5
DeepFool,3173,fail,4.191561222076416,5
DeepFool,621,True,2.951326608657837,8
DeepFool,3365,True,0.8796463012695312,6
DeepFool,6257,fail,5.003255367279053,6
DeepFool,3131,fail,3.638923168182373,6
DeepFool,2495,fail,4.038895130157471,6
DeepFool,6323,fail,4.544719696044922,6
DeepFool,9697,True,2.1375012397766113,3
DeepFool,4048,True,2.3911378383636475,0
DeepFool,3069,True,0.8669593334197998,4
DeepFool,4244,True,1.8990752696990967,3
DeepFool,2849,fail,3.1095802783966064,3
DeepFool,9298,fail,5.521061420440674,3
DeepFool,5906,True,1.833154320716858,7
DeepFool,3967,True,0.4057294428348541,9
DeepFool,2110,True,2.2769479751586914,2
DeepFool,9526,True,2.891768217086792,4
DeepFool,1733,fail,3.0285801887512207,4
DeepFool,1073,fail,4.111837863922119,4
DeepFool,1331,True,1.777943730354309,5
DeepFool,1881,True,2.876237392425537,9
DeepFool,6864,True,2.651688575744629,8
DeepFool,6248,True,2.9774398803710938,8
DeepFool,2079,fail,3.4525980949401855,8
DeepFool,2862,True,1.1770604848861694,8
DeepFool,7810,fail,3.1592061519622803,8
DeepFool,4030,False,1.6864594221115112,9
DeepFool,3502,False,2.831000328063965,8
DeepFool,2901,True,1.6619956493377686,4
DeepFool,1163,fail,4.144855976104736,4
DeepFool,6655,fail,4.517035484313965,4
DeepFool,9028,True,2.9366676807403564,9
DeepFool,1610,fail,3.220637798309326,9
DeepFool,4182,fail,3.2444801330566406,9
DeepFool,600,fail,4.9837422370910645,9
DeepFool,6060,fail,4.17687463760376,9
DeepFool,1665,fail,3.382765531539917,9
DeepFool,5537,True,2.5914206504821777,9
DeepFool,5926,True,1.1773978471755981,4
DeepFool,431,True,1.3411153554916382,8
DeepFool,844,True,1.3109506368637085,8
DeepFool,9905,True,0.0,3
PGD,5096,False,1.5613024234771729,4
PGD,260,True,1.684747338294983,8
PGD,9302,False,1.480142593383789,7
PGD,9693,True,1.4793075323104858,6
PGD,9591,True,1.4487346410751343,1
PGD,1105,False,1.6124944686889648,9
PGD,668,False,1.570084571838379,4
PGD,9997,True,1.6072192192077637,4
PGD,591,True,0.0,8
PGD,6410,True,1.6914451122283936,8
PGD,5563,False,1.5450342893600464,7
PGD,1558,True,1.7103670835494995,0
PGD,599,False,1.6490179300308228,9
PGD,878,True,1.7504706382751465,8
PGD,4932,False,1.3056808710098267,1
PGD,4734,False,1.7541483640670776,2
PGD,2934,False,1.4651508331298828,9
PGD,7372,True,1.6633384227752686,5
PGD,632,False,1.6732556819915771,2
PGD,7961,False,1.7572439908981323,8
PGD,6972,False,1.7612935304641724,8
PGD,4501,True,1.7766886949539185,3
PGD,70,False,1.621683955192566,7
PGD,6557,True,1.8329224586486816,0
PGD,4922,True,1.5940197706222534,8
PGD,2437,True,1.4342241287231445,2
PGD,6132,True,1.8369743824005127,2
PGD,4204,False,1.7760361433029175,2
PGD,306,False,1.7467412948608398,2
PGD,1469,True,1.5739713907241821,3
PGD,2743,True,1.4323461055755615,5
PGD,3152,False,1.221335768699646,1
PGD,7439,False,1.563377857208252,7
PGD,7848,False,1.7105194330215454,2
PGD,2869,True,1.7158252000808716,8
PGD,6971,True,1.719581127166748,0
PGD,5452,False,1.9338386058807373,0
PGD,9247,False,1.79054594039917,6
PGD,9425,False,1.7524124383926392,0
PGD,9386,False,1.5991015434265137,9
