Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,5096,fail,5.0932159423828125,
DeepFool,260,True,2.856200695037842,8
DeepFool,9302,fail,5.140109062194824,8
DeepFool,9693,True,2.28204607963562,6
DeepFool,9591,True,2.4429683685302734,1
DeepFool,1105,fail,3.1255743503570557,1
DeepFool,668,fail,6.083754539489746,1
DeepFool,9997,fail,3.2488934993743896,1
DeepFool,591,False,0.0,8
DeepFool,6410,True,2.523669481277466,8
DeepFool,5563,fail,3.9033212661743164,8
DeepFool,1558,fail,3.8355023860931396,8
DeepFool,599,fail,4.288410663604736,8
DeepFool,878,True,1.4956074953079224,8
DeepFool,4932,fail,3.727739095687866,8
DeepFool,4734,fail,3.3240888118743896,8
DeepFool,2934,fail,3.0190927982330322,8
DeepFool,7372,True,2.978184223175049,5
DeepFool,632,fail,4.048276901245117,5
DeepFool,7961,fail,4.4791388511657715,5
DeepFool,6972,fail,5.263120174407959,5
DeepFool,4501,False,2.124742031097412,3
DeepFool,70,fail,4.878670692443848,3
DeepFool,6557,True,1.441001296043396,0
DeepFool,4922,fail,3.3672492504119873,0
DeepFool,2437,False,0.0,2
DeepFool,6132,fail,3.699702501296997,2
DeepFool,4204,fail,3.6195995807647705,2
DeepFool,306,fail,4.123422145843506,2
DeepFool,1469,False,2.4237868785858154,3
DeepFool,2743,True,0.4009069800376892,5
DeepFool,3152,True,2.8351080417633057,1
DeepFool,7439,fail,3.489919662475586,1
DeepFool,7848,fail,3.7160425186157227,1
DeepFool,2869,True,1.6396076679229736,8
DeepFool,6971,True,1.6981968879699707,0
DeepFool,5452,fail,4.801425933837891,0
DeepFool,9247,fail,5.346135139465332,0
DeepFool,9425,fail,3.716108560562134,0
DeepFool,9386,fail,3.973705291748047,0
DeepFool,4717,fail,4.351327896118164,0
DeepFool,7608,fail,3.898017644882202,0
DeepFool,3142,False,2.708467960357666,2
DeepFool,3747,True,2.8877837657928467,1
DeepFool,6991,True,2.634881019592285,5
DeepFool,3104,fail,3.7588181495666504,5
DeepFool,9222,fail,4.253954887390137,5
DeepFool,7450,fail,3.9006130695343018,5
DeepFool,4603,fail,3.4868075847625732,5
DeepFool,7316,fail,4.643851280212402,5
DeepFool,3292,fail,4.298996448516846,5
DeepFool,8321,fail,3.6920242309570312,5
DeepFool,5564,False,1.3974305391311646,4
DeepFool,6266,True,2.9424047470092773,2
DeepFool,3058,fail,3.5003089904785156,2
DeepFool,5917,fail,3.9377849102020264,2
DeepFool,5445,True,2.4087111949920654,5
DeepFool,4664,fail,4.202991962432861,5
DeepFool,3173,fail,4.493833541870117,5
DeepFool,621,fail,3.1265547275543213,5
DeepFool,3365,True,0.7534122467041016,6
DeepFool,6257,fail,4.595370292663574,6
DeepFool,3131,fail,3.459780216217041,6
DeepFool,2495,fail,4.218407154083252,6
DeepFool,6323,fail,4.169528961181641,6
DeepFool,9697,fail,3.966768503189087,6
DeepFool,4048,True,2.3662123680114746,0
DeepFool,3069,True,1.8847535848617554,4
DeepFool,4244,True,2.6999101638793945,3
DeepFool,2849,fail,4.132985591888428,3
DeepFool,9298,fail,4.74051570892334,3
DeepFool,5906,True,1.054832935333252,7
DeepFool,3967,True,1.0118517875671387,9
