Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,5096,fail,3.529622793197632,
DeepFool,260,False,1.3879088163375854,8
DeepFool,9302,False,2.8968355655670166,7
DeepFool,9693,False,0.0,6
DeepFool,9591,True,2.995161533355713,1
DeepFool,1105,False,0.7290242314338684,9
DeepFool,668,False,2.7479240894317627,4
DeepFool,9997,False,0.9746021628379822,4
DeepFool,591,False,0.0,8
DeepFool,6410,False,0.0,8
DeepFool,5563,False,0.36650004982948303,7
DeepFool,1558,False,0.7241629958152771,0
DeepFool,599,False,0.9270673990249634,9
DeepFool,878,False,0.2764602303504944,8
DeepFool,4932,fail,3.8256301879882812,8
DeepFool,4734,False,0.0,2
DeepFool,2934,False,0.800614058971405,9
DeepFool,7372,False,0.9760387539863586,5
DeepFool,632,False,0.27491921186447144,2
DeepFool,7961,False,0.0,8
DeepFool,6972,False,1.4828317165374756,8
DeepFool,4501,False,0.2408113181591034,3
DeepFool,70,fail,3.0580263137817383,3
DeepFool,6557,False,1.7034239768981934,0
DeepFool,4922,False,0.0,8
DeepFool,2437,True,0.0,2
DeepFool,6132,False,0.0,2
DeepFool,4204,False,0.0,2
DeepFool,306,False,0.0,2
DeepFool,1469,False,0.0,3
DeepFool,2743,False,0.0,5
DeepFool,3152,fail,4.9312872886657715,5
DeepFool,7439,False,0.1543915867805481,7
DeepFool,7848,False,0.0,2
DeepFool,2869,False,0.0,8
DeepFool,6971,True,2.3007402420043945,0
DeepFool,5452,False,1.6708933115005493,0
DeepFool,9247,False,1.6584807634353638,6
DeepFool,9425,False,1.2579114437103271,0
DeepFool,9386,False,0.37678617238998413,9
DeepFool,4717,fail,4.128222465515137,9
DeepFool,7608,False,2.97239089012146,1
DeepFool,3142,False,0.0,2
DeepFool,3747,fail,4.396725654602051,2
DeepFool,6991,False,0.9152464270591736,5
DeepFool,3104,False,0.0,3
DeepFool,9222,fail,4.16617488861084,3
DeepFool,7450,False,0.0,8
DeepFool,4603,fail,4.003663063049316,8
DeepFool,7316,False,1.2287003993988037,4
DeepFool,3292,False,2.4579734802246094,7
DeepFool,8321,fail,3.067927122116089,7
DeepFool,5564,False,0.8906278610229492,4
DeepFool,6266,False,0.42722731828689575,2
DeepFool,3058,False,2.9627413749694824,6
DeepFool,5917,fail,5.35353422164917,6
DeepFool,5445,False,1.2697954177856445,5
DeepFool,4664,False,0.12708626687526703,3
DeepFool,3173,False,1.2382876873016357,6
DeepFool,621,False,0.0,8
DeepFool,3365,False,0.0,6
DeepFool,6257,False,1.2400755882263184,5
DeepFool,3131,False,0.556941032409668,3
DeepFool,2495,False,0.0,2
DeepFool,6323,True,2.821427345275879,4
DeepFool,9697,False,0.33006030321121216,3
DeepFool,4048,False,0.34195345640182495,0
DeepFool,3069,True,1.6575026512145996,4
DeepFool,4244,False,0.0,3
DeepFool,2849,False,0.6365878582000732,8
DeepFool,9298,False,1.564530849456787,5
DeepFool,5906,False,1.0721145868301392,7
DeepFool,3967,False,0.0,9
DeepFool,2110,False,0.9692857265472412,2
DeepFool,9526,False,1.3014650344848633,4
DeepFool,1733,False,1.5497710704803467,6
DeepFool,1073,False,1.5985406637191772,5
DeepFool,1331,False,0.26084938645362854,5
DeepFool,1881,False,0.5858250856399536,9
DeepFool,6864,False,2.3848557472229004,8
DeepFool,6248,False,0.3650829493999481,8
DeepFool,2079,False,1.4668986797332764,6
DeepFool,2862,False,0.0,8
DeepFool,7810,False,2.3080036640167236,0
DeepFool,4030,False,0.035828594118356705,9
DeepFool,3502,False,0.0,8
DeepFool,2901,False,0.0,4
DeepFool,1163,False,1.8785399198532104,4
DeepFool,6655,False,1.0900472402572632,9
DeepFool,9028,False,0.701759397983551,9
DeepFool,1610,False,1.321229338645935,0
DeepFool,4182,False,0.4689936339855194,9
DeepFool,600,False,1.7703371047973633,6
DeepFool,6060,fail,3.417034387588501,6
DeepFool,1665,fail,3.113953113555908,6
DeepFool,5537,False,0.11952976137399673,9
DeepFool,5926,False,0.615374743938446,4
DeepFool,431,False,0.6198458075523376,8
DeepFool,844,False,0.0,8
DeepFool,9905,False,0.0,3
PGD,5096,False,2.263471841812134,4
PGD,260,False,2.5056307315826416,8
PGD,9302,False,2.4976742267608643,7
PGD,9693,True,2.3265533447265625,6
PGD,9591,False,2.3129918575286865,1
PGD,1105,False,2.358708620071411,9
PGD,668,False,2.2977101802825928,4
PGD,9997,False,2.332260847091675,4
PGD,591,False,2.4228804111480713,8
PGD,6410,False,2.509178876876831,8
PGD,5563,False,2.45365834236145,7
PGD,1558,False,2.414019823074341,0
PGD,599,True,2.4631340503692627,9
PGD,878,True,2.416823387145996,8
PGD,4932,False,2.320406913757324,1
PGD,4734,False,2.5385942459106445,2
PGD,2934,False,2.4427270889282227,9
PGD,7372,False,2.602022171020508,5
PGD,632,False,2.4059512615203857,2
PGD,7961,False,2.5444753170013428,8
PGD,6972,False,2.574573516845703,8
PGD,4501,False,2.471912145614624,3
PGD,70,False,2.499166965484619,7
PGD,6557,True,2.5816149711608887,0
PGD,4922,False,2.5096077919006348,8
PGD,2437,True,0.0,2
PGD,6132,False,2.544605016708374,2
PGD,4204,False,2.535452365875244,2
PGD,306,False,2.3592581748962402,2
PGD,1469,False,2.4719700813293457,3
PGD,2743,True,2.431335210800171,5
PGD,3152,False,2.2497222423553467,1
PGD,7439,False,2.4666311740875244,7
PGD,7848,False,2.5175795555114746,2
PGD,2869,False,2.6363704204559326,8
PGD,6971,True,2.5263254642486572,0
PGD,5452,False,2.5081264972686768,0
PGD,9247,False,2.4794838428497314,6
PGD,9425,False,2.5217196941375732,0
PGD,9386,False,2.5093088150024414,9
PGD,4717,False,2.323184013366699,1
PGD,7608,False,2.3310484886169434,1
PGD,3142,False,2.4888930320739746,2
PGD,3747,False,2.23486328125,1
PGD,6991,False,2.539383888244629,5
PGD,3104,False,2.53884220123291,3
PGD,9222,False,2.3381195068359375,1
PGD,7450,False,2.3620119094848633,8
PGD,4603,False,2.2551395893096924,1
PGD,7316,False,2.3245835304260254,4
PGD,3292,False,2.524643659591675,7
PGD,8321,False,2.6023504734039307,7
PGD,5564,False,2.3515007495880127,4
PGD,6266,False,2.5371594429016113,2
PGD,3058,False,2.481215238571167,6
PGD,5917,False,2.1805617809295654,1
PGD,5445,True,2.5031707286834717,5
PGD,4664,False,2.4645779132843018,3
PGD,3173,False,2.3883652687072754,6
PGD,621,False,2.5121805667877197,8
PGD,3365,True,2.207214593887329,6
PGD,6257,False,2.5774149894714355,5
PGD,3131,False,2.532862901687622,3
PGD,2495,False,2.538508892059326,2
PGD,6323,False,2.369384765625,4
PGD,9697,False,2.5871500968933105,3
PGD,4048,True,2.3181307315826416,0
PGD,3069,True,2.287978410720825,4
PGD,4244,False,2.5168161392211914,3
PGD,2849,False,2.43888783454895,8
PGD,9298,False,2.48207426071167,5
PGD,5906,True,2.5319530963897705,7
PGD,3967,False,2.4207160472869873,9
PGD,2110,False,2.547956943511963,2
PGD,9526,False,2.4338130950927734,4
PGD,1733,False,2.4244205951690674,6
PGD,1073,True,2.485154628753662,5
PGD,1331,False,2.6089894771575928,5
PGD,1881,False,2.4971132278442383,9
PGD,6864,False,2.4935073852539062,8
PGD,6248,False,2.4655938148498535,8
PGD,2079,False,2.3403334617614746,6
PGD,2862,False,2.4528164863586426,8
PGD,7810,False,2.473332405090332,0
PGD,4030,True,2.410846710205078,9
PGD,3502,False,2.5237135887145996,8
PGD,2901,False,2.3078935146331787,4
PGD,1163,False,2.29388165473938,4
PGD,6655,True,2.357915163040161,9
PGD,9028,False,2.548861503601074,9
PGD,1610,False,2.441009521484375,0
PGD,4182,True,2.4069650173187256,9
PGD,600,False,2.3343796730041504,6
PGD,6060,False,2.355465888977051,1
PGD,1665,False,2.281806468963623,4
PGD,5537,False,2.3266260623931885,9
PGD,5926,True,2.3283426761627197,4
PGD,431,True,2.571699857711792,8
PGD,844,False,2.4686954021453857,8
PGD,9905,True,2.4810197353363037,3
JSMA,5096,False,2.1183667182922363,4
JSMA,260,False,1.757763385772705,8
JSMA,9302,False,1.9801139831542969,7
JSMA,9693,False,2.489824056625366,6
JSMA,9591,False,2.075655698776245,1
JSMA,1105,False,1.970422625541687,9
JSMA,668,False,2.482144594192505,4
JSMA,9997,False,2.54504656791687,4
JSMA,591,False,2.1157562732696533,8
JSMA,6410,False,1.7333459854125977,8
JSMA,5563,False,2.072953224182129,7
JSMA,1558,False,0.9383933544158936,0
JSMA,599,False,1.7972034215927124,9
JSMA,878,False,1.0062015056610107,8
JSMA,4932,False,2.364604949951172,1
JSMA,4734,False,1.2087594270706177,2
JSMA,2934,False,2.5034210681915283,9
JSMA,7372,False,2.6094069480895996,5
JSMA,632,False,1.898408055305481,2
JSMA,7961,False,1.6250202655792236,8
JSMA,6972,False,1.9076508283615112,8
JSMA,4501,False,2.601339817047119,3
JSMA,70,False,2.0156824588775635,7
JSMA,6557,False,1.899060606956482,0
JSMA,4922,False,2.1428701877593994,8
JSMA,2437,True,0.0,2
JSMA,6132,False,1.1865816116333008,2
JSMA,4204,False,0.5295280814170837,2
JSMA,306,False,2.046003818511963,2
JSMA,1469,False,1.4142135381698608,3
JSMA,2743,False,2.6380112171173096,5
JSMA,3152,False,2.4297285079956055,1
JSMA,7439,False,2.0180137157440186,7
JSMA,7848,False,1.9436612129211426,2
JSMA,2869,False,2.649628162384033,8
JSMA,6971,False,2.5448999404907227,0
JSMA,5452,False,2.7623815536499023,0
JSMA,9247,False,2.0407559871673584,6
JSMA,9425,False,2.4679603576660156,0
JSMA,9386,False,2.5602293014526367,9
JSMA,4717,False,2.0001392364501953,1
JSMA,7608,False,1.6563191413879395,1
JSMA,3142,False,1.4295212030410767,2
JSMA,3747,False,2.461099147796631,1
JSMA,6991,False,2.423222303390503,5
JSMA,3104,False,2.532247543334961,3
JSMA,9222,False,2.1042685508728027,1
JSMA,7450,False,1.9441289901733398,8
JSMA,4603,False,2.3568027019500732,1
JSMA,7316,False,2.8284270763397217,4
JSMA,3292,False,1.6860942840576172,7
JSMA,8321,False,1.6679483652114868,7
JSMA,5564,False,1.7588298320770264,4
JSMA,6266,False,1.9758929014205933,2
JSMA,3058,False,2.6229281425476074,6
JSMA,5917,False,2.258254051208496,1
JSMA,5445,False,2.611649990081787,5
JSMA,4664,False,2.495717763900757,3
JSMA,3173,False,2.645777702331543,6
JSMA,621,False,2.1113226413726807,8
JSMA,3365,False,2.4491353034973145,6
JSMA,6257,False,2.6909940242767334,5
JSMA,3131,False,2.2039310932159424,3
JSMA,2495,False,1.8392235040664673,2
JSMA,6323,False,2.4354212284088135,4
JSMA,9697,False,2.153668165206909,3
JSMA,4048,False,2.5575602054595947,0
JSMA,3069,False,2.1470649242401123,4
JSMA,4244,False,2.6041133403778076,3
JSMA,2849,False,1.8882341384887695,8
JSMA,9298,False,2.244479179382324,5
JSMA,5906,False,1.8691555261611938,7
JSMA,3967,True,2.1110427379608154,9
JSMA,2110,False,2.749727487564087,2
JSMA,9526,False,0.8788996934890747,4
JSMA,1733,False,1.7929306030273438,6
JSMA,1073,False,1.6786080598831177,5
JSMA,1331,False,2.3352136611938477,5
JSMA,1881,False,2.2357683181762695,9
JSMA,6864,False,1.7291054725646973,8
JSMA,6248,False,1.6271328926086426,8
JSMA,2079,False,2.2516205310821533,6
JSMA,2862,False,2.0264525413513184,8
JSMA,7810,False,2.7079057693481445,0
JSMA,4030,False,2.391397714614868,9
JSMA,3502,False,2.4935808181762695,8
JSMA,2901,False,2.262646198272705,4
JSMA,1163,False,1.8976690769195557,4
JSMA,6655,False,2.456700563430786,9
JSMA,9028,False,2.3451714515686035,9
JSMA,1610,False,2.028425693511963,0
JSMA,4182,False,2.2116427421569824,9
JSMA,600,False,2.170776128768921,6
JSMA,6060,False,2.236161470413208,1
JSMA,1665,False,2.391083002090454,4
JSMA,5537,False,2.153087854385376,9
JSMA,5926,False,2.7274844646453857,4
JSMA,431,False,1.691646695137024,8
JSMA,844,False,2.4346566200256348,8
JSMA,9905,False,2.235844850540161,3
OnePixel,5096,False,2.548116445541382,4
OnePixel,260,False,2.605685234069824,8
OnePixel,9302,False,2.6419222354888916,7
OnePixel,9693,fail,3.074265480041504,7
OnePixel,9591,True,2.730501413345337,1
OnePixel,1105,False,2.8844754695892334,9
OnePixel,668,False,2.707775831222534,4
OnePixel,9997,False,2.6181137561798096,4
OnePixel,591,True,2.73720645904541,8
OnePixel,6410,False,2.5239410400390625,8
OnePixel,5563,False,2.818788766860962,7
OnePixel,1558,False,2.7611074447631836,0
OnePixel,599,False,2.466735601425171,9
OnePixel,878,False,2.4571943283081055,8
OnePixel,4932,False,2.3172805309295654,1
OnePixel,4734,False,2.4544594287872314,2
OnePixel,2934,False,2.9142303466796875,9
OnePixel,7372,False,2.798541307449341,5
OnePixel,632,False,2.72847580909729,2
OnePixel,7961,False,2.895298480987549,8
OnePixel,6972,False,2.3478469848632812,8
OnePixel,4501,False,2.3328568935394287,3
OnePixel,70,False,2.5876617431640625,7
OnePixel,6557,False,2.046825885772705,0
OnePixel,4922,False,2.6924285888671875,8
OnePixel,2437,True,0.0,2
OnePixel,6132,fail,3.055361270904541,2
OnePixel,4204,False,2.331653594970703,2
OnePixel,306,False,2.2134082317352295,2
OnePixel,1469,False,2.710003137588501,3
OnePixel,2743,False,2.2721939086914062,5
OnePixel,3152,True,2.61449933052063,1
OnePixel,7439,False,2.5429904460906982,7
OnePixel,7848,False,2.1637723445892334,2
OnePixel,2869,False,2.5926365852355957,8
OnePixel,6971,False,2.706027030944824,0
OnePixel,5452,False,2.9154839515686035,0
OnePixel,9247,False,2.5089595317840576,6
OnePixel,9425,False,2.3877360820770264,0
OnePixel,9386,False,2.3377432823181152,9
OnePixel,4717,False,2.5412614345550537,1
OnePixel,7608,False,2.8550302982330322,1
OnePixel,3142,False,2.8296122550964355,2
OnePixel,3747,False,2.6424851417541504,1
OnePixel,6991,False,2.8281800746917725,5
OnePixel,3104,False,2.2310731410980225,3
OnePixel,9222,False,2.4946508407592773,1
OnePixel,7450,False,2.4843506813049316,8
OnePixel,4603,False,2.5990073680877686,1
OnePixel,7316,False,2.7242658138275146,4
OnePixel,3292,False,2.608271837234497,7
OnePixel,8321,False,2.5036468505859375,7
OnePixel,5564,fail,3.0067784786224365,7
OnePixel,6266,False,2.4011852741241455,2
OnePixel,3058,False,2.5992236137390137,6
OnePixel,5917,False,2.703833818435669,1
OnePixel,5445,False,2.5109572410583496,5
OnePixel,4664,False,2.3765347003936768,3
OnePixel,3173,False,2.462139129638672,6
OnePixel,621,False,2.4021155834198,8
OnePixel,3365,fail,3.0965960025787354,8
OnePixel,6257,False,2.5785462856292725,5
OnePixel,3131,False,2.9035866260528564,3
OnePixel,2495,False,2.397568702697754,2
OnePixel,6323,False,2.4438822269439697,4
OnePixel,9697,False,2.885617971420288,3
OnePixel,4048,False,2.6157453060150146,0
OnePixel,3069,True,2.792440414428711,4
OnePixel,4244,fail,3.0389609336853027,4
OnePixel,2849,False,2.781433343887329,8
OnePixel,9298,False,2.681163787841797,5
OnePixel,5906,False,2.7235283851623535,7
OnePixel,3967,fail,3.0083107948303223,7
OnePixel,2110,False,2.6254165172576904,2
OnePixel,9526,False,2.566155433654785,4
OnePixel,1733,False,2.588304042816162,6
OnePixel,1073,False,2.745241641998291,5
OnePixel,1331,False,2.8318212032318115,5
OnePixel,1881,False,2.649872303009033,9
OnePixel,6864,False,2.8443949222564697,8
OnePixel,6248,False,2.8666505813598633,8
OnePixel,2079,False,2.6112189292907715,6
OnePixel,2862,False,2.6930043697357178,8
OnePixel,7810,False,2.703589677810669,0
OnePixel,4030,False,2.577130079269409,9
OnePixel,3502,False,2.6917879581451416,8
OnePixel,2901,False,2.420664072036743,4
OnePixel,1163,False,2.5859286785125732,4
OnePixel,6655,False,2.2621145248413086,9
OnePixel,9028,False,2.698601484298706,9
OnePixel,1610,False,2.4917428493499756,0
OnePixel,4182,False,2.7424943447113037,9
OnePixel,600,False,2.5419676303863525,6
OnePixel,6060,False,2.8506476879119873,1
OnePixel,1665,False,2.735243082046509,4
OnePixel,5537,False,2.4019389152526855,9
OnePixel,5926,False,2.576892614364624,4
OnePixel,431,False,2.2822632789611816,8
OnePixel,844,False,2.6319992542266846,8
OnePixel,9905,True,2.8032474517822266,3
