Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,5096,fail,4.653905868530273,
DeepFool,260,fail,3.7930335998535156,
DeepFool,9302,fail,5.354537010192871,
DeepFool,9693,True,1.9940910339355469,6
DeepFool,9591,fail,3.7534494400024414,6
DeepFool,1105,fail,4.338558673858643,6
DeepFool,668,fail,4.961568355560303,6
DeepFool,9997,fail,4.391091346740723,6
DeepFool,591,True,0.7039222717285156,8
DeepFool,6410,False,1.9276340007781982,8
DeepFool,5563,fail,3.946897268295288,8
DeepFool,1558,fail,3.1502223014831543,8
DeepFool,599,True,2.967040777206421,9
DeepFool,878,True,2.417797803878784,8
DeepFool,4932,fail,4.020939826965332,8
DeepFool,4734,fail,3.0718297958374023,8
DeepFool,2934,False,2.488337278366089,9
DeepFool,7372,fail,3.7352206707000732,9
DeepFool,632,fail,3.7898669242858887,9
DeepFool,7961,fail,4.03629207611084,9
DeepFool,6972,fail,5.115830898284912,9
DeepFool,4501,fail,3.461639881134033,9
DeepFool,70,fail,6.031707286834717,9
DeepFool,6557,True,1.2445563077926636,0
DeepFool,4922,fail,3.0092291831970215,0
DeepFool,2437,True,1.0400742292404175,2
DeepFool,6132,fail,5.005072593688965,2
DeepFool,4204,fail,4.237046718597412,2
DeepFool,306,fail,3.448117971420288,2
DeepFool,1469,True,2.2688519954681396,3
DeepFool,2743,False,1.5513734817504883,5
DeepFool,3152,fail,3.3139259815216064,5
DeepFool,7439,fail,3.8900067806243896,5
DeepFool,7848,fail,3.247082471847534,5
DeepFool,2869,False,2.7024919986724854,8
DeepFool,6971,True,2.5143580436706543,0
DeepFool,5452,fail,3.613802433013916,0
DeepFool,9247,fail,5.947598457336426,0
DeepFool,9425,fail,5.0019612312316895,0
DeepFool,9386,fail,4.190449237823486,0
DeepFool,4717,True,2.7588446140289307,1
DeepFool,7608,fail,3.451090097427368,1
DeepFool,3142,fail,3.653050422668457,1
DeepFool,3747,fail,4.11807107925415,1
DeepFool,6991,fail,3.4815635681152344,1
DeepFool,3104,fail,4.587060928344727,1
DeepFool,9222,True,2.6347594261169434,1
DeepFool,7450,True,2.2315192222595215,8
DeepFool,4603,fail,3.259645938873291,8
DeepFool,7316,fail,4.285322666168213,8
DeepFool,3292,fail,4.47903299331665,8
DeepFool,8321,fail,3.7328479290008545,8
DeepFool,5564,False,2.3856143951416016,4
DeepFool,6266,fail,3.148808002471924,4
DeepFool,3058,fail,3.974301815032959,4
DeepFool,5917,fail,4.430624961853027,4
DeepFool,5445,fail,4.306391716003418,4
DeepFool,4664,fail,4.148087024688721,4
DeepFool,3173,fail,3.4180333614349365,4
DeepFool,621,fail,3.967076539993286,4
DeepFool,3365,False,1.3576301336288452,6
DeepFool,6257,fail,4.983303070068359,6
DeepFool,3131,fail,5.364104270935059,6
DeepFool,2495,fail,4.400020122528076,6
DeepFool,6323,fail,5.302765846252441,6
DeepFool,9697,fail,4.291778564453125,6
DeepFool,4048,True,1.403314232826233,0
DeepFool,3069,True,0.8510610461235046,4
DeepFool,4244,fail,3.4039266109466553,4
DeepFool,2849,fail,5.233267307281494,4
DeepFool,9298,fail,4.423769950866699,4
DeepFool,5906,True,1.7999658584594727,7
DeepFool,3967,True,1.7734686136245728,9
DeepFool,2110,fail,4.096735954284668,9
DeepFool,9526,fail,3.486178398132324,9
DeepFool,1733,fail,5.096886157989502,9
DeepFool,1073,fail,3.848677158355713,9
DeepFool,1331,True,2.7628226280212402,5
DeepFool,1881,fail,3.6383626461029053,5
DeepFool,6864,fail,3.1886813640594482,5
DeepFool,6248,fail,3.030263662338257,5
DeepFool,2079,fail,4.611843109130859,5
DeepFool,2862,False,2.182448625564575,8
DeepFool,7810,fail,4.528999328613281,8
DeepFool,4030,True,2.834625244140625,9
DeepFool,3502,fail,3.440948247909546,9
DeepFool,2901,False,2.023897409439087,4
DeepFool,1163,fail,4.059022426605225,4
DeepFool,6655,fail,3.5989151000976562,4
DeepFool,9028,True,2.131765365600586,9
DeepFool,1610,fail,4.231413841247559,9
DeepFool,4182,True,2.6776254177093506,9
DeepFool,600,fail,5.381540298461914,9
DeepFool,6060,fail,3.7471814155578613,9
DeepFool,1665,fail,3.850302219390869,9
DeepFool,5537,True,2.771294593811035,9
DeepFool,5926,True,0.9449024796485901,4
DeepFool,431,True,2.597790241241455,8
DeepFool,844,True,1.3407917022705078,8
DeepFool,9905,True,0.907319962978363,3
PGD,5096,False,1.6160579919815063,4
PGD,260,False,1.953669786453247,8
PGD,9302,False,1.6654231548309326,7
PGD,9693,True,1.6441150903701782,6
PGD,9591,True,1.5622849464416504,1
PGD,1105,False,1.8527021408081055,9
