Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,5096,fail,3.2989509105682373,
DeepFool,260,fail,3.0303874015808105,
DeepFool,9302,False,2.9626128673553467,7
DeepFool,9693,False,0.2841764986515045,6
DeepFool,9591,fail,3.40556001663208,6
DeepFool,1105,False,1.6570097208023071,9
DeepFool,668,False,1.760188341140747,4
DeepFool,9997,False,1.6705859899520874,4
DeepFool,591,False,0.0,8
DeepFool,6410,False,0.7593768239021301,8
DeepFool,5563,False,2.6870312690734863,7
DeepFool,1558,False,2.0674586296081543,0
DeepFool,599,False,0.186027392745018,9
DeepFool,878,False,1.4241247177124023,8
DeepFool,4932,True,2.7450926303863525,1
DeepFool,4734,False,0.5184071063995361,2
DeepFool,2934,False,0.7786683440208435,9
DeepFool,7372,False,1.9054628610610962,5
DeepFool,632,False,0.6292874217033386,2
DeepFool,7961,False,0.24176667630672455,8
DeepFool,6972,False,1.7680153846740723,8
DeepFool,4501,False,0.8974395990371704,3
DeepFool,70,fail,3.8909146785736084,3
DeepFool,6557,True,2.00345516204834,0
DeepFool,4922,False,0.7360106706619263,8
DeepFool,2437,False,0.0,2
DeepFool,6132,False,0.7177251577377319,2
DeepFool,4204,False,0.0,2
DeepFool,306,False,0.0,2
DeepFool,1469,False,0.0,3
DeepFool,2743,False,0.0,5
DeepFool,3152,True,2.8535611629486084,1
DeepFool,7439,False,2.40842604637146,7
DeepFool,7848,False,0.06175963953137398,2
DeepFool,2869,False,0.7832275032997131,8
DeepFool,6971,False,2.296743392944336,0
DeepFool,5452,False,2.5744144916534424,0
DeepFool,9247,False,2.1781225204467773,6
DeepFool,9425,fail,3.99239182472229,6
DeepFool,9386,False,1.6722826957702637,9
DeepFool,4717,True,2.1363229751586914,1
DeepFool,7608,fail,3.212681293487549,1
DeepFool,3142,False,0.5177947282791138,2
DeepFool,3747,fail,3.2377641201019287,2
DeepFool,6991,True,0.9752954840660095,5
DeepFool,3104,False,0.4532529413700104,3
DeepFool,9222,True,2.683336019515991,1
DeepFool,7450,False,0.0,8
DeepFool,4603,False,2.9590327739715576,1
DeepFool,7316,False,2.8422274589538574,4
DeepFool,3292,False,2.6550488471984863,7
DeepFool,8321,False,2.246830701828003,7
DeepFool,5564,False,0.39141106605529785,4
DeepFool,6266,False,0.0,2
DeepFool,3058,False,2.813931703567505,6
DeepFool,5917,fail,3.3512208461761475,6
DeepFool,5445,False,2.2682623863220215,5
DeepFool,4664,False,0.9427613615989685,3
DeepFool,3173,False,1.2138416767120361,6
DeepFool,621,False,0.0,8
DeepFool,3365,False,0.0,6
DeepFool,6257,False,2.3548643589019775,5
DeepFool,3131,False,2.173353672027588,3
DeepFool,2495,False,1.2317410707473755,2
DeepFool,6323,fail,4.7765069007873535,2
DeepFool,9697,False,1.4863002300262451,3
DeepFool,4048,False,0.6042274832725525,0
DeepFool,3069,True,1.336137294769287,4
DeepFool,4244,False,0.0,3
DeepFool,2849,False,1.6501814126968384,8
DeepFool,9298,False,2.1217923164367676,5
DeepFool,5906,True,1.079501986503601,7
DeepFool,3967,False,0.0,9
DeepFool,2110,False,2.315572500228882,2
DeepFool,9526,fail,3.3299455642700195,2
DeepFool,1733,fail,3.2079102993011475,2
DeepFool,1073,False,2.0417048931121826,5
DeepFool,1331,False,0.6689186096191406,5
DeepFool,1881,True,1.7438337802886963,9
DeepFool,6864,False,1.4765748977661133,8
DeepFool,6248,False,1.0903477668762207,8
DeepFool,2079,False,2.5707848072052,6
DeepFool,2862,False,0.0,8
DeepFool,7810,fail,3.2674508094787598,8
DeepFool,4030,False,0.9764081239700317,9
DeepFool,3502,False,1.0819149017333984,8
DeepFool,2901,False,0.49888643622398376,4
DeepFool,1163,False,2.3755862712860107,4
DeepFool,6655,False,1.8376014232635498,9
DeepFool,9028,False,1.2010703086853027,9
DeepFool,1610,fail,3.4015135765075684,9
DeepFool,4182,False,0.5630429983139038,9
DeepFool,600,False,2.8816609382629395,6
DeepFool,6060,False,2.6035070419311523,1
DeepFool,1665,fail,3.2089502811431885,1
DeepFool,5537,False,0.5007669925689697,9
DeepFool,5926,True,1.0854171514511108,4
DeepFool,431,False,1.6151515245437622,8
DeepFool,844,False,0.0,8
DeepFool,9905,False,0.1466917097568512,3
PGD,5096,False,2.3609821796417236,4
PGD,260,False,2.5031697750091553,8
PGD,9302,False,2.3521738052368164,7
PGD,9693,True,2.391467571258545,6
PGD,9591,False,2.2482244968414307,1
PGD,1105,False,2.3921725749969482,9
PGD,668,False,2.3590645790100098,4
PGD,9997,False,2.308161735534668,4
PGD,591,True,2.3622848987579346,8
PGD,6410,False,2.381793737411499,8
PGD,5563,False,2.3212101459503174,7
PGD,1558,False,2.3480727672576904,0
PGD,599,True,2.359206438064575,9
PGD,878,True,2.4123008251190186,8
PGD,4932,False,2.2254586219787598,1
PGD,4734,False,2.456986427307129,2
PGD,2934,False,2.2501678466796875,9
PGD,7372,False,2.358926296234131,5
PGD,632,False,2.3545494079589844,2
PGD,7961,False,2.393190383911133,8
PGD,6972,False,2.3775036334991455,8
PGD,4501,False,2.3687169551849365,3
PGD,70,False,2.4018266201019287,7
PGD,6557,True,2.4569950103759766,0
PGD,4922,False,2.414792537689209,8
PGD,2437,True,2.2892255783081055,2
PGD,6132,False,2.4834892749786377,2
PGD,4204,False,2.444361686706543,2
PGD,306,False,2.396207094192505,2
PGD,1469,True,2.2888526916503906,3
PGD,2743,False,2.28930401802063,5
PGD,3152,False,2.1695005893707275,1
PGD,7439,False,2.4098081588745117,7
PGD,7848,True,2.36623215675354,2
PGD,2869,False,2.384917736053467,8
PGD,6971,True,2.4236361980438232,0
PGD,5452,False,2.5105273723602295,0
PGD,9247,False,2.5614094734191895,6
PGD,9425,False,2.498727560043335,0
PGD,9386,False,2.3157050609588623,9
PGD,4717,False,2.1730406284332275,1
PGD,7608,False,2.31695818901062,1
PGD,3142,False,2.4410104751586914,2
PGD,3747,False,2.203326940536499,1
PGD,6991,True,2.2988641262054443,5
PGD,3104,False,2.3718700408935547,3
PGD,9222,False,2.221957206726074,1
PGD,7450,False,2.3081071376800537,8
PGD,4603,False,2.2255711555480957,1
PGD,7316,False,2.370029926300049,4
PGD,3292,False,2.350071430206299,7
PGD,8321,False,2.382451057434082,7
PGD,5564,True,2.2782397270202637,4
PGD,6266,False,2.417384624481201,2
PGD,3058,False,2.477360248565674,6
PGD,5917,False,2.227574586868286,1
PGD,5445,False,2.370645046234131,5
PGD,4664,False,2.4231841564178467,3
PGD,3173,False,2.3938655853271484,6
PGD,621,False,2.329612970352173,8
PGD,3365,True,2.311802387237549,6
PGD,6257,False,2.5099353790283203,5
PGD,3131,False,2.3988454341888428,3
PGD,2495,False,2.4390575885772705,2
PGD,6323,False,2.4058022499084473,4
PGD,9697,False,2.4422545433044434,3
PGD,4048,True,2.383911371231079,0
PGD,3069,True,2.299375057220459,4
PGD,4244,False,2.3208413124084473,3
PGD,2849,False,2.4606151580810547,8
PGD,9298,False,2.520986795425415,5
PGD,5906,True,2.3545546531677246,7
PGD,3967,True,2.2144036293029785,9
PGD,2110,False,2.526742458343506,2
