Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,1.1560134887695312,5
DeepFool,1954,False,0.7020657062530518,5
DeepFool,5980,False,0.9054197072982788,0
DeepFool,1662,fail,2.50508975982666,0
DeepFool,779,fail,1.8456768989562988,0
DeepFool,8976,fail,1.6852424144744873,0
DeepFool,6064,fail,1.4017090797424316,0
DeepFool,640,True,1.051529049873352,1
DeepFool,5915,fail,1.9662926197052002,1
DeepFool,929,fail,2.010576009750366,1
DeepFool,9834,False,0.20226788520812988,8
DeepFool,8653,False,0.642897367477417,5
DeepFool,9960,False,0.9992383122444153,4
DeepFool,1391,False,1.0712342262268066,4
DeepFool,1057,False,1.0981389284133911,4
DeepFool,5033,fail,1.80683171749115,4
DeepFool,6791,True,0.8757455348968506,7
DeepFool,1978,False,0.8877862095832825,4
DeepFool,1262,False,1.337589144706726,2
DeepFool,366,False,0.5233430862426758,6
DeepFool,8677,True,1.349495768547058,6
DeepFool,7028,fail,2.2809507846832275,6
DeepFool,8117,False,1.2850819826126099,0
DeepFool,1829,True,1.1755636930465698,1
DeepFool,8683,fail,1.7034783363342285,1
DeepFool,1164,True,0.6416792869567871,7
DeepFool,7580,False,0.5987653136253357,9
DeepFool,3536,False,0.6832621097564697,0
DeepFool,2358,True,0.626487135887146,1
DeepFool,2525,False,0.6591116786003113,5
DeepFool,2012,fail,1.921552300453186,5
DeepFool,9163,False,0.6683149933815002,3
DeepFool,1573,False,0.7071945071220398,8
DeepFool,9498,False,1.3807132244110107,0
DeepFool,8904,fail,2.5163280963897705,0
DeepFool,5416,fail,1.6059738397598267,0
DeepFool,7445,True,1.2668843269348145,7
DeepFool,3519,fail,1.4792635440826416,7
DeepFool,9952,fail,1.770767092704773,7
DeepFool,9139,False,0.4187566637992859,8
DeepFool,2056,False,0.7462528944015503,8
DeepFool,7079,fail,1.7571759223937988,8
DeepFool,8153,False,1.2979382276535034,2
DeepFool,8488,True,0.9787877798080444,1
DeepFool,5810,fail,1.659070611000061,1
DeepFool,3412,False,0.7174117565155029,0
DeepFool,6439,fail,1.6793556213378906,0
DeepFool,9638,True,0.0,9
DeepFool,9229,False,1.1542826890945435,3
DeepFool,2354,fail,1.928892970085144,3
DeepFool,9413,fail,1.9193227291107178,3
DeepFool,371,fail,2.128220796585083,3
DeepFool,3019,fail,1.8323054313659668,3
DeepFool,8228,False,1.3961434364318848,0
DeepFool,8901,False,1.1287057399749756,6
DeepFool,9733,False,0.34398797154426575,9
DeepFool,3549,True,0.3601441979408264,3
DeepFool,8883,fail,3.1989378929138184,3
DeepFool,1681,True,0.0,3
DeepFool,777,fail,1.402369737625122,3
DeepFool,8217,False,0.7891829013824463,8
DeepFool,8816,False,0.15471693873405457,8
DeepFool,4832,fail,1.5605510473251343,8
DeepFool,8456,False,0.43757006525993347,8
DeepFool,8911,fail,1.970224380493164,8
DeepFool,9615,False,1.1853491067886353,4
DeepFool,6362,fail,1.7705929279327393,4
DeepFool,3252,True,1.0421382188796997,6
DeepFool,7524,False,0.30411824584007263,8
DeepFool,1692,False,1.3123301267623901,0
DeepFool,424,fail,1.8533638715744019,0
DeepFool,2009,False,0.6956828832626343,9
DeepFool,425,False,0.8621585369110107,4
DeepFool,332,fail,2.225409984588623,4
DeepFool,5090,True,0.9921441078186035,1
DeepFool,5952,False,1.0875009298324585,0
DeepFool,5162,fail,1.5669965744018555,0
DeepFool,5307,fail,1.974063754081726,0
DeepFool,9577,True,1.329420804977417,2
DeepFool,6555,False,0.007216726895421743,8
DeepFool,8262,fail,1.5357234477996826,8
DeepFool,24,False,1.0491766929626465,4
DeepFool,9531,True,1.2659294605255127,6
DeepFool,8340,fail,1.5293978452682495,6
DeepFool,2475,False,1.2964754104614258,2
DeepFool,2351,False,0.6354502439498901,3
DeepFool,1622,False,1.0713502168655396,9
DeepFool,1462,False,0.38653799891471863,2
DeepFool,1470,False,0.38466504216194153,8
DeepFool,2,fail,2.354081630706787,8
DeepFool,1053,False,0.8656198978424072,2
DeepFool,3331,True,1.1308716535568237,6
DeepFool,4061,True,1.2553718090057373,7
DeepFool,3113,fail,2.3668274879455566,7
DeepFool,5469,fail,2.2765729427337646,7
DeepFool,1867,fail,2.1854805946350098,7
DeepFool,6026,False,0.8331595063209534,7
DeepFool,5492,False,1.3124845027923584,3
DeepFool,4782,False,1.1572701930999756,3
DeepFool,1693,fail,1.5903862714767456,3
PGD,2772,False,0.3361598551273346,5
PGD,1954,False,0.41602814197540283,5
PGD,5980,False,0.43565118312835693,0
PGD,1662,False,0.4072592854499817,6
PGD,779,False,0.3770216107368469,5
PGD,8976,False,0.3331226110458374,1
PGD,6064,False,0.4472179114818573,2
PGD,640,False,0.2926785349845886,1
PGD,5915,False,0.2861136198043823,1
PGD,929,False,0.2688491940498352,1
