Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,0.0,5
DeepFool,1954,False,0.0,5
DeepFool,5980,False,0.1770072877407074,0
DeepFool,1662,False,1.1570422649383545,6
DeepFool,779,False,0.0,5
DeepFool,8976,fail,2.432415723800659,5
DeepFool,6064,False,0.0,2
DeepFool,640,fail,1.5767792463302612,2
DeepFool,5915,fail,2.984433650970459,2
DeepFool,929,fail,3.1959190368652344,2
DeepFool,9834,False,0.0,8
DeepFool,8653,False,0.0,5
DeepFool,9960,fail,1.4028451442718506,5
DeepFool,1391,False,0.4553917944431305,4
DeepFool,1057,False,0.0,4
DeepFool,5033,False,0.2919479310512543,0
DeepFool,6791,False,0.0,7
DeepFool,1978,False,0.5148212909698486,4
DeepFool,1262,False,0.0,2
DeepFool,366,False,0.39750608801841736,6
DeepFool,8677,False,0.6621618270874023,6
DeepFool,7028,False,0.33540990948677063,7
DeepFool,8117,False,0.4493720829486847,0
DeepFool,1829,fail,3.3175415992736816,0
DeepFool,8683,False,0.0,2
DeepFool,1164,False,0.5150952339172363,7
DeepFool,7580,False,0.0,9
DeepFool,3536,False,0.3301100432872772,0
DeepFool,2358,False,0.6441724896430969,1
DeepFool,2525,False,0.0,5
DeepFool,2012,False,0.9049708247184753,4
DeepFool,9163,False,0.0,3
DeepFool,1573,False,0.0,8
DeepFool,9498,False,0.862258791923523,0
DeepFool,8904,False,0.7932777404785156,7
DeepFool,5416,fail,1.644058108329773,7
DeepFool,7445,False,0.05417032167315483,7
DeepFool,3519,False,0.0,8
DeepFool,9952,False,1.0066475868225098,0
DeepFool,9139,False,0.0,8
DeepFool,2056,False,0.0,8
DeepFool,7079,False,0.34627479314804077,7
DeepFool,8153,False,0.0,2
DeepFool,8488,fail,1.5096971988677979,2
DeepFool,5810,False,0.38434767723083496,6
DeepFool,3412,False,0.0,0
DeepFool,6439,False,0.0,2
DeepFool,9638,True,0.0,9
DeepFool,9229,False,0.0,3
DeepFool,2354,False,0.12215901166200638,2
DeepFool,9413,False,0.0,7
DeepFool,371,False,0.0,2
DeepFool,3019,fail,2.1900100708007812,2
DeepFool,8228,False,0.09182090312242508,0
DeepFool,8901,False,0.0,6
DeepFool,9733,False,0.0,9
DeepFool,3549,False,0.0,3
DeepFool,8883,False,0.04809270426630974,7
DeepFool,1681,True,0.0,3
DeepFool,777,fail,2.003849983215332,3
DeepFool,8217,False,0.021788330748677254,8
DeepFool,8816,False,0.0,8
DeepFool,4832,False,0.3895210921764374,6
DeepFool,8456,False,0.0,8
DeepFool,8911,False,0.16298989951610565,7
DeepFool,9615,False,0.2775379419326782,4
DeepFool,6362,False,0.9415696859359741,4
DeepFool,3252,False,0.05032164603471756,6
DeepFool,7524,False,0.0,8
DeepFool,1692,False,0.694974958896637,0
DeepFool,424,False,0.6661388278007507,0
DeepFool,2009,False,0.18926692008972168,9
DeepFool,425,False,0.8243941068649292,4
DeepFool,332,fail,3.165400743484497,4
DeepFool,5090,fail,1.5916931629180908,4
DeepFool,5952,False,0.3725265562534332,0
DeepFool,5162,False,0.0,7
DeepFool,5307,False,0.44954821467399597,0
DeepFool,9577,False,0.0,2
DeepFool,6555,False,0.0,8
DeepFool,8262,False,0.0,2
DeepFool,24,False,0.7612164616584778,4
DeepFool,9531,False,0.5380467772483826,6
DeepFool,8340,fail,1.662493109703064,6
DeepFool,2475,False,0.0,2
DeepFool,2351,False,0.0,3
DeepFool,1622,False,0.1097518727183342,9
DeepFool,1462,False,0.0,2
DeepFool,1470,False,0.0,8
DeepFool,2,fail,2.44526743888855,8
DeepFool,1053,False,0.0,2
DeepFool,3331,False,0.5392352342605591,6
DeepFool,4061,False,0.0,7
DeepFool,3113,False,0.0,5
DeepFool,5469,False,1.3335152864456177,6
DeepFool,1867,fail,3.1983914375305176,6
DeepFool,6026,False,0.0,7
