Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,0.13201947510242462,5
DeepFool,1954,False,0.0,5
DeepFool,5980,False,0.3464272916316986,0
DeepFool,1662,False,1.0388963222503662,6
DeepFool,779,False,0.3763778507709503,5
DeepFool,8976,fail,1.7934679985046387,5
DeepFool,6064,False,0.0,2
DeepFool,640,fail,1.9497532844543457,2
DeepFool,5915,fail,2.683887243270874,2
DeepFool,929,fail,2.955998659133911,2
DeepFool,9834,False,0.0,8
DeepFool,8653,False,0.06775155663490295,5
DeepFool,9960,False,0.9840937256813049,4
DeepFool,1391,False,0.8751201033592224,4
DeepFool,1057,False,0.0047387490049004555,4
DeepFool,5033,False,0.3811626434326172,0
DeepFool,6791,False,0.17623816430568695,7
DeepFool,1978,False,0.8329178094863892,4
DeepFool,1262,False,0.0,2
DeepFool,366,False,0.6178258061408997,6
DeepFool,8677,False,0.7736610174179077,6
DeepFool,7028,False,0.6036396622657776,7
DeepFool,8117,False,1.1756693124771118,0
DeepFool,1829,fail,2.2787485122680664,0
DeepFool,8683,False,0.1763671338558197,2
DeepFool,1164,False,0.8335545063018799,7
DeepFool,7580,False,0.04482511803507805,9
DeepFool,3536,False,0.4081989824771881,0
DeepFool,2358,False,0.9362182021141052,1
DeepFool,2525,False,0.0,5
DeepFool,2012,False,0.9812286496162415,4
DeepFool,9163,False,0.0,3
DeepFool,1573,False,0.0,8
DeepFool,9498,False,0.9211751222610474,0
DeepFool,8904,fail,1.5724029541015625,0
DeepFool,5416,fail,1.8081707954406738,0
DeepFool,7445,False,0.5222536325454712,7
DeepFool,3519,False,0.0,8
DeepFool,9952,False,1.2900339365005493,0
DeepFool,9139,False,0.0,8
DeepFool,2056,False,0.1074143648147583,8
DeepFool,7079,False,1.0763845443725586,7
DeepFool,8153,False,0.0,2
DeepFool,8488,fail,1.8442182540893555,2
DeepFool,5810,False,0.3664354681968689,6
DeepFool,3412,False,0.0,0
DeepFool,6439,False,0.0,2
DeepFool,9638,True,0.0,9
DeepFool,9229,False,0.0,3
DeepFool,2354,False,0.30524271726608276,2
DeepFool,9413,False,0.02399688959121704,7
DeepFool,371,False,0.0,2
DeepFool,3019,fail,1.9012861251831055,2
DeepFool,8228,False,0.3395094573497772,0
DeepFool,8901,False,0.21744492650032043,6
DeepFool,9733,False,0.0,9
DeepFool,3549,False,0.0,3
DeepFool,8883,False,0.7348769307136536,7
DeepFool,1681,False,0.0,3
DeepFool,777,fail,2.000380754470825,3
DeepFool,8217,False,0.52436763048172,8
DeepFool,8816,False,0.0,8
DeepFool,4832,False,0.375890851020813,6
DeepFool,8456,False,0.013984426856040955,8
DeepFool,8911,False,0.5350012183189392,7
DeepFool,9615,False,0.7284051775932312,4
DeepFool,6362,False,1.0244685411453247,4
DeepFool,3252,False,0.10851022601127625,6
DeepFool,7524,False,0.0,8
DeepFool,1692,False,1.0781108140945435,0
DeepFool,424,False,0.8839377760887146,0
DeepFool,2009,False,0.3313426971435547,9
DeepFool,425,False,1.0506750345230103,4
DeepFool,332,fail,3.229322910308838,4
DeepFool,5090,fail,1.657839059829712,4
DeepFool,5952,False,0.2854379415512085,0
DeepFool,5162,False,0.5614080429077148,7
DeepFool,5307,False,0.5348614454269409,0
DeepFool,9577,False,0.0,2
DeepFool,6555,False,0.0,8
DeepFool,8262,False,0.0,2
DeepFool,24,False,0.6236542463302612,4
DeepFool,9531,False,0.6265698075294495,6
DeepFool,8340,fail,1.551774024963379,6
DeepFool,2475,False,0.0932672843337059,2
DeepFool,2351,False,0.0,3
DeepFool,1622,False,0.2507198750972748,9
DeepFool,1462,False,0.0,2
DeepFool,1470,False,0.03455974906682968,8
DeepFool,2,fail,2.1483981609344482,8
DeepFool,1053,False,0.0,2
DeepFool,3331,False,0.7437828183174133,6
DeepFool,4061,False,0.1887964904308319,7
DeepFool,3113,False,0.5837581753730774,5
DeepFool,5469,False,1.399226427078247,6
DeepFool,1867,fail,2.882774591445923,6
DeepFool,6026,False,0.0,7
DeepFool,5492,False,0.2459731251001358,3
DeepFool,4782,False,0.3224884569644928,3
DeepFool,1693,False,0.3889506757259369,5
PGD,2772,False,0.5965936183929443,5
PGD,1954,False,0.6063519716262817,5
PGD,5980,False,0.6103703379631042,0
PGD,1662,False,0.5877768397331238,6
PGD,779,False,0.588559627532959,5
PGD,8976,False,0.585548996925354,1
PGD,6064,False,0.6172818541526794,2
PGD,640,False,0.5643897652626038,1
PGD,5915,False,0.5556753277778625,1
PGD,929,False,0.5449146628379822,1
PGD,9834,False,0.6198175549507141,8
PGD,8653,False,0.6246749758720398,5
PGD,9960,False,0.5510271191596985,4
PGD,1391,False,0.5817246437072754,4
PGD,1057,False,0.5611411333084106,4
PGD,5033,False,0.6105568408966064,0
PGD,6791,False,0.6169771552085876,7
PGD,1978,False,0.5680856108665466,4
PGD,1262,False,0.5820252299308777,2
PGD,366,False,0.5970588326454163,6
PGD,8677,False,0.6087450981140137,6
PGD,7028,False,0.6006698608398438,7
PGD,8117,False,0.6453591585159302,0
PGD,1829,False,0.5434432625770569,1
PGD,8683,False,0.6201246380805969,2
PGD,1164,False,0.6106622219085693,7
PGD,7580,False,0.6054024696350098,9
PGD,3536,False,0.6153013706207275,0
PGD,2358,False,0.5914099812507629,1
PGD,2525,False,0.6088629364967346,5
PGD,2012,False,0.542893648147583,4
PGD,9163,False,0.637212336063385,3
PGD,1573,False,0.5928953886032104,8
PGD,9498,False,0.5987551808357239,0
PGD,8904,False,0.6050286293029785,7
PGD,5416,False,0.5411764979362488,1
PGD,7445,False,0.5998827815055847,7
PGD,3519,False,0.6224295496940613,8
PGD,9952,False,0.6234468817710876,0
PGD,9139,False,0.6203863620758057,8
PGD,2056,False,0.6137840747833252,8
PGD,7079,False,0.5894363522529602,7
PGD,8153,False,0.6126142740249634,2
PGD,8488,False,0.5690017938613892,1
PGD,5810,False,0.616101861000061,6
PGD,3412,False,0.6042049527168274,0
PGD,6439,False,0.6332095265388489,2
PGD,9638,True,0.0,9
PGD,9229,False,0.6182461977005005,3
PGD,2354,False,0.6268715262413025,2
PGD,9413,False,0.5894067883491516,7
PGD,371,False,0.611269474029541,2
PGD,3019,False,0.5577452182769775,1
PGD,8228,False,0.642345666885376,0
PGD,8901,False,0.626007616519928,6
PGD,9733,False,0.592583179473877,9
