Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,1.2387374639511108,5
DeepFool,1954,False,0.4114668369293213,5
DeepFool,5980,False,1.2885018587112427,0
DeepFool,1662,fail,2.2599620819091797,0
DeepFool,779,fail,1.8883934020996094,0
DeepFool,8976,fail,2.0768468379974365,0
DeepFool,6064,fail,1.410317063331604,0
DeepFool,640,True,1.3051962852478027,1
DeepFool,5915,fail,3.0244176387786865,1
DeepFool,929,fail,1.9902859926223755,1
DeepFool,9834,False,0.5650144219398499,8
DeepFool,8653,False,1.1631813049316406,5
DeepFool,9960,False,0.9136080741882324,4
DeepFool,1391,False,1.0701093673706055,4
DeepFool,1057,False,1.040251612663269,4
DeepFool,5033,False,1.2977274656295776,0
DeepFool,6791,True,1.365612506866455,7
DeepFool,1978,False,0.8014925718307495,4
DeepFool,1262,fail,1.501811146736145,4
DeepFool,366,False,0.7783973813056946,6
DeepFool,8677,fail,2.164199113845825,6
DeepFool,7028,fail,1.7440859079360962,6
DeepFool,8117,fail,1.4968260526657104,6
DeepFool,1829,False,1.224039077758789,1
DeepFool,8683,fail,1.862349271774292,1
DeepFool,1164,True,0.3237547278404236,7
DeepFool,7580,False,0.6949900388717651,9
DeepFool,3536,False,0.8540518283843994,0
DeepFool,2358,False,1.154948115348816,1
DeepFool,2525,False,0.3854357600212097,5
DeepFool,2012,fail,1.582099199295044,5
DeepFool,9163,False,0.42065081000328064,3
DeepFool,1573,False,0.86879962682724,8
DeepFool,9498,fail,1.554774284362793,8
DeepFool,8904,fail,1.4740558862686157,8
DeepFool,5416,False,1.019967794418335,1
DeepFool,7445,True,1.289518117904663,7
DeepFool,3519,False,1.0038716793060303,8
DeepFool,9952,fail,1.5527334213256836,8
DeepFool,9139,False,0.6991452574729919,8
DeepFool,2056,False,0.8441857695579529,8
DeepFool,7079,False,1.2688829898834229,7
DeepFool,8153,fail,1.7003657817840576,7
DeepFool,8488,True,1.3079094886779785,1
DeepFool,5810,fail,1.608677864074707,1
DeepFool,3412,False,0.7933664917945862,0
DeepFool,6439,fail,2.1247646808624268,0
DeepFool,9638,False,0.1833631992340088,9
DeepFool,9229,False,1.2736961841583252,3
DeepFool,2354,fail,2.2347238063812256,3
DeepFool,9413,fail,1.6524461507797241,3
DeepFool,371,fail,2.4467849731445312,3
DeepFool,3019,fail,1.4033313989639282,3
DeepFool,8228,False,0.6416153907775879,0
DeepFool,8901,True,0.9389852285385132,6
DeepFool,9733,False,0.118240587413311,9
DeepFool,3549,True,0.0,3
DeepFool,8883,fail,2.598832130432129,3
DeepFool,1681,False,0.0,3
DeepFool,777,False,0.8960958123207092,1
DeepFool,8217,True,0.5628677606582642,8
DeepFool,8816,True,0.3404396176338196,8
DeepFool,4832,fail,1.8650106191635132,8
DeepFool,8456,False,0.5796980857849121,8
DeepFool,8911,fail,1.8224520683288574,8
DeepFool,9615,True,0.9512101411819458,4
DeepFool,6362,fail,1.837726354598999,4
DeepFool,3252,True,1.08063805103302,6
DeepFool,7524,False,0.21190620958805084,8
DeepFool,1692,fail,1.535501480102539,8
DeepFool,424,fail,1.462736964225769,8
DeepFool,2009,False,0.86082524061203,9
DeepFool,425,fail,1.7968196868896484,9
DeepFool,332,fail,2.5567092895507812,9
DeepFool,5090,False,1.263620376586914,1
DeepFool,5952,fail,1.4064065217971802,1
DeepFool,5162,fail,1.8657714128494263,1
DeepFool,5307,False,1.2525500059127808,0
DeepFool,9577,fail,1.433013677597046,0
DeepFool,6555,True,0.0,8
DeepFool,8262,False,0.6946877837181091,2
DeepFool,24,True,1.234544038772583,4
DeepFool,9531,fail,1.5518121719360352,4
DeepFool,8340,fail,1.690908432006836,4
DeepFool,2475,False,0.8991230726242065,2
DeepFool,2351,False,0.20186997950077057,3
DeepFool,1622,False,0.9262092709541321,9
DeepFool,1462,False,0.5527320504188538,2
DeepFool,1470,False,0.6122543215751648,8
DeepFool,2,fail,1.9517406225204468,8
DeepFool,1053,fail,1.7387014627456665,8
DeepFool,3331,True,0.9696012735366821,6
DeepFool,4061,True,1.084011435508728,7
DeepFool,3113,False,1.3857746124267578,5
DeepFool,5469,fail,1.483021855354309,5
DeepFool,1867,fail,1.8681933879852295,5
DeepFool,6026,False,0.5709965825080872,7
DeepFool,5492,fail,1.551309585571289,7
DeepFool,4782,fail,1.5030627250671387,7
DeepFool,1693,fail,2.1532397270202637,7
PGD,2772,False,0.37491610646247864,5
PGD,1954,False,0.4352239966392517,5
PGD,5980,False,0.45696544647216797,0
PGD,1662,False,0.4439348578453064,6
PGD,779,False,0.39559629559516907,5
PGD,8976,False,0.3514782190322876,1
PGD,6064,False,0.4787253439426422,2
PGD,640,False,0.31984442472457886,1
PGD,5915,False,0.3211131989955902,1
PGD,929,False,0.2949270009994507,1
PGD,9834,False,0.4003794491291046,8
PGD,8653,False,0.42787840962409973,5
PGD,9960,False,0.40905654430389404,4
PGD,1391,False,0.41620102524757385,4
PGD,1057,False,0.4040761888027191,4
PGD,5033,False,0.4642116129398346,0
PGD,6791,False,0.4372095465660095,7
PGD,1978,False,0.3842555582523346,4
PGD,1262,False,0.379331111907959,2
PGD,366,False,0.42915603518486023,6
PGD,8677,False,0.44696947932243347,6
PGD,7028,False,0.36179319024086,7
PGD,8117,False,0.49261564016342163,0
PGD,1829,False,0.280517041683197,1
PGD,8683,False,0.4465597867965698,2
PGD,1164,False,0.4114481210708618,7
PGD,7580,False,0.43578001856803894,9
PGD,3536,False,0.4700504541397095,0
PGD,2358,False,0.3913505971431732,1
PGD,2525,False,0.3672254979610443,5
PGD,2012,False,0.38180771470069885,4
PGD,9163,False,0.46167147159576416,3
PGD,1573,False,0.40373244881629944,8
PGD,9498,False,0.48105981945991516,0
PGD,8904,False,0.4237956404685974,7
PGD,5416,False,0.3013235032558441,1
PGD,7445,False,0.3969350755214691,7
PGD,3519,False,0.4179953634738922,8
PGD,9952,False,0.49458807706832886,0
PGD,9139,False,0.43139272928237915,8
PGD,2056,False,0.41962432861328125,8
PGD,7079,False,0.3951086699962616,7
PGD,8153,False,0.4154682159423828,2
PGD,8488,False,0.37094634771347046,1
PGD,5810,False,0.41797733306884766,6
PGD,3412,False,0.45507609844207764,0
PGD,6439,False,0.4753072261810303,2
PGD,9638,False,0.4162856340408325,9
PGD,9229,False,0.4745953679084778,3
PGD,2354,False,0.45921269059181213,2
PGD,9413,False,0.3613118827342987,7
PGD,371,False,0.4417179524898529,2
PGD,3019,False,0.2954714298248291,1
PGD,8228,False,0.4564270079135895,0
PGD,8901,False,0.43687015771865845,6
PGD,9733,True,0.40765199065208435,9
PGD,3549,True,0.0,3
PGD,8883,False,0.4234728515148163,7
PGD,1681,True,0.42540520429611206,3
PGD,777,False,0.31626638770103455,1
PGD,8217,False,0.4426983892917633,8
PGD,8816,False,0.40705758333206177,8
PGD,4832,False,0.3839934766292572,6
PGD,8456,False,0.47876161336898804,8
PGD,8911,False,0.40280959010124207,7
PGD,9615,False,0.44727474451065063,4
PGD,6362,False,0.3849320113658905,4
PGD,3252,False,0.4004928469657898,6
PGD,7524,False,0.47154098749160767,8
PGD,1692,False,0.49179956316947937,0
PGD,424,False,0.45210000872612,0
PGD,2009,False,0.4685969352722168,9
PGD,425,False,0.4316963851451874,4
PGD,332,False,0.3110150098800659,1
PGD,5090,False,0.364866703748703,1
PGD,5952,False,0.4830522835254669,0
PGD,5162,False,0.34589850902557373,7
PGD,5307,False,0.4401700496673584,0
PGD,9577,False,0.49336788058280945,2
PGD,6555,True,0.0,8
PGD,8262,False,0.38405320048332214,2
PGD,24,False,0.3763046860694885,4
PGD,9531,False,0.38861140608787537,6
PGD,8340,False,0.37046030163764954,1
PGD,2475,False,0.4328947067260742,2
PGD,2351,False,0.459016352891922,3
PGD,1622,False,0.39135169982910156,9
PGD,1462,False,0.4397702217102051,2
PGD,1470,False,0.43347781896591187,8
PGD,2,False,0.3116106688976288,1
PGD,1053,False,0.46459129452705383,2
PGD,3331,False,0.4067743718624115,6
PGD,4061,False,0.37055516242980957,7
PGD,3113,False,0.38630932569503784,5
PGD,5469,False,0.48406848311424255,6
PGD,1867,False,0.30853497982025146,1
PGD,6026,False,0.33299267292022705,7
PGD,5492,False,0.49937307834625244,3
PGD,4782,False,0.4336521625518799,3
PGD,1693,False,0.3981502950191498,5
JSMA,2772,False,0.17748382687568665,5
JSMA,1954,False,0.19256189465522766,5
JSMA,5980,False,0.9523884654045105,0
JSMA,1662,False,0.08814002573490143,6
JSMA,779,False,0.14041882753372192,5
JSMA,8976,False,0.5375358462333679,1
JSMA,6064,False,0.5453260540962219,2
JSMA,640,False,0.8834593892097473,1
JSMA,5915,False,0.8874189853668213,1
JSMA,929,False,0.7042784094810486,1
JSMA,9834,False,1.2286019325256348,8
JSMA,8653,False,0.11658763140439987,5
JSMA,9960,False,0.2322286069393158,4
JSMA,1391,False,0.42096489667892456,4
JSMA,1057,False,0.241252139210701,4
JSMA,5033,fail,1.4142135381698608,4
JSMA,6791,False,0.941723644733429,7
JSMA,1978,False,1.0300768613815308,4
JSMA,1262,False,0.03617319092154503,2
JSMA,366,False,1.0198038816452026,6
JSMA,8677,False,0.016687707975506783,6
JSMA,7028,False,0.022877909243106842,7
JSMA,8117,False,0.07542873173952103,0
JSMA,1829,False,1.0434577465057373,1
JSMA,8683,False,0.016687707975506783,2
JSMA,1164,False,0.8950537443161011,7
JSMA,7580,False,0.0561537966132164,9
JSMA,3536,False,0.8656683564186096,0
JSMA,2358,False,0.016687707975506783,1
JSMA,2525,False,1.3652048110961914,5
JSMA,2012,False,0.33220770955085754,4
JSMA,9163,False,1.0401767492294312,3
JSMA,1573,False,0.5079020857810974,8
JSMA,9498,False,0.022203128784894943,0
JSMA,8904,False,1.0921980142593384,7
JSMA,5416,False,0.7042784094810486,1
JSMA,7445,False,0.7956337928771973,7
JSMA,3519,False,1.0123059749603271,8
JSMA,9952,False,0.028262000530958176,0
JSMA,9139,False,1.326633334159851,8
JSMA,2056,False,0.11773461103439331,8
JSMA,7079,False,1.0003780126571655,7
JSMA,8153,False,0.21492983400821686,2
JSMA,8488,False,0.2107899785041809,1
JSMA,5810,False,0.8627806901931763,6
JSMA,3412,False,0.30630260705947876,0
JSMA,6439,False,0.2690260112285614,2
JSMA,9638,False,0.9901871085166931,9
JSMA,9229,False,0.9311903119087219,3
JSMA,2354,False,0.8904916644096375,2
JSMA,9413,False,0.6274999976158142,7
JSMA,371,False,0.4628504514694214,2
JSMA,3019,False,1.0906356573104858,1
JSMA,8228,False,1.0003780126571655,0
JSMA,8901,False,0.06380067765712738,6
JSMA,9733,False,0.5571001768112183,9
JSMA,3549,True,0.0,3
JSMA,8883,False,0.10927323997020721,7
JSMA,1681,True,0.9893642663955688,3
JSMA,777,False,1.1503503322601318,1
JSMA,8217,False,0.07542873173952103,8
JSMA,8816,False,1.0830515623092651,8
JSMA,4832,False,0.16079604625701904,6
JSMA,8456,False,1.0144392251968384,8
JSMA,8911,False,1.0154566764831543,7
JSMA,9615,False,1.0409785509109497,4
JSMA,6362,False,0.985036313533783,4
JSMA,3252,False,1.00784432888031,6
JSMA,7524,False,0.016687707975506783,8
JSMA,1692,False,0.47586628794670105,0
JSMA,424,False,1.0055917501449585,0
JSMA,2009,False,0.12558867037296295,9
JSMA,425,False,0.8118857741355896,4
JSMA,332,False,0.530726432800293,1
JSMA,5090,False,0.3932308554649353,1
JSMA,5952,False,0.1381947249174118,0
JSMA,5162,False,0.46329641342163086,7
JSMA,5307,False,0.016687707975506783,0
JSMA,9577,False,0.022203128784894943,2
JSMA,6555,True,0.0,8
JSMA,8262,False,0.17409338057041168,2
JSMA,24,False,0.1668645292520523,4
JSMA,9531,False,1.0310194492340088,6
JSMA,8340,False,0.5923175811767578,1
JSMA,2475,False,0.27475351095199585,2
JSMA,2351,False,1.1426715850830078,3
JSMA,1622,False,0.17082802951335907,9
JSMA,1462,False,0.1381947249174118,2
JSMA,1470,False,0.1722557693719864,8
JSMA,2,False,0.0561537966132164,1
JSMA,1053,False,1.0391994714736938,2
JSMA,3331,False,1.231788992881775,6
JSMA,4061,False,0.9944489002227783,7
JSMA,3113,False,1.0064430236816406,5
JSMA,5469,False,0.9767417907714844,6
JSMA,1867,False,1.0057520866394043,1
JSMA,6026,False,0.03722003474831581,7
JSMA,5492,False,0.016687707975506783,3
JSMA,4782,False,0.8866114616394043,3
JSMA,1693,False,0.5963644981384277,5
OnePixel,2772,False,0.9273000955581665,5
OnePixel,1954,False,0.6785045862197876,5
OnePixel,5980,False,0.895409882068634,0
OnePixel,1662,False,0.8260752558708191,6
OnePixel,779,False,0.6502038240432739,5
OnePixel,8976,False,0.7119132280349731,1
OnePixel,6064,False,0.8296998739242554,2
OnePixel,640,False,0.7282462120056152,1
OnePixel,5915,False,0.7356299757957458,1
OnePixel,929,False,0.9936445951461792,1
OnePixel,9834,False,0.534893274307251,8
OnePixel,8653,False,0.8720967769622803,5
OnePixel,9960,False,0.9977540373802185,4
OnePixel,1391,False,0.8737103343009949,4
OnePixel,1057,False,0.8758803606033325,4
OnePixel,5033,False,0.9474061131477356,0
OnePixel,6791,False,0.9432698488235474,7
OnePixel,1978,False,0.46568480134010315,4
OnePixel,1262,False,0.5849556922912598,2
OnePixel,366,False,0.9489510655403137,6
OnePixel,8677,False,0.9873758554458618,6
OnePixel,7028,False,0.8318825960159302,7
OnePixel,8117,False,0.7826941609382629,0
OnePixel,1829,False,0.6886298656463623,1
OnePixel,8683,False,0.92536461353302,2
OnePixel,1164,False,0.45640474557876587,7
OnePixel,7580,False,0.8326786756515503,9
OnePixel,3536,False,0.9207305312156677,0
OnePixel,2358,False,0.9929712414741516,1
OnePixel,2525,False,0.6664741635322571,5
OnePixel,2012,False,0.8817334175109863,4
OnePixel,9163,False,0.9836182594299316,3
OnePixel,1573,False,0.8191810250282288,8
OnePixel,9498,False,0.9780375361442566,0
OnePixel,8904,False,0.9342076778411865,7
OnePixel,5416,False,0.8560793995857239,1
OnePixel,7445,False,0.9592840671539307,7
OnePixel,3519,False,0.6636338233947754,8
OnePixel,9952,False,0.909207820892334,0
