Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,False,0.260903537273407,5
DeepFool,1954,False,0.0,5
DeepFool,5980,False,0.6415492296218872,0
DeepFool,1662,False,0.5089144110679626,6
DeepFool,779,False,0.6151169538497925,5
DeepFool,8976,fail,2.3901052474975586,5
DeepFool,6064,False,0.0,2
DeepFool,640,fail,1.453227162361145,2
DeepFool,5915,fail,2.7936909198760986,2
DeepFool,929,fail,2.2988169193267822,2
DeepFool,9834,False,0.04399745538830757,8
DeepFool,8653,False,0.03263202682137489,5
DeepFool,9960,False,0.2779972553253174,4
DeepFool,1391,False,0.24058806896209717,4
DeepFool,1057,False,0.0,4
DeepFool,5033,False,0.22397086024284363,0
DeepFool,6791,False,0.7906177043914795,7
DeepFool,1978,False,0.30108094215393066,4
DeepFool,1262,False,0.0,2
DeepFool,366,False,0.2774561941623688,6
DeepFool,8677,False,0.6432331800460815,6
DeepFool,7028,False,1.0774132013320923,7
DeepFool,8117,False,1.3838802576065063,0
DeepFool,1829,False,1.2226324081420898,1
DeepFool,8683,False,0.0,2
DeepFool,1164,False,1.1074039936065674,7
DeepFool,7580,False,0.37385839223861694,9
DeepFool,3536,False,0.7265273332595825,0
DeepFool,2358,True,1.347528338432312,1
DeepFool,2525,False,0.06987588107585907,5
DeepFool,2012,False,0.6465059518814087,4
DeepFool,9163,False,0.0,3
DeepFool,1573,False,0.0,8
DeepFool,9498,False,1.1155203580856323,0
DeepFool,8904,False,1.2029098272323608,7
DeepFool,5416,fail,2.1260673999786377,7
DeepFool,7445,False,0.2823594808578491,7
DeepFool,3519,False,0.0020407086703926325,8
DeepFool,9952,False,1.3372235298156738,0
DeepFool,9139,False,0.0,8
DeepFool,2056,False,0.0,8
DeepFool,7079,False,0.7549147009849548,7
DeepFool,8153,False,0.0,2
DeepFool,8488,fail,2.726794719696045,2
DeepFool,5810,False,0.16245433688163757,6
DeepFool,3412,False,0.0,0
DeepFool,6439,False,0.007964353077113628,2
