Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,2772,fail,1.6277357339859009,
DeepFool,1954,False,0.3623514175415039,5
DeepFool,5980,fail,1.5528239011764526,5
DeepFool,1662,fail,2.323863983154297,5
DeepFool,779,fail,1.5377601385116577,5
DeepFool,8976,False,1.3465036153793335,1
DeepFool,6064,fail,1.6738330125808716,1
DeepFool,640,False,1.19257390499115,1
DeepFool,5915,fail,2.228219985961914,1
DeepFool,929,fail,1.8464672565460205,1
DeepFool,9834,False,0.8655706644058228,8
DeepFool,8653,False,0.47623690962791443,5
DeepFool,9960,False,1.208915114402771,4
DeepFool,1391,False,0.902438223361969,4
DeepFool,1057,False,1.1312575340270996,4
DeepFool,5033,fail,2.065901756286621,4
DeepFool,6791,fail,1.5767251253128052,4
DeepFool,1978,True,1.2392888069152832,4
DeepFool,1262,False,1.292947769165039,2
DeepFool,366,False,0.4588316082954407,6
DeepFool,8677,fail,2.126441240310669,6
DeepFool,7028,fail,1.6560873985290527,6
DeepFool,8117,fail,2.1972248554229736,6
DeepFool,1829,False,1.0345901250839233,1
DeepFool,8683,fail,2.2420291900634766,1
DeepFool,1164,True,0.6567682027816772,7
DeepFool,7580,False,0.859007716178894,9
DeepFool,3536,False,0.6938469409942627,0
DeepFool,2358,False,0.816113293170929,1
DeepFool,2525,False,0.3570132255554199,5
DeepFool,2012,fail,1.7634918689727783,5
DeepFool,9163,False,1.1296545267105103,3
DeepFool,1573,False,0.9451545476913452,8
DeepFool,9498,fail,1.6615095138549805,8
DeepFool,8904,fail,2.181421995162964,8
DeepFool,5416,True,1.3319783210754395,1
DeepFool,7445,False,1.1853331327438354,7
DeepFool,3519,False,1.0907613039016724,8
DeepFool,9952,False,1.2678838968276978,0
DeepFool,9139,False,1.0782305002212524,8
DeepFool,2056,False,0.6443712711334229,8
DeepFool,7079,False,1.2918293476104736,7
DeepFool,8153,False,1.3836451768875122,2
DeepFool,8488,fail,1.745239496231079,2
DeepFool,5810,fail,1.8728904724121094,2
DeepFool,3412,False,0.7774621844291687,0
DeepFool,6439,fail,2.090205430984497,0
DeepFool,9638,False,0.0378083698451519,9
DeepFool,9229,False,1.2396857738494873,3
DeepFool,2354,fail,2.382338285446167,3
DeepFool,9413,False,1.2236509323120117,7
DeepFool,371,fail,2.350585699081421,7
DeepFool,3019,False,1.2754192352294922,1
DeepFool,8228,fail,1.5773872137069702,1
DeepFool,8901,fail,1.4953645467758179,1
DeepFool,9733,False,0.5648783445358276,9
DeepFool,3549,False,0.22108179330825806,3
DeepFool,8883,fail,2.6402692794799805,3
DeepFool,1681,False,0.12313440442085266,3
DeepFool,777,fail,1.8347800970077515,3
DeepFool,8217,False,0.8087447881698608,8
DeepFool,8816,False,0.6968107223510742,8
DeepFool,4832,fail,1.4151098728179932,8
DeepFool,8456,True,1.1419808864593506,8
DeepFool,8911,fail,1.9300800561904907,8
DeepFool,9615,False,0.7666552066802979,4
DeepFool,6362,fail,1.4387552738189697,4
DeepFool,3252,False,0.8760523200035095,6
DeepFool,7524,False,0.47750604152679443,8
DeepFool,1692,False,1.1737534999847412,0
DeepFool,424,fail,1.5861386060714722,0
DeepFool,2009,False,0.34888848662376404,9
DeepFool,425,False,1.100728154182434,4
DeepFool,332,fail,2.051856756210327,4
DeepFool,5090,False,0.9225389957427979,1
DeepFool,5952,fail,1.5484707355499268,1
DeepFool,5162,fail,1.7551379203796387,1
DeepFool,5307,fail,2.002875804901123,1
DeepFool,9577,False,1.2543810606002808,2
DeepFool,6555,False,0.10978434234857559,8
DeepFool,8262,False,0.9973117113113403,2
DeepFool,24,False,1.2036336660385132,4
DeepFool,9531,fail,1.4086835384368896,4
DeepFool,8340,fail,1.9881523847579956,4
DeepFool,2475,fail,2.0935542583465576,4
DeepFool,2351,False,0.7947372198104858,3
DeepFool,1622,False,1.2465989589691162,9
DeepFool,1462,False,0.8622211217880249,2
DeepFool,1470,False,0.49555233120918274,8
DeepFool,2,fail,1.4245800971984863,8
DeepFool,1053,False,1.256291151046753,2
DeepFool,3331,False,1.1232664585113525,6
DeepFool,4061,False,1.2795395851135254,7
DeepFool,3113,fail,1.6755419969558716,7
DeepFool,5469,fail,2.3810315132141113,7
DeepFool,1867,fail,2.1744260787963867,7
DeepFool,6026,False,0.47129830718040466,7
DeepFool,5492,fail,1.9486669301986694,7
DeepFool,4782,fail,1.8143023252487183,7
DeepFool,1693,fail,1.6922835111618042,7
PGD,2772,False,0.35886067152023315,5
PGD,1954,False,0.4409756064414978,5
PGD,5980,False,0.4739435613155365,0
PGD,1662,False,0.43541616201400757,6
PGD,779,False,0.4101158082485199,5
PGD,8976,False,0.3390510678291321,1
PGD,6064,False,0.49045130610466003,2
PGD,640,False,0.32757019996643066,1
PGD,5915,False,0.32290440797805786,1
PGD,929,False,0.27862462401390076,1
PGD,9834,False,0.41617992520332336,8
PGD,8653,False,0.41931968927383423,5
PGD,9960,False,0.4090951085090637,4
PGD,1391,False,0.43267932534217834,4
PGD,1057,False,0.3964267075061798,4
PGD,5033,False,0.44827139377593994,0
PGD,6791,False,0.4011189341545105,7
PGD,1978,False,0.39075911045074463,4
PGD,1262,False,0.38314422965049744,2
PGD,366,False,0.43199312686920166,6
PGD,8677,False,0.4481322467327118,6
PGD,7028,False,0.36048561334609985,7
PGD,8117,False,0.5069416165351868,0
PGD,1829,False,0.2811753451824188,1
PGD,8683,False,0.4621118903160095,2
PGD,1164,False,0.4307888150215149,7
PGD,7580,False,0.4246237576007843,9
PGD,3536,False,0.44661787152290344,0
PGD,2358,False,0.3972684442996979,1
PGD,2525,False,0.3618146777153015,5
PGD,2012,False,0.3869662880897522,4
PGD,9163,False,0.46804314851760864,3
PGD,1573,False,0.4118380546569824,8
PGD,9498,False,0.49536773562431335,0
PGD,8904,False,0.4207000732421875,7
PGD,5416,False,0.29377758502960205,1
PGD,7445,False,0.4159698784351349,7
PGD,3519,False,0.44033583998680115,8
PGD,9952,False,0.4823186695575714,0
PGD,9139,False,0.44643843173980713,8
PGD,2056,False,0.41626566648483276,8
PGD,7079,False,0.3866541385650635,7
PGD,8153,False,0.43119344115257263,2
PGD,8488,False,0.35782676935195923,1
PGD,5810,False,0.41598427295684814,6
PGD,3412,False,0.4521847069263458,0
PGD,6439,False,0.5076436996459961,2
PGD,9638,False,0.41666480898857117,9
PGD,9229,False,0.4579561650753021,3
PGD,2354,False,0.4646283984184265,2
PGD,9413,False,0.3725617229938507,7
PGD,371,False,0.43950557708740234,2
PGD,3019,False,0.30748701095581055,1
PGD,8228,False,0.4688552916049957,0
PGD,8901,False,0.43096911907196045,6
PGD,9733,False,0.4099111557006836,9
PGD,3549,False,0.4328475892543793,3
PGD,8883,False,0.4206165373325348,7
PGD,1681,False,0.40876924991607666,3
PGD,777,False,0.33702582120895386,1
PGD,8217,False,0.4559592008590698,8
PGD,8816,False,0.40328386425971985,8
PGD,4832,False,0.39113596081733704,6
PGD,8456,False,0.5143200755119324,8
PGD,8911,False,0.40806689858436584,7
PGD,9615,False,0.42659473419189453,4
PGD,6362,False,0.3890060782432556,4
PGD,3252,False,0.39567577838897705,6
PGD,7524,False,0.4895226061344147,8
PGD,1692,False,0.4588722884654999,0
PGD,424,False,0.4709746241569519,0
PGD,2009,False,0.4593524932861328,9
PGD,425,False,0.4172794222831726,4
PGD,332,False,0.3096519708633423,1
PGD,5090,False,0.35081541538238525,1
PGD,5952,False,0.49976688623428345,0
PGD,5162,False,0.3327998220920563,7
