Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,4.615911483764648,
DeepFool,1088,False,2.4781856536865234,9
DeepFool,6242,True,2.7914767265319824,7
DeepFool,297,False,3.109440565109253,0
DeepFool,5929,False,3.255347490310669,0
DeepFool,876,fail,4.6455607414245605,0
DeepFool,7196,True,2.2831101417541504,6
DeepFool,2632,False,3.7504844665527344,3
DeepFool,437,False,3.7865753173828125,3
DeepFool,1521,False,2.896655797958374,5
DeepFool,1395,False,0.0,2
DeepFool,8414,False,3.82047176361084,0
DeepFool,7861,False,2.093817949295044,7
DeepFool,501,False,3.3947913646698,9
DeepFool,1090,True,1.8752282857894897,9
DeepFool,4720,False,2.0010035037994385,0
DeepFool,2088,False,1.9593334197998047,9
DeepFool,2078,True,3.7002196311950684,5
DeepFool,7469,False,1.613684892654419,2
DeepFool,8673,False,2.6322457790374756,2
DeepFool,8502,False,0.8378661274909973,5
DeepFool,4138,True,4.477170467376709,1
DeepFool,6499,False,1.9635967016220093,2
DeepFool,6586,False,3.6614601612091064,7
DeepFool,3188,False,2.969480037689209,4
DeepFool,386,False,2.147705316543579,6
DeepFool,6429,fail,6.186585903167725,6
DeepFool,2598,False,0.0,8
DeepFool,4610,True,1.6336032152175903,9
DeepFool,6886,True,1.8076092004776,5
DeepFool,1043,False,1.3539066314697266,4
DeepFool,3879,False,3.1664552688598633,9
DeepFool,2720,True,0.8284346461296082,9
DeepFool,5676,False,0.025035912171006203,4
DeepFool,4305,False,3.3899154663085938,8
DeepFool,7086,False,2.565516471862793,0
DeepFool,326,False,0.0,2
DeepFool,9013,False,2.378919839859009,5
DeepFool,1735,False,2.0240437984466553,4
DeepFool,3936,True,2.1672325134277344,7
DeepFool,3962,False,1.559859037399292,3
DeepFool,4556,False,1.3602522611618042,9
DeepFool,1982,True,2.236257553100586,6
DeepFool,6340,False,2.9270241260528564,2
DeepFool,7288,False,3.118844747543335,9
DeepFool,217,False,0.5940661430358887,6
DeepFool,4313,False,0.8606320023536682,4
DeepFool,2802,True,2.2144718170166016,2
DeepFool,4352,False,3.700937509536743,3
DeepFool,1063,False,3.6188647747039795,9
DeepFool,3291,False,1.0551038980484009,4
DeepFool,9811,False,0.0,2
DeepFool,7521,True,2.857186794281006,5
DeepFool,2898,True,2.7503390312194824,4
DeepFool,9027,fail,4.604588508605957,4
DeepFool,2340,False,4.427944660186768,4
DeepFool,4322,fail,4.623933792114258,4
DeepFool,1526,fail,5.758307933807373,4
DeepFool,9884,True,2.211826801300049,7
