Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,5.110508441925049,
DeepFool,1088,True,3.0026307106018066,9
DeepFool,6242,True,4.335050582885742,7
DeepFool,297,True,3.969439744949341,0
DeepFool,5929,fail,5.366534233093262,0
DeepFool,876,False,2.9108734130859375,8
DeepFool,7196,True,3.2786543369293213,6
DeepFool,2632,True,3.5114738941192627,3
DeepFool,437,False,1.8515061140060425,3
DeepFool,1521,fail,6.637028217315674,3
DeepFool,1395,True,0.0,2
DeepFool,8414,fail,4.994328498840332,2
DeepFool,7861,True,3.411341905593872,7
DeepFool,501,fail,5.231292247772217,7
DeepFool,1090,True,2.062028408050537,9
DeepFool,4720,True,4.263486862182617,0
DeepFool,2088,fail,4.822219371795654,0
DeepFool,2078,fail,5.890164375305176,0
DeepFool,7469,False,3.9004387855529785,2
DeepFool,8673,True,4.238476753234863,2
DeepFool,8502,True,1.3583933115005493,5
DeepFool,4138,fail,6.0254926681518555,5
DeepFool,6499,True,3.129859447479248,2
DeepFool,6586,fail,4.801012992858887,2
DeepFool,3188,fail,4.7582807540893555,2
DeepFool,386,True,3.7733540534973145,6
DeepFool,6429,fail,6.309313774108887,6
DeepFool,2598,True,1.668148398399353,8
DeepFool,4610,True,3.9636685848236084,9
DeepFool,6886,True,2.2280218601226807,5
DeepFool,1043,True,3.1845571994781494,4
DeepFool,3879,True,3.100922107696533,9
DeepFool,2720,True,0.7734097838401794,9
DeepFool,5676,True,1.467454433441162,4
DeepFool,4305,True,2.5062081813812256,8
DeepFool,7086,fail,5.271842002868652,8
DeepFool,326,False,3.1370251178741455,2
DeepFool,9013,False,3.800705671310425,5
DeepFool,1735,True,3.6062920093536377,4
DeepFool,3936,True,2.212218761444092,7
DeepFool,3962,True,0.5607048869132996,3
DeepFool,4556,True,2.900258779525757,9
DeepFool,1982,True,1.7457219362258911,6
DeepFool,6340,fail,6.618378639221191,6
DeepFool,7288,True,3.2936336994171143,9
DeepFool,217,True,0.7043547630310059,6
DeepFool,4313,False,3.0138771533966064,4
DeepFool,2802,True,1.921311855316162,2
DeepFool,4352,fail,4.6567840576171875,2
DeepFool,1063,True,3.6994643211364746,9
DeepFool,3291,True,3.514549970626831,4
DeepFool,9811,False,0.01145514938980341,2
DeepFool,7521,True,3.1883974075317383,5
DeepFool,2898,True,3.558642864227295,4
DeepFool,9027,True,2.495786428451538,3
DeepFool,2340,fail,6.108595848083496,3
DeepFool,4322,fail,5.378660202026367,3
DeepFool,1526,True,4.294450759887695,0
DeepFool,9884,True,3.5463662147521973,7
DeepFool,9140,fail,5.879230499267578,7
DeepFool,452,True,3.1735925674438477,2
DeepFool,6139,False,2.4365408420562744,3
DeepFool,7979,fail,4.58411169052124,3
DeepFool,4350,True,0.9333959817886353,2
DeepFool,6103,False,2.0301828384399414,3
DeepFool,6765,True,1.7915464639663696,8
DeepFool,8249,True,3.608022928237915,8
DeepFool,353,False,3.0471904277801514,6
DeepFool,6421,True,0.7286004424095154,3
DeepFool,3246,True,2.5163769721984863,8
DeepFool,2438,True,2.9155242443084717,9
DeepFool,4930,fail,4.530691146850586,9
DeepFool,5184,False,2.6853792667388916,8
DeepFool,5544,True,4.3584184646606445,1
DeepFool,8543,False,4.257766246795654,1
DeepFool,9666,True,1.4578001499176025,0
DeepFool,7528,True,3.395376443862915,2
DeepFool,2423,True,3.2315969467163086,8
DeepFool,9935,fail,4.51092529296875,8
DeepFool,6852,fail,4.59853458404541,8
DeepFool,6057,True,2.1848602294921875,2
DeepFool,7671,True,3.621401071548462,0
DeepFool,1527,False,0.0,1
DeepFool,47,fail,4.994847297668457,1
DeepFool,5365,fail,5.835733413696289,1
DeepFool,2807,False,3.5359458923339844,3
DeepFool,3312,fail,4.688333034515381,3
DeepFool,3967,True,0.5548019409179688,9
DeepFool,6707,True,4.41245698928833,6
DeepFool,7872,True,4.096989631652832,8
DeepFool,3727,False,0.019725237041711807,8
DeepFool,8284,fail,5.547451496124268,8
DeepFool,5197,True,4.312119483947754,5
DeepFool,5641,False,1.9201785326004028,2
DeepFool,1369,fail,5.876522541046143,2
DeepFool,8367,fail,5.785049915313721,2
DeepFool,2625,True,3.3948402404785156,2
DeepFool,9905,True,0.0,3
DeepFool,5968,fail,4.730419635772705,3
DeepFool,1165,True,3.4509201049804688,9
PGD,8766,True,3.8783726692199707,3
PGD,1088,True,3.1356379985809326,9
PGD,6242,True,3.333712577819824,7
PGD,297,True,3.840200185775757,0
PGD,5929,True,4.15322732925415,0
PGD,876,True,4.07229471206665,8
PGD,7196,True,3.7953248023986816,6
PGD,2632,True,4.456960678100586,3
PGD,437,True,4.307300090789795,3
PGD,1521,True,3.8875324726104736,5
PGD,1395,True,0.0,2
PGD,8414,True,4.043447017669678,0
PGD,7861,True,3.7939271926879883,7
PGD,501,True,4.010580062866211,9
PGD,1090,True,3.3636515140533447,9
PGD,4720,True,3.605072021484375,0
PGD,2088,True,3.596996784210205,9
PGD,2078,True,3.9108519554138184,5
PGD,7469,True,3.648526668548584,2
PGD,8673,True,3.80491042137146,2
PGD,8502,True,3.9085593223571777,5
PGD,4138,True,2.9822092056274414,1
PGD,6499,True,4.10004186630249,2
PGD,6586,True,3.5666775703430176,7
PGD,3188,True,3.688413619995117,4
PGD,386,True,3.22505521774292,6
PGD,6429,True,4.306380748748779,0
PGD,2598,True,3.178020477294922,8
PGD,4610,True,3.3389575481414795,9
PGD,6886,True,3.619769811630249,5
PGD,1043,True,3.2410430908203125,4
PGD,3879,True,3.6919660568237305,9
PGD,2720,True,2.936286449432373,9
PGD,5676,True,3.4303605556488037,4
PGD,4305,True,3.688615560531616,8
PGD,7086,True,3.868485927581787,0
PGD,326,True,3.5735206604003906,2
PGD,9013,True,3.4671263694763184,5
PGD,1735,True,3.322314977645874,4
PGD,3936,True,3.6416497230529785,7
PGD,3962,True,4.044663906097412,3
PGD,4556,True,2.9628870487213135,9
PGD,1982,True,3.7126591205596924,6
PGD,6340,True,3.961012840270996,2
PGD,7288,True,3.005990743637085,9
PGD,217,True,3.20194935798645,6
PGD,4313,True,2.9118752479553223,4
PGD,2802,True,4.280760765075684,2
PGD,4352,True,3.4424996376037598,3
PGD,1063,True,3.1786558628082275,9
PGD,3291,True,3.2594399452209473,4
PGD,9811,True,3.3521299362182617,2
PGD,7521,True,3.568387985229492,5
PGD,2898,True,3.025259017944336,4
PGD,9027,True,3.6239655017852783,3
PGD,2340,True,3.658656597137451,4
PGD,4322,True,3.7371864318847656,7
PGD,1526,fail,4.587265968322754,7
PGD,9884,True,3.203056573867798,7
PGD,9140,True,3.1627302169799805,1
PGD,452,True,3.398958206176758,2
PGD,6139,True,4.242616176605225,3
PGD,7979,True,3.542316436767578,8
PGD,4350,True,3.363501787185669,2
PGD,6103,True,4.060066223144531,3
PGD,6765,True,3.4798271656036377,8
PGD,8249,True,3.897500514984131,8
PGD,353,True,3.8302931785583496,6
PGD,6421,True,3.5501787662506104,3
PGD,3246,True,3.2547569274902344,8
PGD,2438,True,2.8286731243133545,9
PGD,4930,True,2.853841543197632,1
PGD,5184,True,3.612508535385132,8
PGD,5544,True,3.027113914489746,1
PGD,8543,True,2.862602710723877,1
PGD,9666,True,3.4999728202819824,0
PGD,7528,True,4.035425662994385,2
PGD,2423,True,3.658622980117798,8
PGD,9935,True,3.0591483116149902,7
PGD,6852,True,2.974015474319458,7
PGD,6057,True,3.9056129455566406,2
PGD,7671,True,3.774509906768799,0
PGD,1527,True,2.8279972076416016,1
PGD,47,True,3.620121479034424,2
PGD,5365,True,3.6230392456054688,7
PGD,2807,True,4.075253963470459,3
PGD,3312,True,3.815567970275879,5
PGD,3967,True,2.5819294452667236,9
PGD,6707,True,3.5313494205474854,6
PGD,7872,True,3.9198081493377686,8
PGD,3727,True,4.237508296966553,8
PGD,8284,True,4.166606426239014,7
PGD,5197,True,3.856279134750366,5
PGD,5641,True,4.050336837768555,2
PGD,1369,True,3.8290789127349854,7
PGD,8367,True,3.3157570362091064,1
