Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,5.30270528793335,
DeepFool,1088,True,3.8160579204559326,9
DeepFool,6242,fail,4.936624526977539,9
DeepFool,297,fail,4.996454238891602,9
DeepFool,5929,fail,5.866915225982666,9
DeepFool,876,True,3.9518861770629883,8
DeepFool,7196,True,3.3023531436920166,6
DeepFool,2632,fail,4.667232990264893,6
DeepFool,437,False,3.103325128555298,3
DeepFool,1521,fail,6.155969142913818,3
DeepFool,1395,True,0.7364696264266968,2
DeepFool,8414,fail,4.861612796783447,2
DeepFool,7861,True,4.2509541511535645,7
DeepFool,501,fail,4.966769218444824,7
DeepFool,1090,True,3.4026591777801514,9
DeepFool,4720,True,3.6624984741210938,0
DeepFool,2088,fail,5.083998203277588,0
DeepFool,2078,fail,6.2980499267578125,0
DeepFool,7469,fail,4.893764019012451,0
DeepFool,8673,fail,5.55460262298584,0
DeepFool,8502,True,1.881622314453125,5
DeepFool,4138,fail,5.563938140869141,5
DeepFool,6499,True,4.478340148925781,2
DeepFool,6586,fail,4.801388740539551,2
DeepFool,3188,fail,5.791382312774658,2
DeepFool,386,True,4.362278461456299,6
DeepFool,6429,fail,6.441971302032471,6
DeepFool,2598,False,0.4225441813468933,8
DeepFool,4610,True,3.172912359237671,9
DeepFool,6886,True,2.8018321990966797,5
DeepFool,1043,True,2.468730926513672,4
DeepFool,3879,True,3.587244987487793,9
DeepFool,2720,True,1.3655836582183838,9
DeepFool,5676,True,1.6427788734436035,4
DeepFool,4305,False,3.146069049835205,8
DeepFool,7086,fail,6.478492259979248,8
DeepFool,326,True,2.2594029903411865,2
DeepFool,9013,False,3.5217318534851074,5
DeepFool,1735,True,4.175869941711426,4
DeepFool,3936,True,2.1391637325286865,7
DeepFool,3962,True,1.8232767581939697,3
DeepFool,4556,True,4.234959125518799,9
DeepFool,1982,True,1.3818496465682983,6
DeepFool,6340,fail,6.011783123016357,6
DeepFool,7288,True,3.570706605911255,9
DeepFool,217,True,2.217745065689087,6
