Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,5.815510272979736,
DeepFool,1088,True,1.6076509952545166,9
DeepFool,6242,True,3.49114990234375,7
DeepFool,297,fail,5.0580949783325195,7
DeepFool,5929,False,4.313252925872803,0
DeepFool,876,True,4.424769401550293,8
DeepFool,7196,True,3.816530227661133,6
DeepFool,2632,True,4.412297248840332,3
DeepFool,437,False,2.329777479171753,3
DeepFool,1521,fail,5.151056289672852,3
DeepFool,1395,True,0.0,2
DeepFool,8414,True,4.134258270263672,0
DeepFool,7861,True,2.9182798862457275,7
DeepFool,501,True,4.255796909332275,9
DeepFool,1090,True,3.154116153717041,9
DeepFool,4720,True,3.2550477981567383,0
DeepFool,2088,True,3.9565606117248535,9
DeepFool,2078,True,4.449492454528809,5
DeepFool,7469,False,4.2920637130737305,2
DeepFool,8673,False,3.9395177364349365,2
DeepFool,8502,True,1.5037833452224731,5
DeepFool,4138,fail,4.783151626586914,5
DeepFool,6499,False,4.111458778381348,2
DeepFool,6586,fail,5.3991851806640625,2
DeepFool,3188,fail,5.475754261016846,2
DeepFool,386,True,3.3705949783325195,6
DeepFool,6429,fail,4.537504196166992,6
DeepFool,2598,True,0.848811686038971,8
DeepFool,4610,True,2.4789071083068848,9
DeepFool,6886,fail,4.596778392791748,9
DeepFool,1043,True,3.708003282546997,4
DeepFool,3879,True,3.1060001850128174,9
DeepFool,2720,True,1.0789695978164673,9
DeepFool,5676,True,0.0,4
DeepFool,4305,False,3.8360037803649902,8
DeepFool,7086,True,4.315994739532471,0
DeepFool,326,False,3.5808136463165283,2
DeepFool,9013,False,3.9122493267059326,5
DeepFool,1735,True,3.907069206237793,4
DeepFool,3936,True,4.143220901489258,7
DeepFool,3962,False,0.9988505840301514,3
DeepFool,4556,True,2.1184751987457275,9
DeepFool,1982,True,1.0394433736801147,6
DeepFool,6340,fail,5.817584037780762,6
DeepFool,7288,True,4.293763160705566,9
DeepFool,217,True,1.6121257543563843,6
DeepFool,4313,False,0.893742024898529,4
