Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,7.00688362121582,
DeepFool,1088,True,2.3130149841308594,9
DeepFool,6242,True,2.704446792602539,7
DeepFool,297,fail,4.738836288452148,7
DeepFool,5929,True,4.073820114135742,0
DeepFool,876,True,3.6870076656341553,8
DeepFool,7196,False,3.30649733543396,6
DeepFool,2632,False,2.987464189529419,3
DeepFool,437,True,2.391239881515503,3
DeepFool,1521,fail,6.094830513000488,3
DeepFool,1395,True,2.714867353439331,2
DeepFool,8414,fail,5.482480525970459,2
DeepFool,7861,fail,5.329483985900879,2
DeepFool,501,fail,5.204617500305176,2
DeepFool,1090,True,1.2722179889678955,9
DeepFool,4720,True,3.355034828186035,0
DeepFool,2088,fail,4.5923848152160645,0
DeepFool,2078,True,3.7819461822509766,5
DeepFool,7469,fail,5.134881496429443,5
DeepFool,8673,fail,5.173946380615234,5
DeepFool,8502,True,1.3910839557647705,5
DeepFool,4138,True,4.03741979598999,1
DeepFool,6499,fail,6.03652286529541,1
DeepFool,6586,fail,4.847617149353027,1
DeepFool,3188,fail,5.068164825439453,1
DeepFool,386,fail,5.3349409103393555,1
DeepFool,6429,fail,7.255331516265869,1
DeepFool,2598,True,1.2827222347259521,8
DeepFool,4610,True,3.0940752029418945,9
DeepFool,6886,fail,4.8009419441223145,9
DeepFool,1043,True,2.931232452392578,4
DeepFool,3879,True,2.8026440143585205,9
DeepFool,2720,True,0.4675777554512024,9
DeepFool,5676,True,0.6590830087661743,4
DeepFool,4305,fail,4.963466644287109,4
DeepFool,7086,True,3.8204967975616455,0
DeepFool,326,True,3.709881067276001,2
DeepFool,9013,True,3.090796709060669,5
DeepFool,1735,True,3.651503801345825,4
DeepFool,3936,True,4.018343448638916,7
DeepFool,3962,True,1.2228689193725586,3
DeepFool,4556,True,2.1372056007385254,9
DeepFool,1982,True,1.4422451257705688,6
DeepFool,6340,fail,5.55562162399292,6
DeepFool,7288,True,3.652951240539551,9
DeepFool,217,True,2.146529197692871,6
DeepFool,4313,True,2.423414707183838,4
DeepFool,2802,True,3.2925987243652344,2
DeepFool,4352,True,2.7641496658325195,3
DeepFool,1063,True,3.464876651763916,9
DeepFool,3291,True,4.355727672576904,4
DeepFool,9811,True,0.0,2
DeepFool,7521,True,2.8827247619628906,5
DeepFool,2898,True,2.481966733932495,4
DeepFool,9027,True,2.5305116176605225,3
DeepFool,2340,True,4.124261379241943,4
DeepFool,4322,fail,5.680475234985352,4
DeepFool,1526,fail,5.6525068283081055,4
DeepFool,9884,True,4.375114440917969,7
DeepFool,9140,fail,5.17302131652832,7
DeepFool,452,True,4.403072834014893,2
DeepFool,6139,True,3.2426226139068604,3
DeepFool,7979,False,3.2423930168151855,8
DeepFool,4350,True,0.8432150483131409,2
DeepFool,6103,True,4.055049419403076,3
DeepFool,6765,True,4.20634126663208,8
DeepFool,8249,fail,5.186666965484619,8
DeepFool,353,True,3.1760289669036865,6
DeepFool,6421,True,1.140987753868103,3
DeepFool,3246,True,2.2652699947357178,8
DeepFool,2438,True,1.504631757736206,9
DeepFool,4930,fail,4.684800624847412,9
DeepFool,5184,True,4.143026828765869,8
DeepFool,5544,fail,6.226805210113525,8
DeepFool,8543,fail,4.917288780212402,8
DeepFool,9666,True,2.062082052230835,0
DeepFool,7528,True,3.6051456928253174,2
DeepFool,2423,True,4.1618523597717285,8
DeepFool,9935,fail,4.8836283683776855,8
DeepFool,6852,fail,5.137180805206299,8
DeepFool,6057,True,3.8725717067718506,2
DeepFool,7671,True,3.9435272216796875,0
DeepFool,1527,True,0.0,1
DeepFool,47,fail,6.552781105041504,1
DeepFool,5365,fail,6.873778820037842,1
DeepFool,2807,True,4.323967933654785,3
DeepFool,3312,fail,5.179168701171875,3
DeepFool,3967,True,2.551846504211426,9
DeepFool,6707,fail,5.30046272277832,9
DeepFool,7872,True,1.9922802448272705,8
DeepFool,3727,True,1.0913420915603638,8
DeepFool,8284,True,4.013818740844727,7
DeepFool,5197,fail,5.032665729522705,7
DeepFool,5641,False,2.9877517223358154,2
DeepFool,1369,fail,6.355135917663574,2
DeepFool,8367,fail,4.925896644592285,2
DeepFool,2625,True,3.9045846462249756,2
DeepFool,9905,True,1.0377410650253296,3
DeepFool,5968,True,2.9163968563079834,9
DeepFool,1165,True,2.268798828125,9
PGD,8766,True,4.2375054359436035,3
PGD,1088,True,3.6384165287017822,9
PGD,6242,True,3.872377395629883,7
PGD,297,fail,4.6130852699279785,7
PGD,5929,fail,4.637607574462891,7
PGD,876,fail,4.78852653503418,7
PGD,7196,True,4.320342540740967,6
PGD,2632,True,4.400521755218506,3
PGD,437,fail,4.629573345184326,3
PGD,1521,True,4.336135387420654,5
PGD,1395,True,4.246531009674072,2
PGD,8414,fail,4.831307888031006,2
PGD,7861,fail,4.5937395095825195,2
PGD,501,fail,4.679095268249512,2
PGD,1090,True,3.6892166137695312,9
PGD,4720,True,4.373057842254639,0
PGD,2088,True,3.836848258972168,9
PGD,2078,True,4.182536602020264,5
PGD,7469,True,4.150296211242676,2
PGD,8673,True,4.143520355224609,2
PGD,8502,True,4.476754665374756,5
PGD,4138,True,3.282946825027466,1
PGD,6499,fail,4.811203956604004,1
PGD,6586,True,3.571920394897461,7
PGD,3188,True,4.277154445648193,4
PGD,386,True,4.235352516174316,6
PGD,6429,fail,5.484633445739746,6
PGD,2598,True,3.6823477745056152,8
PGD,4610,True,3.9779775142669678,9
PGD,6886,True,4.390050411224365,5
PGD,1043,True,4.0386810302734375,4
PGD,3879,True,3.9295034408569336,9
PGD,2720,True,3.774690866470337,9
PGD,5676,True,4.05741548538208,4
PGD,4305,True,4.404819965362549,8
PGD,7086,fail,4.750848293304443,8
PGD,326,True,3.8626949787139893,2
PGD,9013,True,3.816943883895874,5
PGD,1735,True,4.0116353034973145,4
PGD,3936,True,4.4351372718811035,7
PGD,3962,True,4.407706260681152,3
PGD,4556,True,3.4521195888519287,9
PGD,1982,True,4.231660842895508,6
PGD,6340,True,4.073117733001709,2
PGD,7288,True,3.6906967163085938,9
PGD,217,True,4.051149368286133,6
PGD,4313,True,3.6270124912261963,4
PGD,2802,fail,4.802798271179199,4
PGD,4352,True,3.849025011062622,3
PGD,1063,True,4.007361888885498,9
PGD,3291,True,4.041851043701172,4
PGD,9811,True,0.0,2
PGD,7521,True,3.94020938873291,5
PGD,2898,True,3.538219451904297,4
PGD,9027,True,4.161599636077881,3
PGD,2340,fail,4.672011375427246,3
PGD,4322,True,4.073009014129639,7
PGD,1526,fail,5.065979480743408,7
PGD,9884,True,3.7270376682281494,7
PGD,9140,True,3.877068519592285,1
PGD,452,True,4.198845386505127,2
PGD,6139,fail,4.621347904205322,2
PGD,7979,True,4.325437545776367,8
PGD,4350,True,4.144076824188232,2
PGD,6103,fail,4.7779221534729,2
PGD,6765,True,4.105554580688477,8
PGD,8249,fail,4.611629962921143,8
PGD,353,True,4.20317268371582,6
PGD,6421,True,4.032929420471191,3
PGD,3246,True,4.1355085372924805,8
PGD,2438,True,3.4041361808776855,9
PGD,4930,True,3.576922655105591,1
PGD,5184,fail,4.549069881439209,1
PGD,5544,True,3.8618125915527344,1
PGD,8543,True,3.681347370147705,1
PGD,9666,True,4.124562740325928,0
PGD,7528,fail,4.735926151275635,0
PGD,2423,True,4.345559597015381,8
PGD,9935,True,3.722898006439209,7
PGD,6852,True,3.669320583343506,7
PGD,6057,fail,4.649843692779541,7
PGD,7671,True,4.163475036621094,0
PGD,1527,True,0.0,1
PGD,47,True,4.000016689300537,2
PGD,5365,True,4.428410530090332,7
PGD,2807,True,4.2998175621032715,3
PGD,3312,True,4.297181606292725,5
PGD,3967,True,3.4794068336486816,9
PGD,6707,True,4.416570663452148,6
PGD,7872,True,4.248265743255615,8
PGD,3727,True,4.430529594421387,8
PGD,8284,True,4.439916610717773,7
PGD,5197,True,4.054713249206543,5
PGD,5641,True,4.494265079498291,2
PGD,1369,fail,4.537613868713379,2
PGD,8367,True,3.718130350112915,1
PGD,2625,True,4.163031578063965,2
PGD,9905,True,3.721949815750122,3
PGD,5968,True,3.720074415206909,9
PGD,1165,True,3.7847421169281006,9
JSMA,8766,False,3.3349177837371826,3
JSMA,1088,False,2.7205886840820312,9
JSMA,6242,False,2.51131010055542,7
JSMA,297,False,1.8902831077575684,0
JSMA,5929,False,2.8828766345977783,0
JSMA,876,False,1.761364221572876,8
JSMA,7196,False,2.3602893352508545,6
JSMA,2632,False,2.635529041290283,3
JSMA,437,False,3.1816625595092773,3
JSMA,1521,False,2.5692241191864014,5
JSMA,1395,False,1.2223190069198608,2
JSMA,8414,False,2.547471761703491,0
JSMA,7861,False,2.2213099002838135,7
JSMA,501,False,2.5478246212005615,9
JSMA,1090,False,3.1313271522521973,9
JSMA,4720,False,3.141657829284668,0
JSMA,2088,False,2.3556008338928223,9
JSMA,2078,False,2.9242136478424072,5
JSMA,7469,False,2.1756980419158936,2
JSMA,8673,False,2.029118537902832,2
JSMA,8502,False,2.303341865539551,5
JSMA,4138,False,2.456707715988159,1
JSMA,6499,False,2.76424241065979,2
JSMA,6586,False,1.7858707904815674,7
JSMA,3188,False,2.0114972591400146,4
JSMA,386,False,2.355776786804199,6
JSMA,6429,False,3.1069469451904297,0
JSMA,2598,True,2.070577383041382,8
JSMA,4610,False,2.230695962905884,9
JSMA,6886,False,2.833367109298706,5
JSMA,1043,False,2.062652111053467,4
JSMA,3879,False,2.247873544692993,9
JSMA,2720,False,2.5875229835510254,9
JSMA,5676,False,2.960447311401367,4
JSMA,4305,False,0.6027580499649048,8
JSMA,7086,False,2.0888185501098633,0
JSMA,326,False,2.2536916732788086,2
JSMA,9013,False,2.2272233963012695,5
JSMA,1735,False,2.8131613731384277,4
JSMA,3936,False,2.427744150161743,7
JSMA,3962,False,3.0483245849609375,3
JSMA,4556,False,2.4895944595336914,9
JSMA,1982,True,2.8205723762512207,6
JSMA,6340,False,2.317986488342285,2
JSMA,7288,False,2.93709397315979,9
JSMA,217,False,2.3418781757354736,6
JSMA,4313,False,1.9053943157196045,4
JSMA,2802,False,2.3547892570495605,2
JSMA,4352,False,2.1657161712646484,3
JSMA,1063,False,2.457582473754883,9
JSMA,3291,False,2.4377009868621826,4
JSMA,9811,True,0.0,2
JSMA,7521,False,2.310365915298462,5
JSMA,2898,False,2.167694330215454,4
JSMA,9027,False,2.178783655166626,3
JSMA,2340,False,1.5104763507843018,4
JSMA,4322,False,2.7257704734802246,7
JSMA,1526,False,2.887148380279541,0
JSMA,9884,False,2.405357599258423,7
JSMA,9140,False,1.4090416431427002,1
JSMA,452,False,1.929795742034912,2
JSMA,6139,False,1.6127842664718628,3
JSMA,7979,False,1.5635589361190796,8
JSMA,4350,True,0.5689043402671814,2
JSMA,6103,False,2.2363481521606445,3
JSMA,6765,False,2.301757335662842,8
JSMA,8249,False,2.2151315212249756,8
JSMA,353,False,2.476142406463623,6
JSMA,6421,False,2.9850962162017822,3
JSMA,3246,False,2.0796847343444824,8
JSMA,2438,False,2.6006078720092773,9
JSMA,4930,False,2.4712138175964355,1
JSMA,5184,False,2.368091583251953,8
JSMA,5544,False,2.7422239780426025,1
JSMA,8543,False,2.639087200164795,1
JSMA,9666,False,2.3700177669525146,0
JSMA,7528,False,1.6570311784744263,2
JSMA,2423,False,2.9176254272460938,8
JSMA,9935,False,2.7665560245513916,7
JSMA,6852,False,2.8099303245544434,7
JSMA,6057,False,0.9174749255180359,2
JSMA,7671,False,1.9503213167190552,0
JSMA,1527,True,0.0,1
JSMA,47,False,2.3149254322052,2
JSMA,5365,False,2.6587705612182617,7
JSMA,2807,False,2.274444580078125,3
JSMA,3312,False,2.720881462097168,5
JSMA,3967,False,2.08390736579895,9
JSMA,6707,False,3.0986416339874268,6
JSMA,7872,False,2.873626470565796,8
JSMA,3727,False,1.6740342378616333,8
JSMA,8284,False,2.919059991836548,7
JSMA,5197,False,2.269465208053589,5
JSMA,5641,False,2.3670451641082764,2
JSMA,1369,False,2.3346304893493652,7
JSMA,8367,False,2.4176297187805176,1
JSMA,2625,False,1.0803155899047852,2
JSMA,9905,True,2.8710904121398926,3
JSMA,5968,False,2.691746473312378,9
JSMA,1165,False,2.378885507583618,9
OnePixel,8766,False,3.8007373809814453,3
OnePixel,1088,False,3.775951862335205,9
OnePixel,6242,True,3.902092456817627,7
OnePixel,297,False,4.129995346069336,0
OnePixel,5929,False,4.269073963165283,0
OnePixel,876,False,4.048235893249512,8
OnePixel,7196,False,3.678377389907837,6
OnePixel,2632,False,4.206029891967773,3
OnePixel,437,False,4.079257011413574,3
OnePixel,1521,False,4.096534252166748,5
OnePixel,1395,True,4.140740394592285,2
OnePixel,8414,False,3.8322596549987793,0
OnePixel,7861,False,4.098612308502197,7
OnePixel,501,False,3.9817163944244385,9
OnePixel,1090,True,4.355020999908447,9
OnePixel,4720,True,3.545295476913452,0
OnePixel,2088,False,4.364725112915039,9
OnePixel,2078,False,3.9098827838897705,5
OnePixel,7469,False,4.0735883712768555,2
OnePixel,8673,False,4.111878871917725,2
OnePixel,8502,True,3.698376417160034,5
