Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,8766,fail,5.697101593017578,
DeepFool,1088,True,3.8190231323242188,9
DeepFool,6242,False,2.962465286254883,7
DeepFool,297,fail,4.641983985900879,7
DeepFool,5929,True,2.8781538009643555,0
DeepFool,876,fail,5.2063188552856445,0
DeepFool,7196,True,4.483837127685547,6
DeepFool,2632,fail,4.6978759765625,6
DeepFool,437,False,4.050581932067871,3
DeepFool,1521,fail,6.5039167404174805,3
DeepFool,1395,True,0.8555813431739807,2
DeepFool,8414,fail,5.1268815994262695,2
DeepFool,7861,True,4.110217094421387,7
DeepFool,501,True,4.154697418212891,9
DeepFool,1090,True,3.4281699657440186,9
DeepFool,4720,True,2.830434560775757,0
DeepFool,2088,True,4.265039443969727,9
DeepFool,2078,fail,6.969862461090088,9
DeepFool,7469,fail,5.081080913543701,9
DeepFool,8673,fail,5.15367317199707,9
DeepFool,8502,True,2.9760780334472656,5
DeepFool,4138,fail,4.967408657073975,5
DeepFool,6499,fail,4.59033203125,5
DeepFool,6586,fail,5.140318870544434,5
DeepFool,3188,fail,5.743933200836182,5
DeepFool,386,fail,4.716037273406982,5
DeepFool,6429,fail,6.779045104980469,5
DeepFool,2598,True,1.6708394289016724,8
DeepFool,4610,True,3.5820634365081787,9
DeepFool,6886,True,4.153591156005859,5
DeepFool,1043,True,3.80765962600708,4
DeepFool,3879,True,3.454495429992676,9
DeepFool,2720,True,1.1472830772399902,9
DeepFool,5676,True,0.9561470150947571,4
DeepFool,4305,True,3.5716729164123535,8
DeepFool,7086,fail,5.628017902374268,8
DeepFool,326,True,2.297449827194214,2
DeepFool,9013,False,3.937285900115967,5
DeepFool,1735,True,3.0579869747161865,4
DeepFool,3936,True,3.232471227645874,7
DeepFool,3962,True,2.433990001678467,3
DeepFool,4556,fail,4.748593807220459,3
DeepFool,1982,True,1.3921456336975098,6
DeepFool,6340,fail,5.780770778656006,6
DeepFool,7288,fail,5.456958770751953,6
DeepFool,217,True,1.7070810794830322,6
DeepFool,4313,True,1.9656288623809814,4
DeepFool,2802,fail,4.688481330871582,4
DeepFool,4352,True,4.162269115447998,3
DeepFool,1063,fail,4.996402740478516,3
DeepFool,3291,True,4.240869522094727,4
DeepFool,9811,True,0.0,2
DeepFool,7521,True,4.195176601409912,5
DeepFool,2898,True,2.9322750568389893,4
DeepFool,9027,fail,6.823016166687012,4
DeepFool,2340,fail,5.5885467529296875,4
DeepFool,4322,fail,5.2614426612854,4
DeepFool,1526,True,3.792991876602173,0
DeepFool,9884,True,3.280332088470459,7
DeepFool,9140,fail,5.577084064483643,7
DeepFool,452,True,3.185352087020874,2
DeepFool,6139,True,3.0207300186157227,3
DeepFool,7979,True,3.1512839794158936,8
DeepFool,4350,True,2.1423234939575195,2
DeepFool,6103,fail,4.725802898406982,2
DeepFool,6765,True,3.235729932785034,8
DeepFool,8249,fail,5.5080766677856445,8
DeepFool,353,fail,5.767827033996582,8
DeepFool,6421,True,1.5791200399398804,3
DeepFool,3246,True,2.712653398513794,8
DeepFool,2438,fail,5.429995059967041,8
DeepFool,4930,True,4.437437534332275,1
DeepFool,5184,fail,4.775801181793213,1
DeepFool,5544,fail,5.617279052734375,1
DeepFool,8543,fail,4.58837890625,1
DeepFool,9666,True,1.705713152885437,0
DeepFool,7528,fail,5.614990711212158,0
DeepFool,2423,fail,4.6527509689331055,0
DeepFool,9935,fail,4.635397911071777,0
DeepFool,6852,True,4.305188179016113,7
DeepFool,6057,fail,4.554319381713867,7
DeepFool,7671,True,4.428653240203857,0
DeepFool,1527,True,0.0,1
DeepFool,47,fail,5.32392692565918,1
DeepFool,5365,fail,6.814414024353027,1
DeepFool,2807,fail,4.75002908706665,1
DeepFool,3312,fail,4.991508483886719,1
DeepFool,3967,True,2.3120856285095215,9
DeepFool,6707,fail,4.8511738777160645,9
DeepFool,7872,True,4.26631498336792,8
DeepFool,3727,True,0.0,8
DeepFool,8284,fail,4.991035461425781,8
DeepFool,5197,fail,4.853899955749512,8
DeepFool,5641,True,3.713728904724121,2
DeepFool,1369,fail,5.943449974060059,2
DeepFool,8367,fail,4.708590984344482,2
DeepFool,2625,fail,4.509695529937744,2
DeepFool,9905,True,1.2398685216903687,3
DeepFool,5968,True,3.880096673965454,9
DeepFool,1165,fail,4.530805587768555,9
PGD,8766,True,4.181171417236328,3
PGD,1088,True,3.6620025634765625,9
PGD,6242,True,3.234241485595703,7
PGD,297,True,4.298727035522461,0
PGD,5929,True,4.039376735687256,0
PGD,876,fail,4.773221492767334,0
PGD,7196,True,4.0651068687438965,6
PGD,2632,fail,4.633677959442139,6
PGD,437,fail,4.578168869018555,6
PGD,1521,True,4.137149810791016,5
PGD,1395,True,4.080087184906006,2
PGD,8414,fail,4.610226631164551,2
PGD,7861,True,4.400493144989014,7
PGD,501,True,3.929469585418701,9
PGD,1090,True,3.621351480484009,9
PGD,4720,True,3.6986780166625977,0
PGD,2088,True,3.3891713619232178,9
PGD,2078,True,4.030738353729248,5
PGD,7469,True,3.5766677856445312,2
PGD,8673,True,4.058610439300537,2
PGD,8502,True,4.15758752822876,5
PGD,4138,True,3.1541588306427,1
PGD,6499,True,4.271735668182373,2
PGD,6586,True,3.4314424991607666,7
PGD,3188,True,3.8342318534851074,4
PGD,386,True,3.6593878269195557,6
PGD,6429,True,4.371571063995361,0
PGD,2598,True,3.4837441444396973,8
PGD,4610,True,3.701587677001953,9
PGD,6886,True,3.6761255264282227,5
PGD,1043,True,3.7073094844818115,4
PGD,3879,True,3.8183693885803223,9
PGD,2720,True,3.262850046157837,9
PGD,5676,True,3.5554866790771484,4
PGD,4305,True,4.071447849273682,8
PGD,7086,True,4.364577770233154,0
PGD,326,True,3.59769606590271,2
PGD,9013,True,3.4001898765563965,5
PGD,1735,True,3.4547672271728516,4
PGD,3936,True,3.8590879440307617,7
PGD,3962,True,4.48627233505249,3
PGD,4556,True,3.5477664470672607,9
PGD,1982,True,3.8289906978607178,6
PGD,6340,True,4.256979465484619,2
PGD,7288,True,3.5141494274139404,9
PGD,217,True,3.5692203044891357,6
PGD,4313,True,3.175090789794922,4
PGD,2802,fail,5.003259181976318,4
PGD,4352,True,3.838982343673706,3
PGD,1063,True,3.7524192333221436,9
PGD,3291,True,3.475841522216797,4
PGD,9811,True,0.0,2
PGD,7521,True,3.4992001056671143,5
PGD,2898,True,3.3076648712158203,4
PGD,9027,True,4.135863780975342,3
PGD,2340,True,3.9832236766815186,4
PGD,4322,True,3.621011257171631,7
PGD,1526,fail,4.717830181121826,7
PGD,9884,True,3.382516860961914,7
PGD,9140,True,3.3381638526916504,1
PGD,452,True,4.063436985015869,2
PGD,6139,fail,4.718514919281006,2
PGD,7979,True,3.833937168121338,8
PGD,4350,True,3.7674546241760254,2
PGD,6103,fail,4.831974029541016,2
PGD,6765,True,3.3678901195526123,8
PGD,8249,True,4.070454120635986,8
PGD,353,True,4.17120361328125,6
PGD,6421,True,3.642080545425415,3
PGD,3246,True,3.7096445560455322,8
PGD,2438,True,3.1348705291748047,9
