Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,2.0092954635620117,611
DeepFool,17700,False,0.9062432646751404,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.10699111968278885,820
DeepFool,6741,False,0.27481740713119507,134
DeepFool,45248,False,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,False,0.5208557844161987,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.3495270609855652,222
DeepFool,5780,False,0.9875656366348267,115
DeepFool,11599,False,0.39884689450263977,231
DeepFool,17809,False,0.8684754371643066,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.36955565214157104,776
DeepFool,14607,False,0.03225649520754814,292
DeepFool,48663,True,0.0,973
DeepFool,37268,False,0.039429765194654465,745
DeepFool,38697,False,0.30908626317977905,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,False,0.08668398857116699,689
DeepFool,48033,False,0.0,960
DeepFool,15745,True,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.4593750238418579,161
DeepFool,465,False,1.2358061075210571,9
DeepFool,41670,False,0.0,833
DeepFool,27441,False,0.22110487520694733,548
DeepFool,23491,False,0.0,469
DeepFool,46986,False,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.9695413708686829,110
DeepFool,31662,False,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,False,0.6010257601737976,416
DeepFool,16918,False,0.47710666060447693,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,False,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.35772866010665894,834
DeepFool,44712,False,0.0,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.1319671869277954,422
DeepFool,18964,True,0.4879917800426483,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.24211062490940094,462
DeepFool,14177,False,0.3986367881298065,283
DeepFool,831,False,0.24208983778953552,16
DeepFool,48090,True,0.0,961
DeepFool,33464,False,0.779259443283081,669
DeepFool,49487,False,0.0,989
DeepFool,5526,False,0.04064037278294563,110
DeepFool,28817,False,1.7114512920379639,576
DeepFool,49759,False,0.0,995
DeepFool,38491,True,1.4651976823806763,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.7347007393836975,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.22247113287448883,593
DeepFool,4807,True,0.0,96
DeepFool,27024,False,0.9361193776130676,540
DeepFool,46004,True,0.0,920
DeepFool,20821,True,0.7567921876907349,416
DeepFool,13718,False,0.1321348249912262,274
DeepFool,49740,False,0.0,994
DeepFool,12088,True,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.4097246825695038,0
DeepFool,7734,False,0.0,154
DeepFool,34545,False,0.02734201028943062,690
DeepFool,48428,False,0.06632395088672638,968
DeepFool,44150,True,1.1390488147735596,883
DeepFool,9531,False,2.005775213241577,190
DeepFool,35572,False,0.3776709735393524,711
DeepFool,29618,False,0.3218841552734375,592
DeepFool,8923,True,0.0,178
DeepFool,48249,False,0.0,964
DeepFool,2707,True,0.0,54
DeepFool,3638,False,0.0,72
DeepFool,38938,False,0.33722516894340515,778
DeepFool,14178,False,0.0,283
DeepFool,16464,True,0.0,329
DeepFool,10600,False,0.3970687687397003,212
DeepFool,11348,True,0.0,226
DeepFool,16030,False,0.0,320
DeepFool,43233,True,0.0,864
DeepFool,8251,True,0.0,165
DeepFool,4100,False,0.4250335693359375,82
PGD,30582,fail,12.32962417602539,
PGD,17700,fail,10.771389961242676,
PGD,16874,True,0.0,337
PGD,41047,fail,10.364607810974121,337
PGD,6741,fail,10.873929977416992,337
PGD,45248,fail,10.92435073852539,337
PGD,28586,fail,11.244678497314453,337
PGD,34711,fail,11.132771492004395,337
PGD,24414,True,0.0,488
PGD,11112,fail,9.988897323608398,488
PGD,5780,fail,10.783867835998535,488
PGD,11599,fail,10.572881698608398,488
PGD,17809,fail,11.421345710754395,488
PGD,37343,True,0.0,746
PGD,22187,True,0.0,443
PGD,39402,True,0.0,788
PGD,21884,True,0.0,437
PGD,38806,fail,11.009950637817383,437
PGD,14607,fail,11.798367500305176,437
PGD,48663,True,0.0,973
PGD,37268,fail,10.805853843688965,973
PGD,38697,fail,10.381095886230469,973
PGD,39636,True,0.0,792
PGD,43960,True,0.0,879
PGD,1943,True,0.0,38
PGD,43136,True,0.0,862
PGD,34453,fail,9.989180564880371,862
PGD,48033,fail,10.343074798583984,862
PGD,15745,True,0.0,314
PGD,46080,True,0.0,921
PGD,8071,fail,10.46574592590332,921
PGD,465,fail,10.32576847076416,921
PGD,41670,fail,10.421290397644043,921
PGD,27441,fail,10.497118949890137,921
PGD,23491,fail,9.46178150177002,921
PGD,46986,fail,10.87181282043457,921
PGD,8674,True,0.0,173
PGD,5545,fail,11.175415992736816,173
PGD,31662,fail,10.760992050170898,173
PGD,15080,fail,10.374722480773926,173
PGD,20832,fail,10.557443618774414,173
PGD,16918,fail,9.790326118469238,173
PGD,33212,fail,10.74513053894043,173
PGD,17877,True,0.0,357
PGD,40364,fail,10.345369338989258,357
PGD,554,fail,9.973870277404785,357
PGD,41736,fail,11.301981925964355,357
PGD,44712,fail,10.195948600769043,357
PGD,40545,True,0.0,810
PGD,33374,True,0.0,667
PGD,14512,True,0.0,290
PGD,9665,True,0.0,193
PGD,48211,True,0.0,964
PGD,21142,fail,10.770215034484863,964
PGD,18964,fail,10.645176887512207,964
PGD,3414,True,0.0,68
PGD,23100,fail,10.335785865783691,68
PGD,14177,fail,10.323140144348145,68
PGD,831,fail,9.734330177307129,68
PGD,48090,True,0.0,961
PGD,33464,fail,9.927667617797852,961
PGD,49487,fail,12.020145416259766,961
PGD,5526,fail,10.130678176879883,961
PGD,28817,fail,11.77569580078125,961
PGD,49759,fail,11.799530982971191,961
PGD,38491,fail,10.797191619873047,961
PGD,28451,fail,10.272238731384277,961
PGD,14628,fail,10.463753700256348,961
PGD,9719,fail,10.114934921264648,961
PGD,2085,fail,11.168575286865234,961
PGD,29661,fail,9.879711151123047,961
PGD,4807,True,0.0,96
PGD,27024,fail,10.19785213470459,96
PGD,46004,True,0.0,920
PGD,20821,fail,10.768339157104492,920
PGD,13718,fail,10.796330451965332,920
PGD,49740,fail,10.410569190979004,920
PGD,12088,True,0.0,241
PGD,46995,True,0.0,939
PGD,9,fail,11.055273056030273,939
PGD,7734,fail,9.939106941223145,939
PGD,34545,fail,10.354381561279297,939
PGD,48428,fail,10.621736526489258,939
PGD,44150,fail,10.854996681213379,939
PGD,9531,fail,10.764775276184082,939
PGD,35572,fail,10.599296569824219,939
PGD,29618,fail,10.210007667541504,939
PGD,8923,True,0.0,178
PGD,48249,fail,10.11725902557373,178
PGD,2707,True,0.0,54
PGD,3638,fail,10.108397483825684,54
PGD,38938,fail,10.609467506408691,54
PGD,14178,fail,9.670064926147461,54
PGD,16464,True,0.0,329
PGD,10600,fail,10.59720230102539,329
PGD,11348,True,0.0,226
PGD,16030,fail,9.650643348693848,226
PGD,43233,True,0.0,864
PGD,8251,True,0.0,165
PGD,4100,fail,9.889320373535156,165
OnePixel,30582,False,3.6780359745025635,611
OnePixel,17700,False,3.3677854537963867,354
OnePixel,16874,True,0.0,337
OnePixel,41047,False,3.8959174156188965,820
OnePixel,6741,False,3.7509732246398926,134
OnePixel,45248,True,4.997857570648193,904
OnePixel,28586,True,3.149995803833008,571
OnePixel,34711,False,3.734036922454834,694
OnePixel,24414,True,0.0,488
OnePixel,11112,False,3.191366672515869,222
OnePixel,5780,False,3.1759352684020996,115
OnePixel,11599,False,3.546172618865967,231
