Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,0.0,611
DeepFool,17700,False,0.0,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.0,820
DeepFool,6741,False,0.0,134
DeepFool,45248,False,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,False,0.0,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.0,222
DeepFool,5780,False,0.0,115
DeepFool,11599,False,0.0,231
DeepFool,17809,False,0.0,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.0,776
DeepFool,14607,False,0.0,292
DeepFool,48663,True,0.0,973
DeepFool,37268,False,0.0,745
DeepFool,38697,False,0.0,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,True,0.0,689
DeepFool,48033,True,0.0,960
DeepFool,15745,True,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.0,161
DeepFool,465,False,0.0,9
DeepFool,41670,True,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,False,0.0,469
DeepFool,46986,True,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.0,110
DeepFool,31662,True,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,True,0.0,416
DeepFool,16918,False,0.0,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,True,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.0,834
DeepFool,44712,False,0.2631317675113678,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,False,0.0,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.0,462
DeepFool,14177,False,0.0,283
DeepFool,831,False,0.0,16
DeepFool,48090,True,0.0,961
DeepFool,33464,False,0.0,669
DeepFool,49487,True,0.0,989
DeepFool,5526,False,0.0,110
DeepFool,28817,False,0.0,576
DeepFool,49759,False,0.0,995
DeepFool,38491,False,0.0,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.02375168539583683,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.0,593
DeepFool,4807,False,0.0,96
DeepFool,27024,False,0.0,540
DeepFool,46004,True,0.0,920
DeepFool,20821,False,0.0,416
DeepFool,13718,False,0.0,274
DeepFool,49740,True,0.0,994
DeepFool,12088,False,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.0,0
DeepFool,7734,False,0.0,154
DeepFool,34545,True,0.0,690
DeepFool,48428,True,0.0,968
DeepFool,44150,False,0.0,883
DeepFool,9531,False,0.0,190
DeepFool,35572,False,0.0,711
DeepFool,29618,False,0.0,592
DeepFool,8923,True,0.0,178
DeepFool,48249,True,0.0,964
DeepFool,2707,True,0.0,54
DeepFool,3638,False,0.0,72
DeepFool,38938,False,0.0,778
DeepFool,14178,False,0.0,283
DeepFool,16464,True,0.0,329
DeepFool,10600,False,0.0,212
DeepFool,11348,True,0.0,226
DeepFool,16030,False,0.0,320
DeepFool,43233,True,0.0,864
DeepFool,8251,True,0.0,165
DeepFool,4100,False,0.0,82
PGD,30582,False,0.0,611
PGD,17700,fail,11.410215377807617,611
PGD,16874,True,0.0,337
PGD,41047,False,0.0,820
PGD,6741,False,0.0,134
PGD,45248,fail,7.7146735191345215,134
PGD,28586,False,0.0,571
PGD,34711,False,0.0,694
PGD,24414,True,0.0,488
PGD,11112,False,0.0,222
