Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,1.9805094003677368,611
DeepFool,17700,False,0.3823509216308594,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.04876796901226044,820
DeepFool,6741,False,0.030592747032642365,134
DeepFool,45248,False,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,True,0.0,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.17459110915660858,222
DeepFool,5780,False,0.4961905777454376,115
DeepFool,11599,False,0.0,231
DeepFool,17809,False,0.722179651260376,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.04435582086443901,776
DeepFool,14607,False,0.0,292
DeepFool,48663,True,0.0,973
DeepFool,37268,False,0.0,745
DeepFool,38697,False,0.4166581332683563,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,True,0.0,689
DeepFool,48033,True,0.0,960
DeepFool,15745,False,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.0,161
DeepFool,465,False,0.7991852760314941,9
DeepFool,41670,True,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,False,0.0,469
DeepFool,46986,False,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.0,110
DeepFool,31662,True,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,True,0.0,416
DeepFool,16918,False,0.0,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,True,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.0,834
DeepFool,44712,False,0.03689172491431236,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,False,0.6368183493614197,379
DeepFool,3414,False,0.0,68
DeepFool,23100,False,0.06271540373563766,462
DeepFool,14177,False,0.5311518311500549,283
DeepFool,831,False,0.0,16
DeepFool,48090,True,0.0,961
DeepFool,33464,True,0.6788493990898132,669
DeepFool,49487,True,0.0,989
DeepFool,5526,False,0.0,110
DeepFool,28817,False,0.7981298565864563,576
DeepFool,49759,False,0.0,995
DeepFool,38491,True,1.463641881942749,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.1947365403175354,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
