Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,2.0730762481689453,611
DeepFool,17700,False,0.6845785975456238,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.30459240078926086,820
DeepFool,6741,False,0.0,134
DeepFool,45248,False,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,False,0.13860464096069336,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.40492522716522217,222
DeepFool,5780,True,0.6888716220855713,115
DeepFool,11599,False,0.09555764496326447,231
DeepFool,17809,False,0.46179938316345215,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,False,0.0,437
DeepFool,38806,False,0.0,776
DeepFool,14607,False,0.0,292
DeepFool,48663,False,0.0,973
DeepFool,37268,False,0.0,745
DeepFool,38697,False,0.394220769405365,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,True,0.0,689
DeepFool,48033,False,0.0,960
DeepFool,15745,False,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.0,161
DeepFool,465,False,0.8374128937721252,9
DeepFool,41670,False,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,False,0.0,469
DeepFool,46986,False,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.0,110
DeepFool,31662,False,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,True,0.0,416
DeepFool,16918,False,0.0,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,False,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.0,834
DeepFool,44712,False,0.027517816051840782,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,True,0.572218120098114,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.42504942417144775,462
DeepFool,14177,False,0.34940552711486816,283
DeepFool,831,False,0.05487576872110367,16
DeepFool,48090,True,0.0,961
DeepFool,33464,True,0.9033108949661255,669
DeepFool,49487,True,0.0,989
DeepFool,5526,False,0.0,110
DeepFool,28817,False,0.8160935640335083,576
DeepFool,49759,False,0.0,995
DeepFool,38491,True,1.3759558200836182,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.558205246925354,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.32704880833625793,593
DeepFool,4807,False,0.0,96
DeepFool,27024,False,1.113246202468872,540
DeepFool,46004,True,0.0,920
DeepFool,20821,True,0.626953661441803,416
DeepFool,13718,False,0.0,274
DeepFool,49740,False,0.0,994
DeepFool,12088,False,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.2991735637187958,0
DeepFool,7734,False,0.0,154
DeepFool,34545,True,0.0,690
DeepFool,48428,False,0.0,968
DeepFool,44150,True,0.9155726432800293,883
DeepFool,9531,True,1.508249044418335,190
DeepFool,35572,False,0.5176729559898376,711
DeepFool,29618,False,0.2162950187921524,592
DeepFool,8923,True,0.0,178
DeepFool,48249,False,0.0,964
DeepFool,2707,True,0.0,54
