Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,0.5080069899559021,611
DeepFool,17700,False,0.0,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.0,820
DeepFool,6741,False,0.0,134
DeepFool,45248,True,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,True,0.0,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.0,222
DeepFool,5780,False,0.0,115
DeepFool,11599,False,0.0,231
DeepFool,17809,False,0.0,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.0,776
DeepFool,14607,False,0.0,292
DeepFool,48663,True,0.0,973
DeepFool,37268,True,0.0,745
DeepFool,38697,True,0.0,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,True,0.0,689
DeepFool,48033,False,0.0,960
DeepFool,15745,True,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.0,161
DeepFool,465,False,0.0,9
DeepFool,41670,False,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,True,0.0,469
DeepFool,46986,True,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.0,110
DeepFool,31662,True,0.0,633
DeepFool,15080,True,0.0,301
DeepFool,20832,False,1.008921504020691,416
DeepFool,16918,True,0.0,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,True,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.0,834
DeepFool,44712,False,0.0,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,False,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,False,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,False,0.0,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.0,462
DeepFool,14177,True,0.0,283
DeepFool,831,True,0.0,16
DeepFool,48090,True,0.0,961
DeepFool,33464,False,0.9639235734939575,669
DeepFool,49487,True,0.0,989
DeepFool,5526,True,0.0,110
DeepFool,28817,False,0.0,576
DeepFool,49759,False,0.0,995
DeepFool,38491,False,0.0,769
DeepFool,28451,True,0.0,569
DeepFool,14628,False,0.0,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.0,593
DeepFool,4807,True,0.0,96
DeepFool,27024,False,0.0,540
DeepFool,46004,True,0.0,920
DeepFool,20821,True,0.0,416
DeepFool,13718,False,0.0,274
DeepFool,49740,True,0.0,994
DeepFool,12088,True,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.0,0
DeepFool,7734,False,0.0,154
DeepFool,34545,True,0.0,690
DeepFool,48428,True,0.0,968
DeepFool,44150,True,0.0,883
DeepFool,9531,False,0.5338401198387146,190
DeepFool,35572,False,0.0,711
DeepFool,29618,False,0.0,592
DeepFool,8923,True,0.0,178
DeepFool,48249,True,0.0,964
DeepFool,2707,True,0.0,54
DeepFool,3638,True,0.0,72
DeepFool,38938,False,0.0,778
DeepFool,14178,False,0.0,283
DeepFool,16464,True,0.0,329
DeepFool,10600,False,0.0,212
DeepFool,11348,True,0.0,226
DeepFool,16030,False,0.0,320
DeepFool,43233,True,0.0,864
DeepFool,8251,True,0.0,165
DeepFool,4100,True,0.0,82
PGD,30582,fail,15.352777481079102,
PGD,17700,fail,14.114572525024414,
PGD,16874,True,0.0,337
PGD,41047,fail,14.471214294433594,337
PGD,6741,fail,14.455098152160645,337
PGD,45248,True,0.0,904
PGD,28586,fail,14.691169738769531,904
PGD,34711,True,0.0,694
PGD,24414,True,0.0,488
PGD,11112,fail,13.542680740356445,488
PGD,5780,fail,13.386180877685547,488
PGD,11599,fail,13.020769119262695,488
PGD,17809,fail,14.998494148254395,488
PGD,37343,True,0.0,746
PGD,22187,True,0.0,443
PGD,39402,True,0.0,788
PGD,21884,True,0.0,437
PGD,38806,fail,15.117812156677246,437
PGD,14607,fail,15.153077125549316,437
PGD,48663,True,0.0,973
PGD,37268,True,0.0,745
PGD,38697,True,0.0,773
PGD,39636,True,0.0,792
PGD,43960,True,0.0,879
PGD,1943,True,0.0,38
PGD,43136,True,0.0,862
PGD,34453,True,0.0,689
PGD,48033,fail,13.487956047058105,689
PGD,15745,True,0.0,314
PGD,46080,True,0.0,921
PGD,8071,fail,13.392951011657715,921
PGD,465,fail,13.368029594421387,921
PGD,41670,fail,14.678258895874023,921
PGD,27441,fail,13.379061698913574,921
PGD,23491,True,0.0,469
PGD,46986,True,0.0,939
PGD,8674,True,0.0,173
PGD,5545,fail,14.783051490783691,173
PGD,31662,True,0.0,633
PGD,15080,True,0.0,301
PGD,20832,fail,13.97555160522461,301
PGD,16918,True,0.0,338
PGD,33212,fail,14.94901180267334,338
PGD,17877,True,0.0,357
PGD,40364,True,0.0,807
PGD,554,fail,13.209233283996582,807
PGD,41736,fail,14.43690299987793,807
PGD,44712,fail,13.35745620727539,807
PGD,40545,True,0.0,810
PGD,33374,True,0.0,667
PGD,14512,fail,14.150708198547363,667
PGD,9665,True,0.0,193
PGD,48211,fail,13.851646423339844,193
PGD,21142,fail,13.072525024414062,193
PGD,18964,fail,13.474936485290527,193
PGD,3414,True,0.0,68
PGD,23100,fail,13.428726196289062,68
PGD,14177,True,0.0,283
PGD,831,True,0.0,16
PGD,48090,True,0.0,961
PGD,33464,fail,13.035300254821777,961
PGD,49487,True,0.0,989
PGD,5526,True,0.0,110
PGD,28817,fail,15.259526252746582,110
PGD,49759,fail,15.279937744140625,110
PGD,38491,fail,13.554235458374023,110
PGD,28451,True,0.0,569
PGD,14628,fail,13.583724021911621,569
PGD,9719,fail,13.228276252746582,569
PGD,2085,fail,14.020519256591797,569
PGD,29661,fail,12.68096923828125,569
PGD,4807,True,0.0,96
PGD,27024,fail,12.964388847351074,96
PGD,46004,True,0.0,920
PGD,20821,True,0.0,416
PGD,13718,fail,14.302168846130371,416
PGD,49740,True,0.0,994
PGD,12088,True,0.0,241
PGD,46995,True,0.0,939
PGD,9,fail,15.236268997192383,939
PGD,7734,fail,13.217106819152832,939
PGD,34545,True,0.0,690
PGD,48428,True,0.0,968
PGD,44150,True,0.0,883
PGD,9531,fail,13.640748023986816,883
PGD,35572,fail,13.061683654785156,883
PGD,29618,fail,13.47994327545166,883
PGD,8923,True,0.0,178
PGD,48249,True,0.0,964
PGD,2707,True,0.0,54
PGD,3638,True,0.0,72
PGD,38938,fail,14.295841217041016,72
PGD,14178,fail,12.996820449829102,72
PGD,16464,True,0.0,329
PGD,10600,fail,13.329567909240723,329
PGD,11348,True,0.0,226
PGD,16030,fail,13.106207847595215,226
PGD,43233,True,0.0,864
PGD,8251,True,0.0,165
PGD,4100,True,0.0,82
OnePixel,30582,False,3.722259759902954,611
OnePixel,17700,False,3.1874592304229736,354
OnePixel,16874,True,0.0,337
OnePixel,41047,False,3.511672019958496,820
OnePixel,6741,False,3.6207053661346436,134
OnePixel,45248,True,0.0,904
OnePixel,28586,False,3.3238391876220703,571
OnePixel,34711,True,0.0,694
OnePixel,24414,True,0.0,488
OnePixel,11112,False,3.4935390949249268,222
OnePixel,5780,False,3.657529354095459,115
OnePixel,11599,False,3.7763912677764893,231
OnePixel,17809,False,3.8804948329925537,356
OnePixel,37343,True,0.0,746
OnePixel,22187,True,0.0,443
OnePixel,39402,True,0.0,788
OnePixel,21884,True,0.0,437
OnePixel,38806,False,3.6694679260253906,776
OnePixel,14607,False,4.213822364807129,292
OnePixel,48663,True,0.0,973
OnePixel,37268,True,0.0,745
OnePixel,38697,True,0.0,773
OnePixel,39636,True,0.0,792
OnePixel,43960,True,0.0,879
OnePixel,1943,True,0.0,38
OnePixel,43136,True,0.0,862
OnePixel,34453,True,0.0,689
OnePixel,48033,False,4.51602029800415,960
OnePixel,15745,True,0.0,314
OnePixel,46080,True,0.0,921
OnePixel,8071,True,3.397106885910034,161
OnePixel,465,False,4.084108829498291,9
OnePixel,41670,False,3.509627103805542,833
OnePixel,27441,False,3.40649151802063,548
OnePixel,23491,True,0.0,469
OnePixel,46986,True,0.0,939
OnePixel,8674,True,0.0,173
OnePixel,5545,False,4.23031759262085,110
OnePixel,31662,True,0.0,633
OnePixel,15080,True,0.0,301
OnePixel,20832,True,3.959256649017334,416
OnePixel,16918,True,0.0,338
OnePixel,33212,False,4.465167999267578,664
OnePixel,17877,True,0.0,357
OnePixel,40364,True,0.0,807
OnePixel,554,False,3.3560245037078857,11
OnePixel,41736,True,3.783858299255371,834
OnePixel,44712,False,3.311985492706299,894
OnePixel,40545,True,0.0,810
OnePixel,33374,True,0.0,667
OnePixel,14512,False,4.106139659881592,290
OnePixel,9665,True,0.0,193
OnePixel,48211,True,3.777106523513794,964
OnePixel,21142,False,3.5371477603912354,422
OnePixel,18964,False,4.788773059844971,379
OnePixel,3414,True,0.0,68
OnePixel,23100,False,3.264402389526367,462
OnePixel,14177,True,0.0,283
OnePixel,831,True,0.0,16
OnePixel,48090,True,0.0,961
OnePixel,33464,False,3.0829238891601562,669
OnePixel,49487,True,0.0,989
OnePixel,5526,True,0.0,110
OnePixel,28817,False,4.200965881347656,576
OnePixel,49759,False,4.294132709503174,995
OnePixel,38491,False,3.410611152648926,769
OnePixel,28451,True,0.0,569
OnePixel,14628,False,4.3426079750061035,292
OnePixel,9719,False,3.246816635131836,194
OnePixel,2085,False,3.6984219551086426,41
OnePixel,29661,False,4.704711437225342,593
OnePixel,4807,True,0.0,96
OnePixel,27024,False,3.6286070346832275,540
OnePixel,46004,True,0.0,920
OnePixel,20821,True,0.0,416
OnePixel,13718,False,3.778998374938965,274
OnePixel,49740,True,0.0,994
OnePixel,12088,True,0.0,241
OnePixel,46995,True,0.0,939
OnePixel,9,False,3.6388866901397705,0
OnePixel,7734,False,2.8868775367736816,154
OnePixel,34545,True,0.0,690
OnePixel,48428,True,0.0,968
OnePixel,44150,True,0.0,883
OnePixel,9531,False,4.066454887390137,190
OnePixel,35572,False,4.638573169708252,711
OnePixel,29618,False,4.101618766784668,592
OnePixel,8923,True,0.0,178
OnePixel,48249,True,0.0,964
OnePixel,2707,True,0.0,54
OnePixel,3638,True,0.0,72
OnePixel,38938,False,3.5062408447265625,778
OnePixel,14178,False,4.0107903480529785,283
OnePixel,16464,True,0.0,329
OnePixel,10600,False,3.694636106491089,212
OnePixel,11348,True,0.0,226
OnePixel,16030,False,4.383641242980957,320
OnePixel,43233,True,0.0,864
OnePixel,8251,True,0.0,165
OnePixel,4100,True,0.0,82
