Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,0.9705594778060913,611
DeepFool,17700,False,0.0,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.0,820
DeepFool,6741,False,0.0,134
DeepFool,45248,False,0.0,904
DeepFool,28586,False,0.0,571
DeepFool,34711,True,0.0,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.0,222
DeepFool,5780,False,0.0,115
DeepFool,11599,False,0.0,231
DeepFool,17809,False,0.0,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.0,776
DeepFool,14607,False,0.0,292
DeepFool,48663,True,0.0,973
DeepFool,37268,False,0.0,745
DeepFool,38697,False,0.0,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,True,0.0,689
DeepFool,48033,False,0.0,960
DeepFool,15745,True,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.0,161
DeepFool,465,False,0.04104097560048103,9
DeepFool,41670,False,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,True,0.0,469
DeepFool,46986,True,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.0,110
DeepFool,31662,True,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,True,1.251330852508545,416
DeepFool,16918,False,0.0,338
DeepFool,33212,False,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,True,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,True,0.0,834
DeepFool,44712,False,0.0,894
DeepFool,40545,False,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,False,0.0,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.09697071462869644,462
DeepFool,14177,True,0.0,283
DeepFool,831,False,0.0,16
DeepFool,48090,True,0.0,961
DeepFool,33464,False,1.3695924282073975,669
DeepFool,49487,True,0.0,989
DeepFool,5526,True,0.0,110
DeepFool,28817,False,0.6180272698402405,576
DeepFool,49759,True,0.0,995
DeepFool,38491,False,0.0,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.0,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.0,593
DeepFool,4807,True,0.0,96
DeepFool,27024,False,0.0,540
DeepFool,46004,True,0.0,920
DeepFool,20821,True,0.0,416
DeepFool,13718,False,0.0,274
DeepFool,49740,True,0.0,994
DeepFool,12088,True,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.0,0
DeepFool,7734,False,0.0,154
DeepFool,34545,False,0.0,690
DeepFool,48428,True,0.0,968
DeepFool,44150,True,0.0,883
DeepFool,9531,False,0.9291440844535828,190
DeepFool,35572,False,0.0,711
DeepFool,29618,False,0.0,592
DeepFool,8923,True,0.0,178
DeepFool,48249,True,0.0,964
DeepFool,2707,True,0.0,54
DeepFool,3638,False,0.0,72
DeepFool,38938,False,0.0,778
DeepFool,14178,False,0.0,283
DeepFool,16464,True,0.0,329
DeepFool,10600,False,0.0,212
DeepFool,11348,True,0.0,226
DeepFool,16030,False,0.0,320
DeepFool,43233,True,0.0,864
DeepFool,8251,True,0.0,165
DeepFool,4100,False,0.0,82
PGD,30582,fail,14.844941139221191,
PGD,17700,fail,13.349637985229492,
PGD,16874,True,0.0,337
PGD,41047,fail,13.749473571777344,337
PGD,6741,fail,14.237760543823242,337
PGD,45248,fail,15.385189056396484,337
PGD,28586,fail,14.270668029785156,337
PGD,34711,True,0.0,694
PGD,24414,True,0.0,488
PGD,11112,fail,12.55812931060791,488
PGD,5780,fail,12.730107307434082,488
PGD,11599,fail,12.153290748596191,488
PGD,17809,fail,14.9366455078125,488
PGD,37343,True,0.0,746
PGD,22187,True,0.0,443
PGD,39402,True,0.0,788
PGD,21884,True,0.0,437
PGD,38806,fail,14.576091766357422,437
PGD,14607,fail,14.531060218811035,437
PGD,48663,True,0.0,973
PGD,37268,fail,13.421234130859375,973
PGD,38697,fail,12.033936500549316,973
PGD,39636,True,0.0,792
PGD,43960,True,0.0,879
PGD,1943,True,0.0,38
PGD,43136,True,0.0,862
PGD,34453,True,0.0,689
PGD,48033,fail,12.56332015991211,689
PGD,15745,True,0.0,314
PGD,46080,True,0.0,921
PGD,8071,fail,12.16811752319336,921
PGD,465,fail,12.491575241088867,921
PGD,41670,fail,13.768965721130371,921
PGD,27441,fail,13.283631324768066,921
PGD,23491,True,0.0,469
PGD,46986,True,0.0,939
PGD,8674,True,0.0,173
PGD,5545,fail,14.409314155578613,173
PGD,31662,True,0.0,633
PGD,15080,fail,14.033565521240234,633
PGD,20832,fail,13.625631332397461,633
PGD,16918,fail,12.24786376953125,633
PGD,33212,fail,13.356575965881348,633
PGD,17877,True,0.0,357
PGD,40364,True,0.0,807
PGD,554,fail,12.36254596710205,807
PGD,41736,True,0.0,834
PGD,44712,fail,13.12204647064209,834
PGD,40545,fail,12.475907325744629,834
PGD,33374,True,0.0,667
PGD,14512,True,0.0,290
PGD,9665,True,0.0,193
PGD,48211,True,0.0,964
PGD,21142,fail,13.071561813354492,964
PGD,18964,fail,13.229106903076172,964
PGD,3414,True,0.0,68
PGD,23100,fail,13.127632141113281,68
PGD,14177,True,0.0,283
PGD,831,fail,11.97408676147461,283
PGD,48090,True,0.0,961
PGD,33464,fail,12.20895004272461,961
PGD,49487,True,0.0,989
PGD,5526,True,0.0,110
PGD,28817,fail,14.772245407104492,110
PGD,49759,True,0.0,995
PGD,38491,fail,13.531158447265625,995
PGD,28451,fail,13.302441596984863,995
PGD,14628,fail,13.054344177246094,995
PGD,9719,fail,12.361952781677246,995
PGD,2085,fail,13.803507804870605,995
PGD,29661,fail,12.865068435668945,995
PGD,4807,True,0.0,96
PGD,27024,fail,12.219989776611328,96
PGD,46004,True,0.0,920
PGD,20821,True,0.0,416
PGD,13718,fail,13.254850387573242,416
PGD,49740,True,0.0,994
PGD,12088,True,0.0,241
PGD,46995,True,0.0,939
PGD,9,fail,13.984031677246094,939
PGD,7734,fail,12.414993286132812,939
PGD,34545,fail,13.130257606506348,939
PGD,48428,True,0.0,968
PGD,44150,True,0.0,883
PGD,9531,fail,12.80039119720459,883
PGD,35572,fail,12.845292091369629,883
PGD,29618,fail,12.735254287719727,883
PGD,8923,True,0.0,178
PGD,48249,True,0.0,964
PGD,2707,True,0.0,54
PGD,3638,fail,12.513932228088379,54
PGD,38938,fail,13.90925121307373,54
PGD,14178,fail,11.995462417602539,54
PGD,16464,True,0.0,329
PGD,10600,fail,12.61806869506836,329
PGD,11348,True,0.0,226
PGD,16030,fail,11.378181457519531,226
PGD,43233,True,0.0,864
PGD,8251,True,0.0,165
PGD,4100,fail,12.535392761230469,165
OnePixel,30582,False,4.323624610900879,611
OnePixel,17700,False,3.481544017791748,354
OnePixel,16874,True,0.0,337
OnePixel,41047,False,3.605346202850342,820
OnePixel,6741,False,3.716562271118164,134
OnePixel,45248,False,3.9912850856781006,904
OnePixel,28586,False,3.4609951972961426,571
OnePixel,34711,True,0.0,694
OnePixel,24414,True,0.0,488
OnePixel,11112,False,3.4307687282562256,222
OnePixel,5780,False,3.541527271270752,115
OnePixel,11599,False,3.908881902694702,231
OnePixel,17809,False,4.3044304847717285,356
OnePixel,37343,True,0.0,746
OnePixel,22187,True,0.0,443
OnePixel,39402,True,0.0,788
OnePixel,21884,True,0.0,437
OnePixel,38806,False,4.065427780151367,776
OnePixel,14607,False,3.8298187255859375,292
OnePixel,48663,True,0.0,973
OnePixel,37268,False,3.1935527324676514,745
OnePixel,38697,False,3.7657036781311035,773
OnePixel,39636,True,0.0,792
OnePixel,43960,True,0.0,879
OnePixel,1943,True,0.0,38
OnePixel,43136,True,0.0,862
OnePixel,34453,True,0.0,689
OnePixel,48033,False,3.9460837841033936,960
OnePixel,15745,True,0.0,314
OnePixel,46080,True,0.0,921
OnePixel,8071,False,4.014143466949463,161
OnePixel,465,False,3.6283011436462402,9
OnePixel,41670,False,3.654603958129883,833
OnePixel,27441,False,3.8577213287353516,548
OnePixel,23491,True,0.0,469
OnePixel,46986,True,0.0,939
OnePixel,8674,True,0.0,173
OnePixel,5545,False,4.1167893409729,110
OnePixel,31662,True,0.0,633
OnePixel,15080,False,3.0489842891693115,301
OnePixel,20832,False,3.7930831909179688,416
OnePixel,16918,False,3.843003034591675,338
OnePixel,33212,True,4.303020000457764,664
OnePixel,17877,True,0.0,357
OnePixel,40364,True,0.0,807
OnePixel,554,False,3.524339199066162,11
OnePixel,41736,True,0.0,834
OnePixel,44712,False,3.245816946029663,894
OnePixel,40545,False,3.913780927658081,810
OnePixel,33374,True,0.0,667
OnePixel,14512,True,0.0,290
OnePixel,9665,True,0.0,193
OnePixel,48211,True,0.0,964
OnePixel,21142,False,3.5913493633270264,422
OnePixel,18964,False,4.3575825691223145,379
OnePixel,3414,True,0.0,68
OnePixel,23100,False,3.580641269683838,462
OnePixel,14177,True,0.0,283
OnePixel,831,False,4.82651424407959,16
OnePixel,48090,True,0.0,961
OnePixel,33464,False,2.722996711730957,669
OnePixel,49487,True,0.0,989
OnePixel,5526,True,0.0,110
