Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,30582,False,2.1033899784088135,611
DeepFool,17700,False,1.1280992031097412,354
DeepFool,16874,True,0.0,337
DeepFool,41047,False,0.14213481545448303,820
DeepFool,6741,False,0.2520075738430023,134
DeepFool,45248,False,0.4060789942741394,904
DeepFool,28586,False,0.0,571
DeepFool,34711,True,0.2518761456012726,694
DeepFool,24414,True,0.0,488
DeepFool,11112,False,0.25912871956825256,222
DeepFool,5780,True,0.9919028878211975,115
DeepFool,11599,False,0.5686516761779785,231
DeepFool,17809,False,0.8464867472648621,356
DeepFool,37343,True,0.0,746
DeepFool,22187,True,0.0,443
DeepFool,39402,True,0.0,788
DeepFool,21884,True,0.0,437
DeepFool,38806,False,0.0,776
DeepFool,14607,False,0.0,292
DeepFool,48663,True,0.0,973
DeepFool,37268,False,0.0,745
DeepFool,38697,False,0.5565093159675598,773
DeepFool,39636,True,0.0,792
DeepFool,43960,True,0.0,879
DeepFool,1943,True,0.0,38
DeepFool,43136,True,0.0,862
DeepFool,34453,False,0.23537175357341766,689
DeepFool,48033,False,0.0,960
DeepFool,15745,False,0.0,314
DeepFool,46080,True,0.0,921
DeepFool,8071,False,0.10637489706277847,161
DeepFool,465,False,1.079615831375122,9
DeepFool,41670,False,0.0,833
DeepFool,27441,False,0.0,548
DeepFool,23491,False,0.0,469
DeepFool,46986,False,0.0,939
DeepFool,8674,True,0.0,173
DeepFool,5545,False,0.007591480854898691,110
DeepFool,31662,False,0.0,633
DeepFool,15080,False,0.0,301
DeepFool,20832,False,0.19840410351753235,416
DeepFool,16918,False,0.0,338
DeepFool,33212,True,0.0,664
DeepFool,17877,True,0.0,357
DeepFool,40364,False,0.0,807
DeepFool,554,False,0.0,11
DeepFool,41736,False,0.09603653103113174,834
DeepFool,44712,False,0.0,894
DeepFool,40545,True,0.0,810
DeepFool,33374,True,0.0,667
DeepFool,14512,True,0.0,290
DeepFool,9665,True,0.0,193
DeepFool,48211,True,0.0,964
DeepFool,21142,False,0.0,422
DeepFool,18964,True,0.5458437204360962,379
DeepFool,3414,True,0.0,68
DeepFool,23100,False,0.35192641615867615,462
DeepFool,14177,False,0.3019517958164215,283
DeepFool,831,False,0.0006427663611248136,16
DeepFool,48090,True,0.0,961
DeepFool,33464,True,0.6556329727172852,669
DeepFool,49487,True,0.0,989
DeepFool,5526,False,0.0,110
DeepFool,28817,False,1.1403717994689941,576
DeepFool,49759,False,0.0,995
DeepFool,38491,True,1.6718467473983765,769
DeepFool,28451,False,0.0,569
DeepFool,14628,False,0.7174642086029053,292
DeepFool,9719,False,0.0,194
DeepFool,2085,False,0.0,41
DeepFool,29661,False,0.23316065967082977,593
DeepFool,4807,False,0.0,96
DeepFool,27024,False,1.547095537185669,540
DeepFool,46004,True,0.0,920
DeepFool,20821,True,0.0,416
DeepFool,13718,False,0.0,274
DeepFool,49740,False,0.0,994
DeepFool,12088,False,0.0,241
DeepFool,46995,True,0.0,939
DeepFool,9,False,0.6125585436820984,0
DeepFool,7734,False,0.022686948999762535,154
DeepFool,34545,False,0.0,690
DeepFool,48428,False,0.0,968
DeepFool,44150,False,1.4921462535858154,883
DeepFool,9531,True,1.5078668594360352,190
DeepFool,35572,False,0.30461585521698,711
DeepFool,29618,False,0.5233860015869141,592
DeepFool,8923,True,0.0,178
DeepFool,48249,False,0.0,964
DeepFool,2707,True,0.0,54
DeepFool,3638,False,0.0,72
DeepFool,38938,False,0.06056410074234009,778
DeepFool,14178,False,0.0,283
DeepFool,16464,True,0.0,329
DeepFool,10600,False,0.8378703594207764,212
DeepFool,11348,True,0.0,226
DeepFool,16030,False,0.0,320
DeepFool,43233,True,0.0,864
DeepFool,8251,True,0.0,165
DeepFool,4100,False,0.7570347785949707,82
PGD,30582,fail,13.0994291305542,
PGD,17700,fail,11.248963356018066,
PGD,16874,True,0.0,337
PGD,41047,fail,10.994893074035645,337
PGD,6741,fail,11.471095085144043,337
PGD,45248,fail,12.521122932434082,337
PGD,28586,fail,12.006580352783203,337
PGD,34711,fail,11.900346755981445,337
PGD,24414,True,0.0,488
PGD,11112,fail,10.592087745666504,488
PGD,5780,fail,11.042695999145508,488
PGD,11599,fail,10.884507179260254,488
PGD,17809,fail,12.105957984924316,488
PGD,37343,True,0.0,746
PGD,22187,True,0.0,443
PGD,39402,True,0.0,788
PGD,21884,True,0.0,437
PGD,38806,fail,11.488973617553711,437
PGD,14607,fail,12.599689483642578,437
PGD,48663,True,0.0,973
PGD,37268,fail,11.218023300170898,973
PGD,38697,fail,10.677666664123535,973
PGD,39636,True,0.0,792
PGD,43960,True,0.0,879
PGD,1943,True,0.0,38
PGD,43136,True,0.0,862
PGD,34453,fail,10.589153289794922,862
PGD,48033,fail,10.704723358154297,862
PGD,15745,fail,9.649909973144531,862
PGD,46080,True,0.0,921
PGD,8071,fail,10.784645080566406,921
PGD,465,fail,10.955111503601074,921
PGD,41670,fail,11.229318618774414,921
PGD,27441,fail,11.033720970153809,921
PGD,23491,fail,9.63206958770752,921
PGD,46986,fail,11.42064094543457,921
PGD,8674,True,0.0,173
PGD,5545,fail,12.153707504272461,173
PGD,31662,fail,11.170647621154785,173
PGD,15080,fail,11.107412338256836,173
PGD,20832,fail,10.774703025817871,173
PGD,16918,fail,9.86594295501709,173
PGD,33212,True,0.0,664
PGD,17877,True,0.0,357
PGD,40364,fail,10.641951560974121,357
PGD,554,fail,10.405159950256348,357
PGD,41736,fail,11.585372924804688,357
PGD,44712,fail,10.831011772155762,357
PGD,40545,True,0.0,810
PGD,33374,True,0.0,667
PGD,14512,True,0.0,290
PGD,9665,True,0.0,193
PGD,48211,True,0.0,964
PGD,21142,fail,11.139430046081543,964
PGD,18964,fail,11.21350383758545,964
PGD,3414,True,0.0,68
PGD,23100,fail,10.810502052307129,68
PGD,14177,fail,11.196901321411133,68
PGD,831,fail,10.128445625305176,68
PGD,48090,True,0.0,961
PGD,33464,fail,10.363995552062988,961
PGD,49487,True,0.0,989
PGD,5526,fail,10.441606521606445,989
PGD,28817,fail,12.054560661315918,989
PGD,49759,fail,12.094649314880371,989
PGD,38491,fail,11.483031272888184,989
PGD,28451,fail,10.333117485046387,989
PGD,14628,fail,10.879073143005371,989
PGD,9719,fail,10.513050079345703,989
PGD,2085,fail,11.19294548034668,989
PGD,29661,fail,9.995670318603516,989
PGD,4807,fail,10.308155059814453,989
PGD,27024,fail,10.820595741271973,989
PGD,46004,True,0.0,920
PGD,20821,True,0.0,416
PGD,13718,fail,11.88072395324707,416
PGD,49740,fail,10.890425682067871,416
PGD,12088,fail,10.534441947937012,416
PGD,46995,True,0.0,939
PGD,9,fail,11.93923568725586,939
PGD,7734,fail,10.3025541305542,939
PGD,34545,fail,10.843688011169434,939
PGD,48428,fail,11.09217643737793,939
PGD,44150,fail,11.701910972595215,939
PGD,9531,fail,11.373071670532227,939
PGD,35572,fail,11.410772323608398,939
PGD,29618,fail,10.770577430725098,939
PGD,8923,True,0.0,178
PGD,48249,fail,10.862778663635254,178
PGD,2707,True,0.0,54
PGD,3638,fail,10.613996505737305,54
PGD,38938,fail,11.676177978515625,54
PGD,14178,fail,10.104560852050781,54
PGD,16464,True,0.0,329
PGD,10600,fail,10.780402183532715,329
PGD,11348,True,0.0,226
PGD,16030,fail,9.969785690307617,226
PGD,43233,True,0.0,864
PGD,8251,True,0.0,165
PGD,4100,fail,10.382644653320312,165
OnePixel,30582,False,3.8931403160095215,611
OnePixel,17700,False,3.2448952198028564,354
OnePixel,16874,True,0.0,337
OnePixel,41047,False,3.5311801433563232,820
OnePixel,6741,False,3.689410448074341,134
OnePixel,45248,True,4.803292751312256,904
OnePixel,28586,False,3.2873358726501465,571
OnePixel,34711,False,4.047859191894531,694
OnePixel,24414,True,0.0,488
OnePixel,11112,False,3.0525307655334473,222
OnePixel,5780,False,3.4867970943450928,115
OnePixel,11599,False,3.5561389923095703,231
OnePixel,17809,False,3.934889078140259,356
OnePixel,37343,True,0.0,746
OnePixel,22187,True,0.0,443
OnePixel,39402,True,0.0,788
OnePixel,21884,True,0.0,437
OnePixel,38806,False,4.298856735229492,776
OnePixel,14607,False,3.9067015647888184,292
OnePixel,48663,True,0.0,973
OnePixel,37268,False,3.1939635276794434,745
OnePixel,38697,False,3.5127673149108887,773
OnePixel,39636,True,0.0,792
OnePixel,43960,True,0.0,879
OnePixel,1943,True,0.0,38
OnePixel,43136,True,0.0,862
OnePixel,34453,False,3.6237261295318604,689
OnePixel,48033,False,4.507223606109619,960
OnePixel,15745,True,4.517925262451172,314
OnePixel,46080,True,0.0,921
OnePixel,8071,False,3.552638292312622,161
OnePixel,465,False,3.8918089866638184,9
OnePixel,41670,False,3.370910882949829,833
OnePixel,27441,False,3.3067214488983154,548
OnePixel,23491,False,4.526884078979492,469
OnePixel,46986,False,4.1312360763549805,939
OnePixel,8674,True,0.0,173
OnePixel,5545,False,4.301072120666504,110
OnePixel,31662,False,4.226314067840576,633
OnePixel,15080,False,3.8947255611419678,301
OnePixel,20832,False,4.156443119049072,416
OnePixel,16918,False,4.881747245788574,338
OnePixel,33212,True,0.0,664
OnePixel,17877,True,0.0,357
OnePixel,40364,False,3.492769956588745,807
OnePixel,554,False,3.358938455581665,11
OnePixel,41736,False,3.922961473464966,834
OnePixel,44712,False,2.5847067832946777,894
OnePixel,40545,True,0.0,810
OnePixel,33374,True,0.0,667
OnePixel,14512,True,0.0,290
OnePixel,9665,True,0.0,193
OnePixel,48211,True,0.0,964
OnePixel,21142,False,3.716487407684326,422
OnePixel,18964,False,4.3600029945373535,379
OnePixel,3414,True,0.0,68
OnePixel,23100,False,3.0449604988098145,462
OnePixel,14177,False,3.794044256210327,283
OnePixel,831,False,4.308192253112793,16
OnePixel,48090,True,0.0,961
OnePixel,33464,False,2.843756675720215,669
OnePixel,49487,True,0.0,989
OnePixel,5526,False,3.8515963554382324,110
OnePixel,28817,False,3.960420608520508,576
OnePixel,49759,False,4.08577299118042,995
OnePixel,38491,False,3.048197031021118,769
OnePixel,28451,False,3.769562244415283,569
OnePixel,14628,False,4.245993137359619,292
OnePixel,9719,False,3.712409734725952,194
OnePixel,2085,False,3.482084035873413,41
OnePixel,29661,False,4.762509346008301,593
OnePixel,4807,False,4.136351585388184,96
OnePixel,27024,False,3.674166440963745,540
OnePixel,46004,True,0.0,920
OnePixel,20821,True,0.0,416
OnePixel,13718,False,3.956472158432007,274
OnePixel,49740,False,4.840740203857422,994
OnePixel,12088,False,3.9369852542877197,241
OnePixel,46995,True,0.0,939
OnePixel,9,False,3.6223301887512207,0
OnePixel,7734,False,3.3742640018463135,154
OnePixel,34545,False,4.196161270141602,690
OnePixel,48428,True,4.37753963470459,968
OnePixel,44150,False,3.425265073776245,883
OnePixel,9531,False,4.6366777420043945,190
OnePixel,35572,False,4.244811534881592,711
OnePixel,29618,fail,5.158181667327881,711
OnePixel,8923,True,0.0,178
OnePixel,48249,True,3.6854405403137207,964
OnePixel,2707,True,0.0,54
OnePixel,3638,False,2.951054573059082,72
OnePixel,38938,False,3.3881044387817383,778
OnePixel,14178,False,3.608614683151245,283
OnePixel,16464,True,0.0,329
OnePixel,10600,False,3.12117862701416,212
OnePixel,11348,True,0.0,226
OnePixel,16030,False,4.577155590057373,320
OnePixel,43233,True,0.0,864
OnePixel,8251,True,0.0,165
OnePixel,4100,False,3.367542266845703,82
