Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,7048,False,0.0,140
DeepFool,30299,True,0.0,605
DeepFool,36986,False,0.15029481053352356,739
DeepFool,18212,False,0.0,364
DeepFool,5909,False,0.0,118
DeepFool,42395,False,0.0,847
DeepFool,5343,True,0.0,106
DeepFool,21071,True,0.0,421
DeepFool,24538,False,0.0,490
DeepFool,13170,False,0.0,263
DeepFool,22452,False,0.0,449
DeepFool,14090,True,0.0,281
DeepFool,10226,True,0.0,204
DeepFool,16209,False,0.0,324
DeepFool,46618,True,0.0,932
DeepFool,14037,False,0.0,280
DeepFool,11031,False,0.0,220
DeepFool,16426,False,0.0,328
DeepFool,31724,True,0.0,634
DeepFool,8110,False,0.0,162
DeepFool,43139,True,0.0,862
DeepFool,9493,False,0.0,189
DeepFool,27422,False,0.0,548
DeepFool,29025,False,0.0,580
DeepFool,43743,False,0.0,874
DeepFool,49511,False,0.0,990
DeepFool,34107,False,0.0,682
DeepFool,33305,False,0.0,666
DeepFool,48828,False,0.0,976
DeepFool,2924,True,0.0,58
DeepFool,28008,False,0.0,560
DeepFool,28114,False,0.0,562
DeepFool,8119,False,0.0,162
DeepFool,33152,True,0.0,663
DeepFool,40730,False,0.0,814
DeepFool,2159,False,0.0,43
DeepFool,32546,False,0.0,650
DeepFool,4808,False,0.0,96
DeepFool,27998,True,0.0,559
DeepFool,17272,True,0.0,345
DeepFool,40825,False,0.0,816
DeepFool,2761,True,0.0,55
DeepFool,2563,True,0.0,51
DeepFool,35947,False,0.0,718
DeepFool,37278,True,0.0,745
DeepFool,43848,True,0.0,876
DeepFool,3248,True,0.0,64
DeepFool,20921,False,0.0,418
DeepFool,24431,True,0.0,488
DeepFool,14059,False,0.0,281
DeepFool,33496,True,0.0,669
DeepFool,15964,False,0.0,319
DeepFool,47570,True,0.0,951
DeepFool,29773,False,0.0,595
DeepFool,21642,False,0.0,432
DeepFool,16284,False,0.0,325
DeepFool,27189,True,0.0,543
DeepFool,49987,False,0.0,999
DeepFool,22511,False,0.0,450
DeepFool,28139,False,0.0,562
DeepFool,31369,False,0.0,627
DeepFool,3906,False,0.0,78
DeepFool,2192,False,0.0,43
DeepFool,48314,False,0.0,966
DeepFool,45164,False,0.0,903
DeepFool,21809,False,0.0,436
DeepFool,13962,False,0.3229183852672577,279
DeepFool,34443,False,0.0,688
DeepFool,4011,False,0.0,80
DeepFool,7333,False,0.0,146
DeepFool,49302,False,0.0,986
DeepFool,6885,True,0.0,137
DeepFool,15069,False,0.0,301
DeepFool,46986,True,0.0,939
DeepFool,41406,False,0.0,828
DeepFool,11000,False,0.0,220
DeepFool,37656,True,0.0,753
DeepFool,26208,False,0.0,524
DeepFool,9706,True,0.0,194
DeepFool,45263,True,0.0,905
DeepFool,3603,False,0.0,72
