Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,7048,False,0.10476694256067276,140
DeepFool,30299,True,0.0,605
DeepFool,36986,False,0.4357610046863556,739
DeepFool,18212,False,0.0,364
DeepFool,5909,False,0.0,118
DeepFool,42395,False,0.0,847
DeepFool,5343,True,0.0,106
DeepFool,21071,True,0.0,421
DeepFool,24538,False,0.0,490
DeepFool,13170,False,0.0,263
DeepFool,22452,False,0.0,449
DeepFool,14090,True,0.0,281
DeepFool,10226,True,0.0,204
DeepFool,16209,False,0.0,324
DeepFool,46618,True,0.0,932
DeepFool,14037,False,0.0,280
DeepFool,11031,False,0.0,220
DeepFool,16426,False,0.24559959769248962,328
DeepFool,31724,True,0.0,634
DeepFool,8110,False,0.0,162
DeepFool,43139,False,0.0,862
DeepFool,9493,False,0.0,189
DeepFool,27422,False,0.44370126724243164,548
DeepFool,29025,False,0.0,580
DeepFool,43743,False,0.22910870611667633,874
DeepFool,49511,False,0.0,990
DeepFool,34107,False,0.5047827363014221,682
DeepFool,33305,False,0.3756372928619385,666
DeepFool,48828,False,0.05190886929631233,976
DeepFool,2924,False,0.0,58
DeepFool,28008,False,0.0,560
DeepFool,28114,False,0.41239410638809204,562
DeepFool,8119,False,0.0,162
DeepFool,33152,True,0.0,663
DeepFool,40730,False,0.0,814
DeepFool,2159,False,0.0,43
DeepFool,32546,True,0.0,650
DeepFool,4808,False,0.0,96
DeepFool,27998,False,0.009385962039232254,559
DeepFool,17272,True,0.0,345
DeepFool,40825,False,0.0,816
DeepFool,2761,True,0.0,55
DeepFool,2563,True,0.0,51
DeepFool,35947,False,0.0,718
DeepFool,37278,True,0.0,745
DeepFool,43848,False,0.0,876
DeepFool,3248,True,0.0,64
DeepFool,20921,True,0.0,418
DeepFool,24431,True,0.0,488
DeepFool,14059,False,0.0,281
DeepFool,33496,True,0.0,669
DeepFool,15964,False,0.0,319
DeepFool,47570,True,0.0,951
DeepFool,29773,False,0.24709291756153107,595
DeepFool,21642,False,0.0,432
DeepFool,16284,False,0.7416764497756958,325
DeepFool,27189,True,0.0,543
DeepFool,49987,False,0.3524320721626282,999
DeepFool,22511,False,0.0,450
DeepFool,28139,False,0.007596001960337162,562
DeepFool,31369,False,0.0,627
DeepFool,3906,False,0.24308784306049347,78
DeepFool,2192,False,0.4545653164386749,43
DeepFool,48314,False,0.0,966
DeepFool,45164,False,0.04532991349697113,903
DeepFool,21809,False,0.0,436
DeepFool,13962,False,0.2264619767665863,279
DeepFool,34443,False,0.0,688
DeepFool,4011,False,0.0,80
DeepFool,7333,False,0.0,146
DeepFool,49302,False,0.0,986
DeepFool,6885,True,0.0,137
DeepFool,15069,False,0.0,301
DeepFool,46986,False,0.0,939
DeepFool,41406,False,0.5168457627296448,828
DeepFool,11000,False,0.0,220
DeepFool,37656,True,0.0,753
DeepFool,26208,False,0.0,524
DeepFool,9706,True,0.0,194
DeepFool,45263,True,0.0,905
DeepFool,3603,False,0.0,72
DeepFool,3654,False,0.0,73
DeepFool,44661,False,0.0,893
DeepFool,27254,False,0.018494609743356705,545
DeepFool,9615,False,0.31411638855934143,192
DeepFool,25599,False,0.0,511
DeepFool,47153,False,0.0,943
DeepFool,30837,False,0.0,616
DeepFool,46063,True,0.18405543267726898,921
DeepFool,41403,False,0.11990075558423996,828
DeepFool,7809,False,0.3032400608062744,156
DeepFool,47634,True,0.0,952
DeepFool,26125,False,0.0,522
DeepFool,35288,True,0.0,705
DeepFool,38587,False,0.04209400340914726,771
DeepFool,41470,False,0.24655666947364807,829
DeepFool,39989,True,0.0903952345252037,799
DeepFool,42106,True,0.0,842
DeepFool,40708,False,0.10617375373840332,814
DeepFool,31268,False,0.0,625
PGD,7048,fail,8.047417640686035,
PGD,30299,True,0.0,605
PGD,36986,fail,8.968036651611328,605
PGD,18212,fail,8.405303001403809,605
PGD,5909,fail,8.644400596618652,605
PGD,42395,fail,8.093755722045898,605
PGD,5343,True,0.0,106
PGD,21071,True,0.0,421
PGD,24538,fail,8.756175994873047,421
PGD,13170,fail,8.274250984191895,421
PGD,22452,fail,8.654093742370605,421
PGD,14090,True,0.0,281
PGD,10226,True,0.0,204
PGD,16209,fail,8.898882865905762,204
PGD,46618,True,0.0,932
PGD,14037,fail,8.594491958618164,932
PGD,11031,fail,8.312018394470215,932
PGD,16426,fail,8.573251724243164,932
PGD,31724,True,0.0,634
PGD,8110,fail,8.238882064819336,634
PGD,43139,fail,8.628960609436035,634
PGD,9493,fail,8.052146911621094,634
PGD,27422,fail,8.569204330444336,634
PGD,29025,fail,8.799778938293457,634
PGD,43743,fail,8.677608489990234,634
PGD,49511,fail,7.726027965545654,634
PGD,34107,fail,8.437649726867676,634
PGD,33305,fail,8.541622161865234,634
PGD,48828,fail,8.341833114624023,634
PGD,2924,fail,7.955117225646973,634
PGD,28008,fail,8.625073432922363,634
PGD,28114,fail,8.499204635620117,634
PGD,8119,fail,8.296366691589355,634
PGD,33152,True,0.0,663
PGD,40730,fail,8.715614318847656,663
PGD,2159,fail,8.384188652038574,663
PGD,32546,True,0.0,650
PGD,4808,fail,8.117213249206543,650
PGD,27998,fail,8.560809135437012,650
PGD,17272,True,0.0,345
PGD,40825,fail,8.21992301940918,345
PGD,2761,True,0.0,55
PGD,2563,True,0.0,51
PGD,35947,fail,8.250158309936523,51
PGD,37278,True,0.0,745
PGD,43848,fail,8.291252136230469,745
PGD,3248,True,0.0,64
PGD,20921,True,0.0,418
PGD,24431,True,0.0,488
PGD,14059,fail,8.287274360656738,488
PGD,33496,True,0.0,669
PGD,15964,fail,8.481658935546875,669
PGD,47570,True,0.0,951
PGD,29773,fail,8.599671363830566,951
PGD,21642,fail,8.208952903747559,951
PGD,16284,fail,8.472640037536621,951
PGD,27189,True,0.0,543
PGD,49987,fail,7.930996894836426,543
PGD,22511,fail,8.511898040771484,543
PGD,28139,fail,7.980287075042725,543
PGD,31369,fail,8.478616714477539,543
PGD,3906,fail,8.03651237487793,543
PGD,2192,fail,8.369126319885254,543
PGD,48314,fail,8.531279563903809,543
PGD,45164,fail,8.034249305725098,543
PGD,21809,fail,8.623454093933105,543
PGD,13962,fail,8.054262161254883,543
PGD,34443,fail,8.604901313781738,543
PGD,4011,fail,8.070089340209961,543
PGD,7333,fail,8.703253746032715,543
PGD,49302,fail,8.517646789550781,543
PGD,6885,True,0.0,137
PGD,15069,fail,8.216190338134766,137
PGD,46986,fail,8.53135871887207,137
PGD,41406,fail,8.59821891784668,137
PGD,11000,fail,8.4252290725708,137
PGD,37656,True,0.0,753
PGD,26208,fail,8.477190017700195,753
PGD,9706,True,0.0,194
PGD,45263,True,0.0,905
PGD,3603,fail,8.384472846984863,905
PGD,3654,fail,8.155756950378418,905
PGD,44661,fail,8.482805252075195,905
PGD,27254,fail,8.744263648986816,905
PGD,9615,fail,8.458818435668945,905
PGD,25599,fail,8.344002723693848,905
PGD,47153,fail,8.079093933105469,905
PGD,30837,fail,8.449299812316895,905
PGD,46063,fail,8.646900177001953,905
PGD,41403,fail,8.803248405456543,905
PGD,7809,fail,8.375720977783203,905
PGD,47634,True,0.0,952
PGD,26125,fail,8.505380630493164,952
PGD,35288,True,0.0,705
PGD,38587,fail,8.539982795715332,705
PGD,41470,fail,8.41585636138916,705
PGD,39989,fail,8.636862754821777,705
PGD,42106,True,0.0,842
PGD,40708,fail,8.828062057495117,842
PGD,31268,fail,8.43313217163086,842
OnePixel,7048,False,1.1436485052108765,140
OnePixel,30299,True,0.0,605
