Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,7048,False,0.0362711027264595,140
DeepFool,30299,True,0.0,605
DeepFool,36986,False,0.4435349106788635,739
DeepFool,18212,False,0.0,364
DeepFool,5909,False,0.0,118
DeepFool,42395,False,0.0,847
DeepFool,5343,False,0.0,106
DeepFool,21071,True,0.0,421
DeepFool,24538,False,0.3660067915916443,490
DeepFool,13170,False,0.0,263
DeepFool,22452,True,0.0,449
DeepFool,14090,False,0.0,281
DeepFool,10226,False,0.1652347296476364,204
DeepFool,16209,False,0.0,324
DeepFool,46618,True,0.0,932
DeepFool,14037,True,0.0,280
DeepFool,11031,False,0.0,220
DeepFool,16426,False,0.36441779136657715,328
DeepFool,31724,True,0.0,634
DeepFool,8110,True,0.41687843203544617,162
DeepFool,43139,True,0.0,862
DeepFool,9493,False,0.04479853808879852,189
DeepFool,27422,False,0.5867584943771362,548
DeepFool,29025,True,0.0,580
DeepFool,43743,False,0.4947097599506378,874
DeepFool,49511,False,0.0,990
DeepFool,34107,False,0.3867291808128357,682
DeepFool,33305,False,0.44568878412246704,666
DeepFool,48828,False,0.05875309556722641,976
DeepFool,2924,False,0.05192287266254425,58
DeepFool,28008,False,0.0,560
DeepFool,28114,False,0.7529267072677612,562
DeepFool,8119,False,0.0,162
DeepFool,33152,True,0.0,663
DeepFool,40730,False,0.3415004014968872,814
DeepFool,2159,False,0.0,43
DeepFool,32546,False,0.0,650
DeepFool,4808,False,0.02105536498129368,96
DeepFool,27998,True,0.0,559
DeepFool,17272,True,0.0,345
DeepFool,40825,False,0.07611414045095444,816
DeepFool,2761,True,0.0,55
DeepFool,2563,True,0.0,51
DeepFool,35947,False,0.04199820011854172,718
DeepFool,37278,True,0.0,745
DeepFool,43848,False,0.0,876
DeepFool,3248,True,0.0,64
DeepFool,20921,True,0.0,418
DeepFool,24431,True,0.0,488
DeepFool,14059,True,0.0,281
DeepFool,33496,False,0.0,669
DeepFool,15964,False,0.0,319
DeepFool,47570,False,0.013021278195083141,951
DeepFool,29773,False,0.35294967889785767,595
DeepFool,21642,False,0.0,432
DeepFool,16284,False,0.9476996064186096,325
DeepFool,27189,True,0.0,543
DeepFool,49987,False,0.22540290653705597,999
DeepFool,22511,False,0.431456059217453,450
DeepFool,28139,False,0.0,562
DeepFool,31369,False,0.31168726086616516,627
DeepFool,3906,False,0.5407358407974243,78
DeepFool,2192,False,0.32546234130859375,43
DeepFool,48314,False,0.0,966
DeepFool,45164,False,0.0,903
DeepFool,21809,False,0.13774864375591278,436
DeepFool,13962,False,0.20391298830509186,279
DeepFool,34443,False,0.07640787959098816,688
DeepFool,4011,False,0.0,80
DeepFool,7333,False,0.0,146
DeepFool,49302,False,0.3504638671875,986
DeepFool,6885,True,0.0,137
DeepFool,15069,False,0.0,301
DeepFool,46986,False,0.0,939
DeepFool,41406,True,0.8057345151901245,828
DeepFool,11000,False,0.0,220
DeepFool,37656,True,0.0,753
DeepFool,26208,True,0.0,524
DeepFool,9706,True,0.0,194
DeepFool,45263,True,0.0,905
DeepFool,3603,False,0.0,72
DeepFool,3654,False,0.12569552659988403,73
DeepFool,44661,False,0.5682036876678467,893
DeepFool,27254,False,0.7649129033088684,545
DeepFool,9615,False,0.523964524269104,192
DeepFool,25599,False,0.2589223086833954,511
DeepFool,47153,False,0.04613402485847473,943
DeepFool,30837,False,0.0,616
DeepFool,46063,False,0.4232676029205322,921
DeepFool,41403,False,0.534128725528717,828
DeepFool,7809,False,0.8019267916679382,156
DeepFool,47634,False,0.0,952
DeepFool,26125,False,0.0,522
DeepFool,35288,True,0.0,705
DeepFool,38587,False,0.0,771
DeepFool,41470,False,0.3953832983970642,829
DeepFool,39989,False,0.2665116786956787,799
DeepFool,42106,False,0.03658675029873848,842
DeepFool,40708,True,0.16952376067638397,814
DeepFool,31268,False,0.0,625
PGD,7048,fail,7.920478820800781,
PGD,30299,True,0.0,605
PGD,36986,fail,9.001580238342285,605
PGD,18212,fail,8.274341583251953,605
PGD,5909,fail,8.648035049438477,605
PGD,42395,fail,8.218768119812012,605
PGD,5343,fail,7.707522869110107,605
PGD,21071,True,0.0,421
PGD,24538,fail,8.689531326293945,421
PGD,13170,fail,8.243818283081055,421
PGD,22452,True,0.0,449
PGD,14090,fail,8.667974472045898,449
PGD,10226,fail,8.510024070739746,449
PGD,16209,fail,8.620190620422363,449
PGD,46618,True,0.0,932
PGD,14037,True,0.0,280
PGD,11031,fail,8.431224822998047,280
PGD,16426,fail,8.66696548461914,280
PGD,31724,True,0.0,634
PGD,8110,fail,8.304098129272461,634
PGD,43139,True,0.0,862
