Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,31502,False,0.0,630
DeepFool,35000,True,0.0,700
DeepFool,33014,False,3.953282356262207,660
DeepFool,18048,True,0.0,360
DeepFool,10675,False,0.0,213
DeepFool,26020,True,0.0,520
DeepFool,46082,True,0.0,921
DeepFool,34638,False,0.0,692
DeepFool,29785,True,3.8419668674468994,595
DeepFool,31826,False,0.0,636
DeepFool,21816,False,0.0,436
DeepFool,18778,True,0.0,375
DeepFool,34990,False,0.0,699
DeepFool,47602,True,0.0,952
DeepFool,8167,True,0.0,163
DeepFool,3570,True,0.0,71
DeepFool,15664,False,0.6353621482849121,313
DeepFool,970,False,0.0,19
DeepFool,46751,True,4.97987699508667,935
DeepFool,37438,False,0.0,748
DeepFool,21503,False,0.0,430
DeepFool,13152,True,0.0,263
DeepFool,40603,True,0.964311420917511,812
DeepFool,34749,False,2.724663257598877,694
DeepFool,46520,False,1.1562831401824951,930
DeepFool,42340,True,0.0,846
DeepFool,22878,True,6.076799392700195,457
DeepFool,42636,True,0.0,852
DeepFool,12439,True,0.0,248
DeepFool,37834,False,0.0,756
DeepFool,12766,False,0.9485890865325928,255
DeepFool,14162,True,5.733195781707764,283
DeepFool,13665,True,1.9535248279571533,273
DeepFool,23218,False,0.0,464
DeepFool,31068,True,0.0,621
DeepFool,21353,True,0.0,427
DeepFool,18466,True,0.0,369
DeepFool,26113,True,1.64696204662323,522
DeepFool,20780,True,0.0,415
DeepFool,36482,True,0.0,729
DeepFool,47057,True,0.0,941
DeepFool,35555,False,0.0,711
DeepFool,6405,True,3.3673038482666016,128
DeepFool,11109,False,0.0,222
DeepFool,18331,True,0.0,366
DeepFool,10143,False,0.12286151200532913,202
DeepFool,30860,True,0.0,617
DeepFool,5805,False,0.0,116
DeepFool,14611,False,0.0,292
DeepFool,2091,True,0.0,41
DeepFool,13075,False,0.0,261
DeepFool,13505,True,0.0,270
DeepFool,30698,True,5.573431491851807,613
DeepFool,35147,True,0.0,702
DeepFool,91,False,0.0,1
DeepFool,3993,True,2.6993961334228516,79
DeepFool,29922,True,0.0,598
DeepFool,9254,True,0.0,185
DeepFool,35870,False,0.0,717
DeepFool,2636,False,0.0,52
DeepFool,30933,True,0.0,618
DeepFool,40490,True,0.0,809
DeepFool,25040,True,2.8302104473114014,500
DeepFool,41730,True,0.0,834
DeepFool,38492,True,0.0,769
DeepFool,26932,True,0.0,538
DeepFool,5947,True,0.0,118
DeepFool,49504,False,0.21691922843456268,990
DeepFool,30471,True,4.943592548370361,609
DeepFool,29886,True,0.9456886053085327,597
DeepFool,43973,True,0.0,879
DeepFool,11248,True,0.0,224
DeepFool,41845,True,0.0,836
DeepFool,7337,False,5.25856876373291,146
DeepFool,7156,True,0.0,143
DeepFool,38641,True,0.0,772
DeepFool,49287,False,5.457718849182129,985
DeepFool,24729,False,0.0,494
DeepFool,9772,True,0.0,195
DeepFool,1991,False,0.0,39
DeepFool,3406,False,0.0,68
DeepFool,42341,True,0.0,846
DeepFool,885,True,1.9341416358947754,17
DeepFool,2223,False,0.0,44
DeepFool,25094,True,0.0,501
DeepFool,27807,True,0.0,556
DeepFool,17976,True,0.0,359
DeepFool,49943,False,0.0,998
DeepFool,42010,False,0.0,840
DeepFool,31153,True,0.0,623
DeepFool,819,True,1.5688233375549316,16
DeepFool,36871,True,0.0,737
DeepFool,15923,True,3.0034677982330322,318
DeepFool,34551,True,0.0,691
DeepFool,21678,True,2.325700044631958,433
DeepFool,26085,False,0.0,521
DeepFool,49211,False,0.0,984
DeepFool,12664,True,2.1143453121185303,253
DeepFool,34350,False,3.811615228652954,687
DeepFool,19658,False,0.0,393
PGD,31502,True,6.349056243896484,630
PGD,35000,True,0.0,700
PGD,33014,True,6.2823896408081055,660
PGD,18048,True,0.0,360
PGD,10675,True,5.845085620880127,213
PGD,26020,True,0.0,520
PGD,46082,True,0.0,921
PGD,34638,True,5.845644474029541,692
PGD,29785,True,6.283201217651367,595
PGD,31826,True,5.904382705688477,636
PGD,21816,True,5.911723613739014,436
PGD,18778,True,0.0,375
PGD,34990,True,6.4778876304626465,699
PGD,47602,True,0.0,952
PGD,8167,True,0.0,163
PGD,3570,True,0.0,71
PGD,15664,True,5.886407852172852,313
PGD,970,True,6.575069427490234,19
PGD,46751,True,5.7823615074157715,935
PGD,37438,True,5.631862640380859,748
PGD,21503,True,7.5278496742248535,430
PGD,13152,True,0.0,263
PGD,40603,True,4.6980366706848145,812
PGD,34749,True,7.964196681976318,694
PGD,46520,True,6.6849894523620605,930
PGD,42340,True,0.0,846
PGD,22878,True,5.1710734367370605,457
PGD,42636,True,0.0,852
PGD,12439,True,0.0,248
PGD,37834,True,7.556561470031738,756
PGD,12766,True,6.801874160766602,255
PGD,14162,True,5.719125747680664,283
PGD,13665,True,5.051733016967773,273
PGD,23218,True,5.90297269821167,464
PGD,31068,True,0.0,621
PGD,21353,True,0.0,427
PGD,18466,True,0.0,369
PGD,26113,True,6.733076572418213,522
PGD,20780,True,0.0,415
PGD,36482,True,0.0,729
PGD,47057,True,0.0,941
PGD,35555,True,6.259766101837158,711
PGD,6405,True,7.021862506866455,128
PGD,11109,True,5.214518070220947,222
PGD,18331,True,0.0,366
PGD,10143,True,5.414626598358154,202
PGD,30860,True,0.0,617
PGD,5805,True,7.565907001495361,116
PGD,14611,True,6.614306926727295,292
PGD,2091,True,0.0,41
PGD,13075,True,5.866870403289795,261
PGD,13505,True,0.0,270
PGD,30698,True,7.449166297912598,613
PGD,35147,True,0.0,702
PGD,91,True,5.255651950836182,1
PGD,3993,True,5.446199893951416,79
PGD,29922,True,0.0,598
PGD,9254,True,0.0,185
PGD,35870,True,6.440308094024658,717
PGD,2636,True,5.570535182952881,52
PGD,30933,True,0.0,618
PGD,40490,True,0.0,809
PGD,25040,True,5.86237096786499,500
PGD,41730,True,0.0,834
