Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,31502,True,0.0,630
DeepFool,35000,False,0.0,700
DeepFool,33014,False,3.6493701934814453,660
DeepFool,18048,True,0.0,360
DeepFool,10675,False,0.0,213
DeepFool,26020,True,0.0,520
DeepFool,46082,True,0.0,921
DeepFool,34638,False,0.0,692
DeepFool,29785,False,2.929136276245117,595
DeepFool,31826,True,1.799054503440857,636
DeepFool,21816,False,0.0,436
DeepFool,18778,True,0.0,375
DeepFool,34990,True,0.0,699
DeepFool,47602,True,0.0,952
DeepFool,8167,True,0.0,163
DeepFool,3570,True,0.0,71
DeepFool,15664,False,0.0,313
DeepFool,970,True,0.0,19
DeepFool,46751,True,7.323019504547119,935
DeepFool,37438,True,1.5141079425811768,748
DeepFool,21503,False,0.0,430
DeepFool,13152,False,0.0,263
DeepFool,40603,False,0.0,812
DeepFool,34749,False,1.5621956586837769,694
DeepFool,46520,False,0.0,930
DeepFool,42340,True,0.0,846
DeepFool,22878,False,3.3083243370056152,457
DeepFool,42636,True,0.0,852
DeepFool,12439,True,0.0,248
DeepFool,37834,True,0.0,756
DeepFool,12766,False,0.0,255
DeepFool,14162,True,3.9383692741394043,283
DeepFool,13665,False,0.3000718355178833,273
DeepFool,23218,False,0.0,464
DeepFool,31068,True,0.0,621
DeepFool,21353,True,0.0,427
DeepFool,18466,False,0.0,369
DeepFool,26113,True,0.0,522
DeepFool,20780,True,0.0,415
DeepFool,36482,True,0.7493240237236023,729
DeepFool,47057,True,0.0,941
DeepFool,35555,True,0.0,711
DeepFool,6405,True,3.446300745010376,128
DeepFool,11109,False,0.0,222
DeepFool,18331,True,0.0,366
DeepFool,10143,True,0.0,202
DeepFool,30860,True,0.0,617
DeepFool,5805,False,0.0,116
DeepFool,14611,False,0.0,292
DeepFool,2091,True,0.0,41
DeepFool,13075,False,0.0,261
DeepFool,13505,True,4.3640265464782715,270
DeepFool,30698,True,2.108832597732544,613
DeepFool,35147,True,0.0,702
DeepFool,91,False,0.0,1
DeepFool,3993,True,2.7919976711273193,79
DeepFool,29922,True,0.0,598
DeepFool,9254,True,0.0,185
DeepFool,35870,True,0.0,717
DeepFool,2636,True,0.0,52
DeepFool,30933,True,0.0,618
DeepFool,40490,True,0.0,809
DeepFool,25040,False,0.5547144412994385,500
DeepFool,41730,True,0.0,834
DeepFool,38492,True,0.0,769
DeepFool,26932,True,0.0,538
DeepFool,5947,True,0.0,118
DeepFool,49504,False,0.0,990
DeepFool,30471,True,3.444681406021118,609
DeepFool,29886,False,0.0,597
DeepFool,43973,True,0.0,879
DeepFool,11248,True,0.0,224
DeepFool,41845,True,0.0,836
DeepFool,7337,False,2.3095076084136963,146
DeepFool,7156,True,0.0,143
DeepFool,38641,True,0.0,772
DeepFool,49287,fail,9.658763885498047,772
DeepFool,24729,False,0.0,494
DeepFool,9772,True,0.0,195
DeepFool,1991,True,0.0,39
DeepFool,3406,False,0.0,68
DeepFool,42341,True,0.0,846
DeepFool,885,False,0.0,17
DeepFool,2223,False,0.0,44
DeepFool,25094,True,0.0,501
DeepFool,27807,False,0.0,556
DeepFool,17976,True,0.0,359
DeepFool,49943,False,0.0,998
DeepFool,42010,False,0.0,840
DeepFool,31153,True,0.0,623
DeepFool,819,False,0.0,16
DeepFool,36871,True,0.0,737
DeepFool,15923,True,2.677304267883301,318
DeepFool,34551,True,0.0,691
DeepFool,21678,True,3.8610188961029053,433
DeepFool,26085,False,0.0,521
DeepFool,49211,False,0.0,984
DeepFool,12664,False,0.712887167930603,253
DeepFool,34350,False,0.0,687
DeepFool,19658,False,0.0,393
PGD,31502,True,0.0,630
PGD,35000,True,6.556131362915039,700
PGD,33014,True,7.205042839050293,660
PGD,18048,True,0.0,360
PGD,10675,True,6.789196014404297,213
PGD,26020,True,0.0,520
PGD,46082,True,0.0,921
PGD,34638,True,6.678042411804199,692
PGD,29785,True,7.120812892913818,595
PGD,31826,True,7.084256649017334,636
PGD,21816,True,6.814796447753906,436
PGD,18778,True,0.0,375
PGD,34990,True,0.0,699
PGD,47602,True,0.0,952
PGD,8167,True,0.0,163
PGD,3570,True,0.0,71
PGD,15664,True,6.73873233795166,313
PGD,970,True,0.0,19
PGD,46751,True,6.617157459259033,935
PGD,37438,True,6.65813684463501,748
PGD,21503,True,7.893638610839844,430
PGD,13152,True,6.431805610656738,263
PGD,40603,True,5.550533294677734,812
PGD,34749,fail,8.182280540466309,812
PGD,46520,True,7.010321140289307,930
PGD,42340,True,0.0,846
PGD,22878,True,6.147335529327393,457
PGD,42636,True,0.0,852
PGD,12439,True,0.0,248
PGD,37834,True,0.0,756
PGD,12766,True,7.189138412475586,255
PGD,14162,True,6.438148498535156,283
PGD,13665,True,5.809966087341309,273
PGD,23218,True,6.999475479125977,464
PGD,31068,True,0.0,621
PGD,21353,True,0.0,427
PGD,18466,True,7.871862411499023,369
PGD,26113,True,0.0,522
PGD,20780,True,0.0,415
PGD,36482,True,6.844077110290527,729
PGD,47057,True,0.0,941
PGD,35555,True,0.0,711
PGD,6405,fail,8.054079055786133,711
PGD,11109,True,6.3928022384643555,222
PGD,18331,True,0.0,366
PGD,10143,True,0.0,202
PGD,30860,True,0.0,617
PGD,5805,fail,8.416007995605469,617
PGD,14611,True,7.461678981781006,292
PGD,2091,True,0.0,41
PGD,13075,True,6.453001976013184,261
PGD,13505,True,6.485492706298828,270
PGD,30698,fail,8.226758003234863,270
PGD,35147,True,0.0,702
PGD,91,True,6.385900974273682,1
PGD,3993,True,6.062614440917969,79
PGD,29922,True,0.0,598
PGD,9254,True,0.0,185
PGD,35870,True,0.0,717
PGD,2636,True,0.0,52
PGD,30933,True,0.0,618
PGD,40490,True,0.0,809
PGD,25040,True,6.839112758636475,500
PGD,41730,True,0.0,834
PGD,38492,True,0.0,769
PGD,26932,True,0.0,538
PGD,5947,True,0.0,118
PGD,49504,True,7.730225086212158,990
PGD,30471,True,7.7595744132995605,609
PGD,29886,True,6.450221538543701,597
PGD,43973,True,0.0,879
PGD,11248,True,0.0,224
PGD,41845,True,0.0,836
PGD,7337,True,7.08866024017334,146
PGD,7156,True,0.0,143
PGD,38641,True,0.0,772
PGD,49287,True,7.953906536102295,985
PGD,24729,True,7.473389625549316,494
PGD,9772,True,0.0,195
PGD,1991,True,0.0,39
PGD,3406,True,7.199063301086426,68
PGD,42341,True,0.0,846
PGD,885,True,6.663397312164307,17
PGD,2223,True,6.162571907043457,44
PGD,25094,True,0.0,501
PGD,27807,True,6.713757514953613,556
PGD,17976,True,0.0,359
PGD,49943,True,6.099530220031738,998
PGD,42010,True,6.97111177444458,840
PGD,31153,True,0.0,623
PGD,819,True,7.338716983795166,16
PGD,36871,True,0.0,737
PGD,15923,True,5.854526519775391,318
PGD,34551,True,0.0,691
PGD,21678,True,7.211422443389893,433
PGD,26085,True,7.293463706970215,521
PGD,49211,True,6.872695446014404,984
