Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,31502,True,0.0,630
DeepFool,35000,False,0.0,700
DeepFool,33014,False,0.0,660
DeepFool,18048,True,0.0,360
DeepFool,10675,False,0.0,213
DeepFool,26020,True,0.0,520
DeepFool,46082,False,0.0,921
DeepFool,34638,True,0.0,692
DeepFool,29785,False,0.0,595
DeepFool,31826,False,0.0,636
DeepFool,21816,False,0.0,436
DeepFool,18778,True,0.0,375
DeepFool,34990,True,0.0,699
DeepFool,47602,True,0.0,952
DeepFool,8167,True,0.0,163
DeepFool,3570,True,0.0,71
DeepFool,15664,False,0.0,313
DeepFool,970,True,0.0,19
DeepFool,46751,False,0.0,935
DeepFool,37438,False,0.0,748
DeepFool,21503,False,0.0,430
DeepFool,13152,True,0.0,263
DeepFool,40603,False,0.0,812
DeepFool,34749,False,0.0,694
DeepFool,46520,False,0.0,930
DeepFool,42340,True,0.0,846
DeepFool,22878,False,0.0,457
DeepFool,42636,True,0.0,852
DeepFool,12439,True,0.0,248
DeepFool,37834,False,0.0,756
DeepFool,12766,False,0.0,255
DeepFool,14162,False,0.0,283
DeepFool,13665,False,0.0,273
DeepFool,23218,True,0.0,464
DeepFool,31068,True,0.0,621
DeepFool,21353,False,0.0,427
DeepFool,18466,False,0.0,369
DeepFool,26113,False,0.0,522
DeepFool,20780,True,0.0,415
DeepFool,36482,False,0.0,729
DeepFool,47057,True,0.0,941
DeepFool,35555,False,0.0,711
DeepFool,6405,False,0.0,128
DeepFool,11109,True,0.0,222
DeepFool,18331,True,0.0,366
DeepFool,10143,False,0.0,202
DeepFool,30860,True,0.0,617
DeepFool,5805,False,0.0,116
DeepFool,14611,False,0.0,292
DeepFool,2091,True,0.0,41
DeepFool,13075,True,0.0,261
DeepFool,13505,True,0.0,270
DeepFool,30698,False,0.0,613
DeepFool,35147,True,0.0,702
DeepFool,91,True,0.0,1
DeepFool,3993,False,0.0,79
DeepFool,29922,True,0.0,598
DeepFool,9254,True,0.0,185
DeepFool,35870,True,0.0,717
DeepFool,2636,True,0.0,52
DeepFool,30933,True,0.0,618
DeepFool,40490,True,0.0,809
DeepFool,25040,False,0.0,500
DeepFool,41730,True,0.0,834
DeepFool,38492,True,0.0,769
DeepFool,26932,True,0.0,538
DeepFool,5947,True,0.0,118
DeepFool,49504,False,0.0,990
DeepFool,30471,False,0.0,609
DeepFool,29886,False,0.0,597
DeepFool,43973,True,0.0,879
DeepFool,11248,True,0.0,224
DeepFool,41845,True,0.0,836
DeepFool,7337,False,0.0,146
DeepFool,7156,True,0.0,143
DeepFool,38641,True,0.0,772
DeepFool,49287,False,0.0,985
DeepFool,24729,True,0.0,494
DeepFool,9772,True,0.0,195
DeepFool,1991,True,0.0,39
DeepFool,3406,False,0.0,68
DeepFool,42341,True,0.0,846
DeepFool,885,False,0.0,17
DeepFool,2223,False,0.0,44
DeepFool,25094,True,0.0,501
DeepFool,27807,False,0.0,556
DeepFool,17976,True,0.0,359
DeepFool,49943,True,0.0,998
DeepFool,42010,False,0.0,840
DeepFool,31153,True,0.0,623
DeepFool,819,False,0.0,16
DeepFool,36871,True,0.0,737
DeepFool,15923,True,0.0,318
DeepFool,34551,True,0.0,691
DeepFool,21678,False,0.0,433
DeepFool,26085,False,0.0,521
DeepFool,49211,False,0.0,984
DeepFool,12664,False,0.0,253
DeepFool,34350,False,0.0,687
DeepFool,19658,False,0.0,393
PGD,31502,True,0.0,630
PGD,35000,True,6.8929443359375,700
PGD,33014,False,7.209071636199951,660
PGD,18048,True,0.0,360
PGD,10675,True,7.164554595947266,213
PGD,26020,True,0.0,520
PGD,46082,True,7.187574863433838,921
PGD,34638,True,0.0,692
PGD,29785,False,6.6810479164123535,595
PGD,31826,True,7.199355125427246,636
PGD,21816,True,7.310068607330322,436
PGD,18778,True,0.0,375
PGD,34990,True,0.0,699
PGD,47602,True,0.0,952
PGD,8167,True,0.0,163
PGD,3570,True,0.0,71
PGD,15664,True,6.0797576904296875,313
PGD,970,True,0.0,19
PGD,46751,True,6.280228614807129,935
PGD,37438,False,6.028940200805664,748
PGD,21503,fail,8.739002227783203,748
PGD,13152,True,0.0,263
PGD,40603,True,6.15106201171875,812
PGD,34749,fail,9.523710250854492,812
PGD,46520,False,6.7540411949157715,930
PGD,42340,True,0.0,846
PGD,22878,False,5.298152923583984,457
PGD,42636,True,0.0,852
PGD,12439,True,0.0,248
PGD,37834,fail,8.271933555603027,248
PGD,12766,fail,8.6761474609375,248
PGD,14162,False,6.084234714508057,283
PGD,13665,True,6.384524345397949,273
PGD,23218,True,0.0,464
PGD,31068,True,0.0,621
PGD,21353,False,6.514214992523193,427
PGD,18466,fail,8.051557540893555,427
PGD,26113,False,7.797001361846924,522
PGD,20780,True,0.0,415
PGD,36482,False,6.023476600646973,729
PGD,47057,True,0.0,941
PGD,35555,True,7.185999870300293,711
PGD,6405,fail,8.472274780273438,711
PGD,11109,True,0.0,222
PGD,18331,True,0.0,366
PGD,10143,True,6.551823139190674,202
PGD,30860,True,0.0,617
PGD,5805,fail,9.193267822265625,617
PGD,14611,True,7.31207799911499,292
PGD,2091,True,0.0,41
PGD,13075,True,0.0,261
PGD,13505,True,0.0,270
PGD,30698,False,7.745796203613281,613
PGD,35147,True,0.0,702
PGD,91,True,0.0,1
PGD,3993,False,4.790865898132324,79
PGD,29922,True,0.0,598
PGD,9254,True,0.0,185
PGD,35870,True,0.0,717
PGD,2636,True,0.0,52
PGD,30933,True,0.0,618
PGD,40490,True,0.0,809
PGD,25040,False,6.00066614151001,500
PGD,41730,True,0.0,834
PGD,38492,True,0.0,769
PGD,26932,True,0.0,538
PGD,5947,True,0.0,118
PGD,49504,False,7.9376630783081055,990
PGD,30471,True,7.44551420211792,609
PGD,29886,True,7.216133117675781,597
PGD,43973,True,0.0,879
PGD,11248,True,0.0,224
PGD,41845,True,0.0,836
PGD,7337,False,6.088693618774414,146
PGD,7156,True,0.0,143
PGD,38641,True,0.0,772
PGD,49287,False,7.285884380340576,985
PGD,24729,True,0.0,494
PGD,9772,True,0.0,195
PGD,1991,True,0.0,39
PGD,3406,False,6.20529317855835,68
PGD,42341,True,0.0,846
PGD,885,False,6.551983833312988,17
PGD,2223,False,5.418965816497803,44
PGD,25094,True,0.0,501
PGD,27807,False,5.496514797210693,556
PGD,17976,True,0.0,359
PGD,49943,True,0.0,998
PGD,42010,True,6.737067699432373,840
PGD,31153,True,0.0,623
PGD,819,True,7.370146751403809,16
PGD,36871,True,0.0,737
PGD,15923,True,0.0,318
PGD,34551,True,0.0,691
PGD,21678,False,7.79035758972168,433
PGD,26085,True,5.2403693199157715,521
PGD,49211,False,5.7235188484191895,984
PGD,12664,False,6.723572731018066,253
PGD,34350,fail,8.597299575805664,253
PGD,19658,fail,8.904999732971191,253
OnePixel,31502,True,0.0,630
OnePixel,35000,True,4.845755577087402,700
