Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,31502,True,0.0,630
DeepFool,35000,False,0.0,700
DeepFool,33014,False,0.0,660
DeepFool,18048,True,0.0,360
DeepFool,10675,True,0.0,213
DeepFool,26020,True,0.0,520
DeepFool,46082,True,6.404221534729004,921
DeepFool,34638,True,0.0,692
DeepFool,29785,True,2.7102863788604736,595
DeepFool,31826,True,0.0,636
DeepFool,21816,True,0.0,436
DeepFool,18778,True,0.0,375
DeepFool,34990,True,0.0,699
DeepFool,47602,True,0.0,952
DeepFool,8167,True,0.0,163
DeepFool,3570,True,0.0,71
DeepFool,15664,False,0.0,313
DeepFool,970,True,0.0,19
DeepFool,46751,True,3.114462375640869,935
DeepFool,37438,False,0.0,748
DeepFool,21503,False,0.0,430
DeepFool,13152,True,0.0,263
DeepFool,40603,False,0.0,812
DeepFool,34749,False,0.0,694
DeepFool,46520,False,0.0,930
DeepFool,42340,True,0.0,846
DeepFool,22878,False,0.0,457
DeepFool,42636,True,0.0,852
DeepFool,12439,True,0.0,248
DeepFool,37834,False,0.0,756
DeepFool,12766,False,0.0,255
DeepFool,14162,True,2.234238386154175,283
DeepFool,13665,False,0.0,273
DeepFool,23218,False,0.0,464
DeepFool,31068,True,0.0,621
DeepFool,21353,False,0.0,427
DeepFool,18466,True,0.0,369
DeepFool,26113,True,0.0,522
DeepFool,20780,True,0.0,415
DeepFool,36482,True,0.0,729
DeepFool,47057,True,0.0,941
DeepFool,35555,False,0.0,711
DeepFool,6405,False,0.0,128
DeepFool,11109,True,0.0,222
DeepFool,18331,True,0.0,366
DeepFool,10143,False,0.0,202
DeepFool,30860,True,0.0,617
DeepFool,5805,False,0.0,116
DeepFool,14611,False,0.0,292
DeepFool,2091,True,0.0,41
DeepFool,13075,False,0.0,261
DeepFool,13505,True,0.0,270
DeepFool,30698,False,0.0,613
DeepFool,35147,True,0.0,702
DeepFool,91,False,0.0,1
DeepFool,3993,False,0.0,79
DeepFool,29922,True,0.0,598
DeepFool,9254,True,0.0,185
DeepFool,35870,True,0.0,717
DeepFool,2636,True,0.0,52
DeepFool,30933,True,0.0,618
DeepFool,40490,True,0.0,809
DeepFool,25040,False,0.0,500
DeepFool,41730,True,0.0,834
DeepFool,38492,True,0.0,769
DeepFool,26932,True,0.0,538
DeepFool,5947,True,0.0,118
DeepFool,49504,False,0.0,990
DeepFool,30471,False,0.0,609
DeepFool,29886,False,0.0,597
DeepFool,43973,True,0.0,879
DeepFool,11248,True,0.0,224
DeepFool,41845,True,0.0,836
DeepFool,7337,False,0.0,146
DeepFool,7156,True,0.0,143
DeepFool,38641,True,0.0,772
DeepFool,49287,fail,12.172530174255371,772
DeepFool,24729,True,0.0,494
DeepFool,9772,True,0.0,195
DeepFool,1991,False,0.0,39
DeepFool,3406,False,0.0,68
DeepFool,42341,True,0.0,846
DeepFool,885,False,0.0,17
DeepFool,2223,False,0.0,44
DeepFool,25094,True,0.0,501
DeepFool,27807,True,0.0,556
DeepFool,17976,True,0.0,359
DeepFool,49943,True,0.0,998
DeepFool,42010,False,0.0,840
DeepFool,31153,True,0.0,623
DeepFool,819,False,0.0,16
DeepFool,36871,True,0.0,737
DeepFool,15923,True,0.0,318
DeepFool,34551,True,0.0,691
DeepFool,21678,False,0.0,433
DeepFool,26085,False,0.0,521
DeepFool,49211,False,0.0,984
DeepFool,12664,False,0.0,253
DeepFool,34350,False,0.0,687
DeepFool,19658,False,0.0,393
PGD,31502,True,0.0,630
PGD,35000,fail,8.978809356689453,630
PGD,33014,fail,9.235174179077148,630
PGD,18048,True,0.0,360
PGD,10675,True,0.0,213
PGD,26020,True,0.0,520
PGD,46082,True,7.515606880187988,921
PGD,34638,True,0.0,692
PGD,29785,fail,8.831783294677734,692
PGD,31826,True,0.0,636
PGD,21816,True,0.0,436
PGD,18778,True,0.0,375
PGD,34990,True,0.0,699
PGD,47602,True,0.0,952
PGD,8167,True,0.0,163
PGD,3570,True,0.0,71
PGD,15664,fail,8.353514671325684,71
PGD,970,True,0.0,19
PGD,46751,True,7.858922958374023,935
PGD,37438,True,7.9494853019714355,748
PGD,21503,fail,9.777297973632812,748
PGD,13152,True,0.0,263
PGD,40603,True,7.079763889312744,812
PGD,34749,fail,10.113959312438965,812
PGD,46520,fail,9.25833797454834,812
PGD,42340,True,0.0,846
PGD,22878,True,7.284102916717529,457
PGD,42636,True,0.0,852
PGD,12439,True,0.0,248
PGD,37834,fail,9.909506797790527,248
PGD,12766,fail,9.451762199401855,248
PGD,14162,fail,8.588494300842285,248
PGD,13665,True,7.610336780548096,273
PGD,23218,fail,8.603954315185547,273
PGD,31068,True,0.0,621
PGD,21353,fail,9.050461769104004,621
PGD,18466,True,0.0,369
PGD,26113,True,0.0,522
PGD,20780,True,0.0,415
PGD,36482,True,0.0,729
PGD,47057,True,0.0,941
PGD,35555,fail,8.552959442138672,941
PGD,6405,fail,9.729867935180664,941
PGD,11109,True,0.0,222
PGD,18331,True,0.0,366
PGD,10143,fail,8.187585830688477,366
PGD,30860,True,0.0,617
PGD,5805,fail,10.302760124206543,617
PGD,14611,fail,9.335075378417969,617
PGD,2091,True,0.0,41
PGD,13075,fail,8.913199424743652,41
PGD,13505,True,0.0,270
PGD,30698,fail,9.338698387145996,270
PGD,35147,True,0.0,702
PGD,91,fail,8.121705055236816,702
PGD,3993,True,7.512452125549316,79
PGD,29922,True,0.0,598
PGD,9254,True,0.0,185
PGD,35870,True,0.0,717
PGD,2636,True,0.0,52
PGD,30933,True,0.0,618
PGD,40490,True,0.0,809
PGD,25040,fail,9.011269569396973,809
PGD,41730,True,0.0,834
PGD,38492,True,0.0,769
PGD,26932,True,0.0,538
PGD,5947,True,0.0,118
PGD,49504,fail,9.476459503173828,118
PGD,30471,fail,9.499337196350098,118
PGD,29886,fail,8.300666809082031,118
PGD,43973,True,0.0,879
PGD,11248,True,0.0,224
PGD,41845,True,0.0,836
PGD,7337,fail,9.705517768859863,836
PGD,7156,True,0.0,143
PGD,38641,True,0.0,772
PGD,49287,fail,9.79760456085205,772
PGD,24729,True,0.0,494
PGD,9772,True,0.0,195
PGD,1991,fail,9.134109497070312,195
PGD,3406,fail,9.139270782470703,195
PGD,42341,True,0.0,846
PGD,885,fail,8.67933464050293,846
PGD,2223,True,7.398035526275635,44
PGD,25094,True,0.0,501
PGD,27807,True,0.0,556
PGD,17976,True,0.0,359
PGD,49943,True,0.0,998
PGD,42010,fail,8.80839729309082,998
PGD,31153,True,0.0,623
PGD,819,fail,9.439678192138672,623
PGD,36871,True,0.0,737
PGD,15923,True,0.0,318
PGD,34551,True,0.0,691
PGD,21678,fail,9.462552070617676,691
PGD,26085,fail,8.905233383178711,691
PGD,49211,fail,8.670710563659668,691
PGD,12664,fail,8.49034309387207,691
PGD,34350,fail,9.043107032775879,691
PGD,19658,fail,9.492253303527832,691
OnePixel,31502,True,0.0,630
