Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
DeepFool,31502,False,0.0,630
DeepFool,35000,False,0.0,700
DeepFool,33014,False,0.0,660
DeepFool,18048,True,0.0,360
DeepFool,10675,True,0.0,213
DeepFool,26020,True,0.0,520
DeepFool,46082,fail,10.909982681274414,520
DeepFool,34638,False,0.0,692
DeepFool,29785,True,4.176072597503662,595
DeepFool,31826,False,0.0,636
DeepFool,21816,False,0.0,436
DeepFool,18778,True,0.0,375
DeepFool,34990,True,0.0,699
DeepFool,47602,True,0.0,952
DeepFool,8167,True,0.0,163
DeepFool,3570,True,0.0,71
DeepFool,15664,False,0.0,313
DeepFool,970,True,0.0,19
DeepFool,46751,False,1.3984156847000122,935
DeepFool,37438,False,0.0,748
DeepFool,21503,False,0.0,430
DeepFool,13152,True,0.0,263
DeepFool,40603,False,0.0,812
DeepFool,34749,False,0.0,694
DeepFool,46520,False,0.0,930
DeepFool,42340,True,0.0,846
DeepFool,22878,False,0.0,457
DeepFool,42636,True,0.0,852
DeepFool,12439,True,0.0,248
DeepFool,37834,False,0.0,756
DeepFool,12766,False,0.0,255
DeepFool,14162,True,3.076448917388916,283
DeepFool,13665,False,0.0,273
DeepFool,23218,True,0.0,464
DeepFool,31068,True,0.0,621
DeepFool,21353,False,0.0,427
DeepFool,18466,False,0.0,369
DeepFool,26113,True,0.0,522
DeepFool,20780,True,0.0,415
DeepFool,36482,True,0.0,729
DeepFool,47057,True,0.0,941
DeepFool,35555,True,0.0,711
DeepFool,6405,False,0.0,128
DeepFool,11109,True,0.0,222
DeepFool,18331,True,0.0,366
DeepFool,10143,False,0.0,202
DeepFool,30860,True,0.0,617
DeepFool,5805,False,0.0,116
DeepFool,14611,False,0.0,292
DeepFool,2091,True,0.0,41
DeepFool,13075,False,0.0,261
DeepFool,13505,True,0.0,270
DeepFool,30698,False,0.0,613
DeepFool,35147,True,0.0,702
DeepFool,91,False,0.0,1
DeepFool,3993,False,0.0,79
DeepFool,29922,True,0.0,598
DeepFool,9254,True,0.0,185
DeepFool,35870,True,0.0,717
DeepFool,2636,True,0.0,52
DeepFool,30933,True,0.0,618
DeepFool,40490,True,0.0,809
DeepFool,25040,False,0.0,500
DeepFool,41730,True,0.0,834
DeepFool,38492,True,0.0,769
DeepFool,26932,True,0.0,538
DeepFool,5947,True,0.0,118
DeepFool,49504,False,0.0,990
DeepFool,30471,True,2.6724064350128174,609
DeepFool,29886,False,0.0,597
DeepFool,43973,True,0.0,879
DeepFool,11248,True,0.0,224
DeepFool,41845,True,0.0,836
DeepFool,7337,False,1.5740509033203125,146
DeepFool,7156,True,0.0,143
DeepFool,38641,True,0.0,772
DeepFool,49287,fail,11.777432441711426,772
DeepFool,24729,True,0.0,494
DeepFool,9772,True,0.0,195
DeepFool,1991,False,0.0,39
DeepFool,3406,True,0.0,68
DeepFool,42341,True,0.0,846
DeepFool,885,False,0.0,17
DeepFool,2223,False,0.0,44
DeepFool,25094,True,0.0,501
DeepFool,27807,True,0.0,556
DeepFool,17976,True,0.0,359
DeepFool,49943,False,0.0,998
DeepFool,42010,False,0.0,840
DeepFool,31153,True,0.0,623
DeepFool,819,False,0.0,16
DeepFool,36871,True,0.0,737
DeepFool,15923,False,0.0,318
DeepFool,34551,True,0.0,691
DeepFool,21678,True,6.0203022956848145,433
DeepFool,26085,False,0.0,521
DeepFool,49211,False,0.7308399677276611,984
DeepFool,12664,False,0.0,253
DeepFool,34350,False,0.0,687
DeepFool,19658,False,0.16434136033058167,393
PGD,31502,fail,9.1109037399292,
PGD,35000,fail,8.204341888427734,
PGD,33014,fail,8.7315673828125,
PGD,18048,True,0.0,360
PGD,10675,True,0.0,213
PGD,26020,True,0.0,520
PGD,46082,True,7.488351821899414,921
PGD,34638,True,7.8736252784729,692
PGD,29785,fail,8.565739631652832,692
PGD,31826,fail,8.130050659179688,692
PGD,21816,fail,8.377813339233398,692
PGD,18778,True,0.0,375
PGD,34990,True,0.0,699
PGD,47602,True,0.0,952
PGD,8167,True,0.0,163
PGD,3570,True,0.0,71
PGD,15664,fail,8.233428001403809,71
PGD,970,True,0.0,19
PGD,46751,True,7.713574409484863,935
PGD,37438,True,7.5681328773498535,748
PGD,21503,fail,9.451363563537598,748
PGD,13152,True,0.0,263
PGD,40603,True,6.988050937652588,812
PGD,34749,fail,9.566513061523438,812
PGD,46520,fail,8.627243041992188,812
PGD,42340,True,0.0,846
PGD,22878,True,7.299217224121094,457
PGD,42636,True,0.0,852
PGD,12439,True,0.0,248
PGD,37834,fail,9.511159896850586,248
PGD,12766,fail,8.92566967010498,248
PGD,14162,fail,8.01191234588623,248
PGD,13665,True,7.386171817779541,273
PGD,23218,True,0.0,464
PGD,31068,True,0.0,621
PGD,21353,fail,8.654657363891602,621
PGD,18466,fail,9.7327880859375,621
PGD,26113,True,0.0,522
PGD,20780,True,0.0,415
PGD,36482,True,0.0,729
PGD,47057,True,0.0,941
PGD,35555,True,0.0,711
PGD,6405,fail,9.48072624206543,711
PGD,11109,True,0.0,222
PGD,18331,True,0.0,366
PGD,10143,True,7.896645545959473,202
PGD,30860,True,0.0,617
PGD,5805,fail,10.166009902954102,617
PGD,14611,fail,9.224167823791504,617
PGD,2091,True,0.0,41
PGD,13075,fail,8.372274398803711,41
PGD,13505,True,0.0,270
PGD,30698,fail,9.50788688659668,270
PGD,35147,True,0.0,702
PGD,91,True,7.979150772094727,1
PGD,3993,True,7.209684371948242,79
PGD,29922,True,0.0,598
PGD,9254,True,0.0,185
PGD,35870,True,0.0,717
PGD,2636,True,0.0,52
PGD,30933,True,0.0,618
PGD,40490,True,0.0,809
PGD,25040,fail,8.667370796203613,809
PGD,41730,True,0.0,834
PGD,38492,True,0.0,769
PGD,26932,True,0.0,538
PGD,5947,True,0.0,118
PGD,49504,fail,8.743927955627441,118
PGD,30471,fail,8.829717636108398,118
PGD,29886,fail,8.279165267944336,118
PGD,43973,True,0.0,879
PGD,11248,True,0.0,224
PGD,41845,True,0.0,836
PGD,7337,fail,9.249200820922852,836
PGD,7156,True,0.0,143
PGD,38641,True,0.0,772
PGD,49287,fail,9.291278839111328,772
PGD,24729,True,0.0,494
PGD,9772,True,0.0,195
PGD,1991,fail,8.726865768432617,195
PGD,3406,True,0.0,68
PGD,42341,True,0.0,846
PGD,885,fail,8.322296142578125,846
PGD,2223,True,7.188486099243164,44
PGD,25094,True,0.0,501
PGD,27807,True,0.0,556
PGD,17976,True,0.0,359
PGD,49943,True,7.832045555114746,998
PGD,42010,fail,8.319464683532715,998
PGD,31153,True,0.0,623
PGD,819,fail,8.915009498596191,623
PGD,36871,True,0.0,737
PGD,15923,True,7.695044994354248,318
PGD,34551,True,0.0,691
PGD,21678,fail,9.362954139709473,691
PGD,26085,fail,8.236563682556152,691
PGD,49211,fail,8.263129234313965,691
PGD,12664,fail,8.19982624053955,691
PGD,34350,fail,9.038565635681152,691
PGD,19658,fail,9.710853576660156,691
OnePixel,31502,True,4.722706317901611,630
OnePixel,35000,True,4.604508876800537,700
OnePixel,33014,False,5.138336181640625,660
OnePixel,18048,True,0.0,360
OnePixel,10675,True,0.0,213
OnePixel,26020,True,0.0,520
OnePixel,46082,False,3.895624876022339,921
OnePixel,34638,False,3.795414686203003,692
OnePixel,29785,False,3.942234516143799,595
OnePixel,31826,True,5.243713855743408,636
OnePixel,21816,False,5.555779457092285,436
OnePixel,18778,True,0.0,375
OnePixel,34990,True,0.0,699
OnePixel,47602,True,0.0,952
OnePixel,8167,True,0.0,163
OnePixel,3570,True,0.0,71
OnePixel,15664,False,3.9911696910858154,313
OnePixel,970,True,0.0,19
OnePixel,46751,False,5.455202102661133,935
OnePixel,37438,True,4.35698127746582,748
OnePixel,21503,False,5.411180019378662,430
OnePixel,13152,True,0.0,263
OnePixel,40603,False,5.398731708526611,812
OnePixel,34749,False,4.7305073738098145,694
OnePixel,46520,False,4.504696846008301,930
OnePixel,42340,True,0.0,846
OnePixel,22878,False,5.062051296234131,457
OnePixel,42636,True,0.0,852
OnePixel,12439,True,0.0,248
OnePixel,37834,False,3.9805142879486084,756
OnePixel,12766,False,4.8503804206848145,255
OnePixel,14162,False,4.532104969024658,283
OnePixel,13665,False,4.158808708190918,273
OnePixel,23218,True,0.0,464
OnePixel,31068,True,0.0,621
OnePixel,21353,False,3.973984479904175,427
OnePixel,18466,True,4.700300693511963,369
OnePixel,26113,True,0.0,522
OnePixel,20780,True,0.0,415
OnePixel,36482,True,0.0,729
OnePixel,47057,True,0.0,941
OnePixel,35555,True,0.0,711
OnePixel,6405,False,4.549957752227783,128
OnePixel,11109,True,0.0,222
OnePixel,18331,True,0.0,366
OnePixel,10143,True,5.354118824005127,202
OnePixel,30860,True,0.0,617
OnePixel,5805,False,4.246147632598877,116
OnePixel,14611,False,5.4679765701293945,292
OnePixel,2091,True,0.0,41
OnePixel,13075,False,4.807954788208008,261
OnePixel,13505,True,0.0,270
OnePixel,30698,False,4.683899879455566,613
OnePixel,35147,True,0.0,702
OnePixel,91,False,3.5451951026916504,1
OnePixel,3993,False,5.060420036315918,79
