Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,12.169170379638672,630
Unknown,35000,True,0.0,700
Unknown,33014,True,12.039361953735352,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.141328811645508,213
Unknown,26020,True,0.0,520
Unknown,46082,True,0.0,921
Unknown,34638,True,12.163755416870117,692
Unknown,29785,True,12.17042064666748,595
Unknown,31826,True,10.680146217346191,636
Unknown,21816,True,11.44661808013916,436
Unknown,18778,True,0.0,375
Unknown,34990,True,12.163663864135742,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.170015335083008,313
Unknown,970,True,12.159607887268066,19
Unknown,46751,True,11.38956356048584,935
Unknown,37438,True,12.170973777770996,748
Unknown,21503,True,11.997300148010254,430
Unknown,13152,True,0.0,263
Unknown,40603,True,11.048470497131348,812
Unknown,34749,False,12.12417984008789,694
Unknown,46520,True,12.16073989868164,930
Unknown,42340,True,0.0,846
Unknown,22878,True,12.031488418579102,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,12.149177551269531,756
Unknown,12766,True,12.14357852935791,255
Unknown,14162,False,12.171257972717285,283
Unknown,13665,True,12.171278953552246,273
Unknown,23218,True,12.157666206359863,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,0.0,369
Unknown,26113,True,11.958312034606934,522
Unknown,20780,True,0.0,415
Unknown,36482,True,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,True,11.150156021118164,711
Unknown,6405,True,12.10561752319336,128
Unknown,11109,True,12.161140441894531,222
Unknown,18331,True,0.0,366
Unknown,10143,True,12.118224143981934,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.16102409362793,116
Unknown,14611,True,11.726102828979492,292
Unknown,2091,True,0.0,41
Unknown,13075,True,12.136682510375977,261
Unknown,13505,True,0.0,270
Unknown,30698,False,12.120840072631836,613
Unknown,35147,True,0.0,702
Unknown,91,True,12.167296409606934,1
Unknown,3993,True,12.170607566833496,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,11.518536567687988,717
Unknown,2636,True,12.169379234313965,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,12.131972312927246,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,11.96182918548584,990
Unknown,30471,False,11.954413414001465,609
Unknown,29886,True,12.145954132080078,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,False,12.04263973236084,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,11.986747741699219,985
Unknown,24729,True,11.860095024108887,494
Unknown,9772,True,0.0,195
Unknown,1991,True,12.157647132873535,39
Unknown,3406,False,12.15432071685791,68
Unknown,42341,True,0.0,846
Unknown,885,False,12.078039169311523,17
Unknown,2223,False,11.54238224029541,44
Unknown,25094,True,0.0,501
Unknown,27807,True,0.0,556
Unknown,17976,True,0.0,359
Unknown,49943,True,11.705492973327637,998
Unknown,42010,True,12.171306610107422,840
Unknown,31153,True,0.0,623
Unknown,819,True,12.168989181518555,16
Unknown,36871,True,0.0,737
Unknown,15923,True,12.156341552734375,318
Unknown,34551,True,0.0,691
Unknown,21678,False,12.070308685302734,433
Unknown,26085,True,12.130146980285645,521
Unknown,49211,False,11.802145004272461,984
Unknown,12664,False,12.051170349121094,253
Unknown,34350,False,11.928979873657227,687
Unknown,19658,False,12.15485954284668,393
AutoAttack,31502,False,0.0,630
AutoAttack,35000,True,0.0,700
AutoAttack,33014,True,8.368766784667969,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,False,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,True,0.0,921
AutoAttack,34638,False,0.0,692
AutoAttack,29785,True,8.26942253112793,595
AutoAttack,31826,False,0.0,636
AutoAttack,21816,False,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,False,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,True,8.359602928161621,313
AutoAttack,970,False,0.0,19
AutoAttack,46751,True,8.155899047851562,935
AutoAttack,37438,False,0.0,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,True,0.0,263
AutoAttack,40603,True,7.830275535583496,812
AutoAttack,34749,True,8.86693000793457,694
AutoAttack,46520,True,8.411311149597168,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,True,8.164210319519043,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,False,0.0,756
AutoAttack,12766,True,8.59617805480957,255
AutoAttack,14162,True,8.138094902038574,283
AutoAttack,13665,True,8.28852367401123,273
AutoAttack,23218,False,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,True,0.0,427
AutoAttack,18466,True,0.0,369
AutoAttack,26113,True,8.242281913757324,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,True,0.0,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,False,0.0,711
AutoAttack,6405,True,8.731215476989746,128
AutoAttack,11109,False,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,True,8.105334281921387,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,False,0.0,116
AutoAttack,14611,False,0.0,292
AutoAttack,2091,True,0.0,41
AutoAttack,13075,False,0.0,261
AutoAttack,13505,True,0.0,270
AutoAttack,30698,True,8.984395027160645,613
AutoAttack,35147,True,0.0,702
AutoAttack,91,False,0.0,1
AutoAttack,3993,True,8.234322547912598,79
AutoAttack,29922,True,0.0,598
AutoAttack,9254,True,0.0,185
AutoAttack,35870,False,0.0,717
AutoAttack,2636,False,0.0,52
AutoAttack,30933,True,0.0,618
AutoAttack,40490,True,0.0,809
AutoAttack,25040,True,8.736793518066406,500
AutoAttack,41730,True,0.0,834
AutoAttack,38492,True,0.0,769
AutoAttack,26932,True,0.0,538
AutoAttack,5947,True,0.0,118
AutoAttack,49504,True,8.75737476348877,990
AutoAttack,30471,True,8.233028411865234,609
AutoAttack,29886,True,8.155047416687012,597
AutoAttack,43973,True,0.0,879
AutoAttack,11248,True,0.0,224
AutoAttack,41845,True,0.0,836
AutoAttack,7337,True,8.370183944702148,146
AutoAttack,7156,True,0.0,143
AutoAttack,38641,True,0.0,772
AutoAttack,49287,True,8.520995140075684,985
AutoAttack,24729,False,0.0,494
AutoAttack,9772,True,0.0,195
AutoAttack,1991,False,0.0,39
AutoAttack,3406,False,0.0,68
AutoAttack,42341,True,0.0,846
AutoAttack,885,True,8.073774337768555,17
AutoAttack,2223,False,0.0,44
AutoAttack,25094,True,0.0,501
AutoAttack,27807,True,0.0,556
AutoAttack,17976,True,0.0,359
AutoAttack,49943,False,0.0,998
AutoAttack,42010,False,0.0,840
