Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,12.07759952545166,630
Unknown,35000,True,0.0,700
Unknown,33014,False,12.052740097045898,660
Unknown,18048,True,0.0,360
Unknown,10675,True,0.0,213
Unknown,26020,True,0.0,520
Unknown,46082,True,12.168880462646484,921
Unknown,34638,True,10.310978889465332,692
Unknown,29785,False,12.170562744140625,595
Unknown,31826,False,0.0,636
Unknown,21816,False,0.0,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,False,0.0,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.419693946838379,935
Unknown,37438,False,12.17094898223877,748
Unknown,21503,False,0.0,430
Unknown,13152,False,0.0,263
Unknown,40603,False,0.0,812
Unknown,34749,False,10.309365272521973,694
Unknown,46520,False,12.14828872680664,930
Unknown,42340,True,0.0,846
Unknown,22878,False,11.939478874206543,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,0.0,255
Unknown,14162,True,12.17127799987793,283
Unknown,13665,True,9.44608211517334,273
Unknown,23218,False,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,0.0,369
Unknown,26113,True,0.0,522
Unknown,20780,True,0.0,415
Unknown,36482,False,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,True,0.0,711
Unknown,6405,False,11.454427719116211,128
Unknown,11109,True,12.16116714477539,222
Unknown,18331,True,0.0,366
Unknown,10143,True,0.0,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.160508155822754,116
Unknown,14611,False,11.728165626525879,292
Unknown,2091,True,0.0,41
Unknown,13075,True,10.844343185424805,261
Unknown,13505,True,0.0,270
Unknown,30698,False,12.094476699829102,613
Unknown,35147,True,0.0,702
Unknown,91,False,0.0,1
Unknown,3993,False,0.0,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,10.94703197479248,500
Unknown,41730,False,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,0.0,990
Unknown,30471,False,10.785505294799805,609
Unknown,29886,False,12.14399242401123,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,False,12.05376148223877,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,0.0,985
Unknown,24729,False,0.0,494
Unknown,9772,True,0.0,195
Unknown,1991,True,0.0,39
Unknown,3406,True,0.0,68
Unknown,42341,True,0.0,846
Unknown,885,False,0.0,17
Unknown,2223,False,11.539631843566895,44
Unknown,25094,True,0.0,501
Unknown,27807,False,12.057293891906738,556
Unknown,17976,True,0.0,359
Unknown,49943,True,11.690753936767578,998
Unknown,42010,True,10.228764533996582,840
Unknown,31153,True,0.0,623
Unknown,819,False,0.0,16
Unknown,36871,True,0.0,737
Unknown,15923,False,0.0,318
Unknown,34551,True,0.0,691
Unknown,21678,False,12.078559875488281,433
Unknown,26085,True,12.137819290161133,521
Unknown,49211,False,11.78568172454834,984
Unknown,12664,False,12.06630802154541,253
Unknown,34350,False,11.95309829711914,687
Unknown,19658,False,12.155186653137207,393
AutoAttack,31502,False,0.0,630
AutoAttack,35000,True,0.0,700
AutoAttack,33014,False,0.0,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,True,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,False,0.0,921
AutoAttack,34638,False,0.0,692
AutoAttack,29785,False,0.0,595
AutoAttack,31826,False,0.0,636
AutoAttack,21816,False,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,True,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,False,0.0,313
AutoAttack,970,True,0.0,19
AutoAttack,46751,False,0.0,935
AutoAttack,37438,False,0.0,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,False,0.0,263
AutoAttack,40603,False,0.0,812
AutoAttack,34749,False,0.0,694
AutoAttack,46520,False,0.0,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,False,0.0,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,True,0.0,756
AutoAttack,12766,False,0.0,255
AutoAttack,14162,False,0.0,283
AutoAttack,13665,False,0.0,273
AutoAttack,23218,False,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,True,0.0,427
AutoAttack,18466,True,0.0,369
AutoAttack,26113,True,0.0,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,False,0.0,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,True,0.0,711
AutoAttack,6405,False,0.0,128
AutoAttack,11109,False,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,True,0.0,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,False,0.0,116
AutoAttack,14611,False,0.0,292
AutoAttack,2091,True,0.0,41
AutoAttack,13075,False,0.0,261
AutoAttack,13505,True,0.0,270
AutoAttack,30698,False,0.0,613
AutoAttack,35147,True,0.0,702
AutoAttack,91,False,0.0,1
AutoAttack,3993,False,0.0,79
AutoAttack,29922,True,0.0,598
AutoAttack,9254,True,0.0,185
AutoAttack,35870,True,0.0,717
AutoAttack,2636,True,0.0,52
AutoAttack,30933,True,0.0,618
AutoAttack,40490,True,0.0,809
AutoAttack,25040,False,0.0,500
AutoAttack,41730,False,0.0,834
AutoAttack,38492,True,0.0,769
AutoAttack,26932,True,0.0,538
AutoAttack,5947,True,0.0,118
AutoAttack,49504,False,0.0,990
AutoAttack,30471,False,0.0,609
AutoAttack,29886,False,0.0,597
AutoAttack,43973,True,0.0,879
AutoAttack,11248,True,0.0,224
AutoAttack,41845,True,0.0,836
AutoAttack,7337,False,0.0,146
AutoAttack,7156,True,0.0,143
AutoAttack,38641,True,0.0,772
AutoAttack,49287,False,0.0,985
AutoAttack,24729,False,0.0,494
AutoAttack,9772,True,0.0,195
AutoAttack,1991,True,0.0,39
AutoAttack,3406,True,0.0,68
AutoAttack,42341,True,0.0,846
AutoAttack,885,False,0.0,17
AutoAttack,2223,False,0.0,44
AutoAttack,25094,True,0.0,501
AutoAttack,27807,False,0.0,556
AutoAttack,17976,True,0.0,359
AutoAttack,49943,False,0.0,998
AutoAttack,42010,False,0.0,840
AutoAttack,31153,True,0.0,623
AutoAttack,819,False,0.0,16
AutoAttack,36871,True,0.0,737
AutoAttack,15923,False,0.0,318
AutoAttack,34551,True,0.0,691
AutoAttack,21678,False,0.0,433
AutoAttack,26085,False,0.0,521
AutoAttack,49211,False,0.0,984
AutoAttack,12664,False,0.0,253
AutoAttack,34350,False,0.0,687
AutoAttack,19658,False,0.0,393
DIFGSM,31502,True,9.501666069030762,630
DIFGSM,35000,True,0.0,700
DIFGSM,33014,True,9.601459503173828,660
DIFGSM,18048,True,0.0,360
DIFGSM,10675,True,0.0,213
DIFGSM,26020,True,0.0,520
DIFGSM,46082,False,3.0411376953125,921
DIFGSM,34638,True,3.0414552688598633,692
DIFGSM,29785,True,9.393868446350098,595
DIFGSM,31826,False,0.0,636
DIFGSM,21816,False,0.0,436
DIFGSM,18778,True,0.0,375
DIFGSM,34990,True,0.0,699
DIFGSM,47602,True,0.0,952
DIFGSM,8167,True,0.0,163
DIFGSM,3570,True,0.0,71
DIFGSM,15664,False,0.0,313
DIFGSM,970,True,0.0,19
DIFGSM,46751,False,4.9790802001953125,935
DIFGSM,37438,False,7.4818830490112305,748
DIFGSM,21503,False,0.0,430
DIFGSM,13152,False,0.0,263
DIFGSM,40603,False,0.0,812
DIFGSM,34749,False,6.471983909606934,694
DIFGSM,46520,False,3.0379340648651123,930
DIFGSM,42340,True,0.0,846
DIFGSM,22878,False,4.008582592010498,457
DIFGSM,42636,True,0.0,852
DIFGSM,12439,True,0.0,248
DIFGSM,37834,True,0.0,756
DIFGSM,12766,False,0.0,255
DIFGSM,14162,False,4.354730129241943,283
DIFGSM,13665,False,2.360933780670166,273
DIFGSM,23218,False,0.0,464
DIFGSM,31068,True,0.0,621
DIFGSM,21353,True,0.0,427
DIFGSM,18466,True,0.0,369
DIFGSM,26113,True,0.0,522
DIFGSM,20780,True,0.0,415
DIFGSM,36482,True,2.588850736618042,729
DIFGSM,47057,True,0.0,941
DIFGSM,35555,True,0.0,711
DIFGSM,6405,True,9.9076509475708,128
DIFGSM,11109,True,9.248698234558105,222
DIFGSM,18331,True,0.0,366
DIFGSM,10143,True,0.0,202
DIFGSM,30860,True,0.0,617
DIFGSM,5805,True,9.536250114440918,116
DIFGSM,14611,False,5.146672248840332,292
DIFGSM,2091,True,0.0,41
DIFGSM,13075,True,9.31290054321289,261
DIFGSM,13505,True,0.0,270
DIFGSM,30698,False,6.786910057067871,613
DIFGSM,35147,True,0.0,702
DIFGSM,91,False,0.0,1
DIFGSM,3993,False,3.9588005542755127,79
DIFGSM,29922,True,0.0,598
DIFGSM,9254,True,0.0,185
DIFGSM,35870,True,0.0,717
DIFGSM,2636,True,0.0,52
DIFGSM,30933,True,0.0,618
DIFGSM,40490,True,0.0,809
DIFGSM,25040,False,2.7884137630462646,500
DIFGSM,41730,False,0.0,834
DIFGSM,38492,True,0.0,769
DIFGSM,26932,True,0.0,538
DIFGSM,5947,True,0.0,118
DIFGSM,49504,False,0.0,990
DIFGSM,30471,False,9.11437702178955,609
DIFGSM,29886,True,8.979188919067383,597
DIFGSM,43973,True,0.0,879
DIFGSM,11248,True,0.0,224
DIFGSM,41845,True,0.0,836
DIFGSM,7337,False,5.241471290588379,146
DIFGSM,7156,True,0.0,143
DIFGSM,38641,True,0.0,772
DIFGSM,49287,False,0.0,985
DIFGSM,24729,False,2.570295810699463,494
DIFGSM,9772,True,0.0,195
DIFGSM,1991,True,0.0,39
DIFGSM,3406,True,0.0,68
