Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,0.0,630
Unknown,35000,True,12.169428825378418,700
Unknown,33014,True,12.045934677124023,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.140981674194336,213
Unknown,26020,True,0.0,520
Unknown,46082,True,0.0,921
Unknown,34638,True,12.164347648620605,692
Unknown,29785,True,12.17025375366211,595
Unknown,31826,True,10.681488990783691,636
Unknown,21816,True,11.440678596496582,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.169188499450684,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.386109352111816,935
Unknown,37438,True,12.17090892791748,748
Unknown,21503,False,11.998873710632324,430
Unknown,13152,True,12.169947624206543,263
Unknown,40603,True,11.044867515563965,812
Unknown,34749,False,12.12475872039795,694
Unknown,46520,True,12.16021728515625,930
Unknown,42340,True,0.0,846
Unknown,22878,True,12.036686897277832,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,12.145587921142578,255
Unknown,14162,False,12.171286582946777,283
Unknown,13665,True,12.17128849029541,273
Unknown,23218,True,12.157809257507324,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,12.097199440002441,369
Unknown,26113,True,0.0,522
Unknown,20780,True,0.0,415
Unknown,36482,True,12.156128883361816,729
Unknown,47057,True,0.0,941
Unknown,35555,True,0.0,711
Unknown,6405,False,12.104211807250977,128
Unknown,11109,True,12.161385536193848,222
Unknown,18331,True,0.0,366
Unknown,10143,True,0.0,202
Unknown,30860,True,0.0,617
Unknown,5805,True,12.16109561920166,116
Unknown,14611,True,11.721242904663086,292
Unknown,2091,True,0.0,41
Unknown,13075,True,12.135334968566895,261
Unknown,13505,True,12.124397277832031,270
Unknown,30698,True,12.121916770935059,613
Unknown,35147,True,0.0,702
Unknown,91,True,12.167309761047363,1
Unknown,3993,True,12.170696258544922,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
