Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,12.169312477111816,630
Unknown,35000,True,12.169797897338867,700
Unknown,33014,True,12.035319328308105,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.140564918518066,213
Unknown,26020,True,0.0,520
Unknown,46082,True,0.0,921
Unknown,34638,True,12.164050102233887,692
Unknown,29785,True,12.170441627502441,595
Unknown,31826,True,0.0,636
Unknown,21816,True,11.437164306640625,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.170044898986816,313
Unknown,970,True,12.159144401550293,19
Unknown,46751,True,11.393261909484863,935
Unknown,37438,True,12.17099666595459,748
Unknown,21503,False,11.998869895935059,430
Unknown,13152,True,12.169931411743164,263
Unknown,40603,True,11.04725170135498,812
Unknown,34749,True,12.127182960510254,694
Unknown,46520,True,12.160595893859863,930
Unknown,42340,True,0.0,846
Unknown,22878,False,12.03398323059082,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,12.143299102783203,255
Unknown,14162,False,12.171286582946777,283
Unknown,13665,True,12.171268463134766,273
Unknown,23218,True,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,12.09367847442627,369
Unknown,26113,True,11.960958480834961,522
Unknown,20780,True,0.0,415
Unknown,36482,True,12.156838417053223,729
Unknown,47057,True,0.0,941
Unknown,35555,True,11.16447925567627,711
Unknown,6405,True,12.103201866149902,128
Unknown,11109,True,0.0,222
Unknown,18331,True,0.0,366
Unknown,10143,True,12.119926452636719,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.16098403930664,116
Unknown,14611,True,11.715922355651855,292
Unknown,2091,True,0.0,41
Unknown,13075,True,12.136937141418457,261
Unknown,13505,True,12.123687744140625,270
Unknown,30698,False,12.122320175170898,613
Unknown,35147,True,0.0,702
Unknown,91,True,12.167154312133789,1
Unknown,3993,True,12.170703887939453,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,12.131214141845703,500
Unknown,41730,True,10.850887298583984,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,11.961051940917969,990
Unknown,30471,False,11.938302993774414,609
Unknown,29886,False,12.146323204040527,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,True,12.043305397033691,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,11.98235034942627,985
Unknown,24729,True,11.856980323791504,494
Unknown,9772,True,0.0,195
Unknown,1991,True,12.156609535217285,39
Unknown,3406,True,12.15422534942627,68
Unknown,42341,True,0.0,846
Unknown,885,False,12.079111099243164,17
Unknown,2223,False,11.544604301452637,44
Unknown,25094,True,0.0,501
Unknown,27807,False,12.121326446533203,556
Unknown,17976,True,0.0,359
Unknown,49943,True,11.701510429382324,998
Unknown,42010,True,12.171225547790527,840
Unknown,31153,True,0.0,623
Unknown,819,False,12.16826057434082,16
Unknown,36871,True,0.0,737
Unknown,15923,True,12.157769203186035,318
Unknown,34551,True,0.0,691
Unknown,21678,True,12.061476707458496,433
Unknown,26085,True,12.129075050354004,521
Unknown,49211,False,11.807271003723145,984
Unknown,12664,False,12.049727439880371,253
Unknown,34350,False,11.933300018310547,687
Unknown,19658,True,12.157453536987305,393
AutoAttack,31502,False,0.0,630
AutoAttack,35000,False,0.0,700
AutoAttack,33014,True,8.38789176940918,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,False,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,True,0.0,921
AutoAttack,34638,False,0.0,692
AutoAttack,29785,True,8.606475830078125,595
AutoAttack,31826,True,0.0,636
AutoAttack,21816,False,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,True,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,False,0.0,313
AutoAttack,970,False,0.0,19
AutoAttack,46751,True,8.521378517150879,935
AutoAttack,37438,True,8.28780460357666,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,False,0.0,263
AutoAttack,40603,False,0.0,812
AutoAttack,34749,True,8.876479148864746,694
AutoAttack,46520,False,0.0,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,True,8.299322128295898,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,True,0.0,756
AutoAttack,12766,True,8.652714729309082,255
AutoAttack,14162,True,8.344222068786621,283
AutoAttack,13665,True,8.157746315002441,273
AutoAttack,23218,True,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,True,0.0,427
AutoAttack,18466,False,0.0,369
AutoAttack,26113,True,8.441317558288574,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,True,8.793456077575684,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,False,0.0,711
AutoAttack,6405,True,8.76956844329834,128
AutoAttack,11109,True,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,False,0.0,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,True,8.885085105895996,116
AutoAttack,14611,False,0.0,292
AutoAttack,2091,True,0.0,41
AutoAttack,13075,False,0.0,261
AutoAttack,13505,True,8.362377166748047,270
AutoAttack,30698,True,8.81875228881836,613
AutoAttack,35147,True,0.0,702
AutoAttack,91,False,0.0,1
AutoAttack,3993,True,8.302573204040527,79
AutoAttack,29922,True,0.0,598
AutoAttack,9254,True,0.0,185
AutoAttack,35870,True,0.0,717
AutoAttack,2636,True,0.0,52
AutoAttack,30933,True,0.0,618
AutoAttack,40490,True,0.0,809
AutoAttack,25040,True,8.624342918395996,500
AutoAttack,41730,False,0.0,834
AutoAttack,38492,True,0.0,769
AutoAttack,26932,True,0.0,538
AutoAttack,5947,True,0.0,118
AutoAttack,49504,False,0.0,990
AutoAttack,30471,True,8.38573169708252,609
AutoAttack,29886,False,0.0,597
AutoAttack,43973,True,0.0,879
AutoAttack,11248,True,0.0,224
AutoAttack,41845,True,0.0,836
AutoAttack,7337,True,8.88329792022705,146
AutoAttack,7156,True,0.0,143
AutoAttack,38641,True,0.0,772
AutoAttack,49287,True,8.743703842163086,985
AutoAttack,24729,False,0.0,494
AutoAttack,9772,True,0.0,195
AutoAttack,1991,False,0.0,39
AutoAttack,3406,False,0.0,68
AutoAttack,42341,True,0.0,846
AutoAttack,885,False,0.0,17
AutoAttack,2223,False,0.0,44
AutoAttack,25094,True,0.0,501
AutoAttack,27807,False,0.0,556
AutoAttack,17976,True,0.0,359
AutoAttack,49943,False,0.0,998
AutoAttack,42010,False,0.0,840
AutoAttack,31153,True,0.0,623
AutoAttack,819,True,8.799348831176758,16
AutoAttack,36871,True,0.0,737
AutoAttack,15923,True,8.40966796875,318
AutoAttack,34551,True,0.0,691
AutoAttack,21678,True,8.293635368347168,433
AutoAttack,26085,False,0.0,521
AutoAttack,49211,True,8.395914077758789,984
AutoAttack,12664,True,8.454154014587402,253
AutoAttack,34350,False,0.0,687
AutoAttack,19658,False,0.0,393
DIFGSM,31502,True,9.268088340759277,630
DIFGSM,35000,True,9.102459907531738,700
DIFGSM,33014,True,9.297746658325195,660
DIFGSM,18048,True,0.0,360
DIFGSM,10675,True,9.17556095123291,213
DIFGSM,26020,True,0.0,520
DIFGSM,46082,True,0.0,921
DIFGSM,34638,True,9.012873649597168,692
DIFGSM,29785,True,9.195762634277344,595
DIFGSM,31826,True,0.0,636
DIFGSM,21816,True,8.827261924743652,436
DIFGSM,18778,True,0.0,375
DIFGSM,34990,True,0.0,699
DIFGSM,47602,True,0.0,952
DIFGSM,8167,True,0.0,163
DIFGSM,3570,True,0.0,71
DIFGSM,15664,True,9.010848045349121,313
DIFGSM,970,True,9.364749908447266,19
DIFGSM,46751,True,9.022311210632324,935
DIFGSM,37438,True,8.99953556060791,748
DIFGSM,21503,True,9.273200035095215,430
DIFGSM,13152,True,9.123764991760254,263
DIFGSM,40603,True,8.43594741821289,812
DIFGSM,34749,True,9.597880363464355,694
DIFGSM,46520,True,9.204564094543457,930
DIFGSM,42340,True,0.0,846
DIFGSM,22878,True,8.790242195129395,457
DIFGSM,42636,True,0.0,852
DIFGSM,12439,True,0.0,248
DIFGSM,37834,True,0.0,756
DIFGSM,12766,True,9.22011661529541,255
DIFGSM,14162,True,8.95151138305664,283
DIFGSM,13665,True,8.84792709350586,273
DIFGSM,23218,True,0.0,464
DIFGSM,31068,True,0.0,621
DIFGSM,21353,True,0.0,427
DIFGSM,18466,True,9.375527381896973,369
DIFGSM,26113,True,9.048332214355469,522
DIFGSM,20780,True,0.0,415
DIFGSM,36482,True,9.129630088806152,729
DIFGSM,47057,True,0.0,941
DIFGSM,35555,True,8.795547485351562,711
DIFGSM,6405,True,9.49101448059082,128
DIFGSM,11109,True,0.0,222
DIFGSM,18331,True,0.0,366
DIFGSM,10143,True,8.989367485046387,202
DIFGSM,30860,True,0.0,617
DIFGSM,5805,True,9.581978797912598,116
DIFGSM,14611,True,9.202958106994629,292
DIFGSM,2091,True,0.0,41
DIFGSM,13075,True,9.010820388793945,261
DIFGSM,13505,True,9.030553817749023,270
DIFGSM,30698,True,9.558640480041504,613
DIFGSM,35147,True,0.0,702
DIFGSM,91,True,9.137876510620117,1
DIFGSM,3993,True,8.976076126098633,79
DIFGSM,29922,True,0.0,598
DIFGSM,9254,True,0.0,185
DIFGSM,35870,True,0.0,717
DIFGSM,2636,True,0.0,52
DIFGSM,30933,True,0.0,618
DIFGSM,40490,True,0.0,809
DIFGSM,25040,True,9.14142894744873,500
DIFGSM,41730,True,8.671945571899414,834
DIFGSM,38492,True,0.0,769
DIFGSM,26932,True,0.0,538
DIFGSM,5947,True,0.0,118
DIFGSM,49504,True,9.28010368347168,990
DIFGSM,30471,True,9.149445533752441,609
DIFGSM,29886,True,8.928191184997559,597
DIFGSM,43973,True,0.0,879
DIFGSM,11248,True,0.0,224
DIFGSM,41845,True,0.0,836
DIFGSM,7337,True,9.48099422454834,146
DIFGSM,7156,True,0.0,143
DIFGSM,38641,True,0.0,772
DIFGSM,49287,True,9.483449935913086,985
DIFGSM,24729,True,9.232065200805664,494
DIFGSM,9772,True,0.0,195
DIFGSM,1991,True,9.13898754119873,39
DIFGSM,3406,True,9.055899620056152,68
DIFGSM,42341,True,0.0,846
DIFGSM,885,True,9.008702278137207,17
DIFGSM,2223,True,8.824658393859863,44
DIFGSM,25094,True,0.0,501
DIFGSM,27807,True,8.854796409606934,556
DIFGSM,17976,True,0.0,359
DIFGSM,49943,True,8.777861595153809,998
DIFGSM,42010,True,9.342540740966797,840
DIFGSM,31153,True,0.0,623
DIFGSM,819,True,9.289056777954102,16
DIFGSM,36871,True,0.0,737
DIFGSM,15923,True,9.241379737854004,318
DIFGSM,34551,True,0.0,691
DIFGSM,21678,True,9.16364574432373,433
DIFGSM,26085,True,9.300921440124512,521
DIFGSM,49211,True,9.062788963317871,984
DIFGSM,12664,True,9.262466430664062,253
DIFGSM,34350,True,9.199981689453125,687
DIFGSM,19658,True,9.511322021484375,393
MIFGSM,31502,True,9.79841136932373,630
MIFGSM,35000,True,9.428166389465332,700
MIFGSM,33014,True,9.764284133911133,660
MIFGSM,18048,True,0.0,360
MIFGSM,10675,True,9.54654312133789,213
MIFGSM,26020,True,0.0,520
MIFGSM,46082,True,0.0,921
MIFGSM,34638,True,9.538233757019043,692
MIFGSM,29785,True,9.748353004455566,595
MIFGSM,31826,True,0.0,636
MIFGSM,21816,True,9.32353401184082,436
MIFGSM,18778,True,0.0,375
MIFGSM,34990,True,0.0,699
MIFGSM,47602,True,0.0,952
MIFGSM,8167,True,0.0,163
MIFGSM,3570,True,0.0,71
MIFGSM,15664,True,9.58066177368164,313
MIFGSM,970,True,9.873703956604004,19
MIFGSM,46751,True,9.317180633544922,935
MIFGSM,37438,True,9.351531028747559,748
MIFGSM,21503,True,10.07507610321045,430
MIFGSM,13152,True,9.52258014678955,263
MIFGSM,40603,True,8.754127502441406,812
MIFGSM,34749,True,10.338326454162598,694
MIFGSM,46520,True,9.867470741271973,930
MIFGSM,42340,True,0.0,846
MIFGSM,22878,True,9.27382755279541,457
MIFGSM,42636,True,0.0,852
MIFGSM,12439,True,0.0,248
MIFGSM,37834,True,0.0,756
MIFGSM,12766,True,9.880038261413574,255
MIFGSM,14162,True,9.435286521911621,283
MIFGSM,13665,True,9.261576652526855,273
MIFGSM,23218,True,0.0,464
MIFGSM,31068,True,0.0,621
MIFGSM,21353,True,0.0,427
MIFGSM,18466,True,10.175898551940918,369
MIFGSM,26113,True,9.870672225952148,522
MIFGSM,20780,True,0.0,415
MIFGSM,36482,True,9.56309986114502,729
MIFGSM,47057,True,0.0,941
MIFGSM,35555,True,9.324409484863281,711
MIFGSM,6405,True,10.12271499633789,128
MIFGSM,11109,True,0.0,222
MIFGSM,18331,True,0.0,366
MIFGSM,10143,True,9.408456802368164,202
MIFGSM,30860,True,0.0,617
MIFGSM,5805,True,10.238160133361816,116
MIFGSM,14611,True,9.796586036682129,292
MIFGSM,2091,True,0.0,41
MIFGSM,13075,True,9.481663703918457,261
MIFGSM,13505,True,9.58686637878418,270
MIFGSM,30698,True,10.253324508666992,613
