Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,0.0,630
Unknown,35000,True,12.170125961303711,700
Unknown,33014,False,12.033673286437988,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.137816429138184,213
Unknown,26020,True,0.0,520
Unknown,46082,True,12.171306610107422,921
Unknown,34638,True,0.0,692
Unknown,29785,False,12.17025089263916,595
Unknown,31826,True,10.673733711242676,636
Unknown,21816,True,11.429227828979492,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.168832778930664,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.36613941192627,935
Unknown,37438,True,12.170876502990723,748
Unknown,21503,False,11.991579055786133,430
Unknown,13152,True,0.0,263
Unknown,40603,True,11.058465003967285,812
Unknown,34749,False,12.119610786437988,694
Unknown,46520,False,12.160304069519043,930
Unknown,42340,True,0.0,846
Unknown,22878,False,12.031356811523438,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,12.148442268371582,756
Unknown,12766,False,12.14182186126709,255
Unknown,14162,False,12.17127799987793,283
Unknown,13665,True,12.171233177185059,273
Unknown,23218,True,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,False,12.119625091552734,427
Unknown,18466,True,12.096010208129883,369
Unknown,26113,True,11.971787452697754,522
Unknown,20780,True,0.0,415
Unknown,36482,True,12.152017593383789,729
Unknown,47057,True,0.0,941
Unknown,35555,True,11.172080993652344,711
Unknown,6405,False,12.096299171447754,128
Unknown,11109,True,0.0,222
Unknown,18331,True,0.0,366
Unknown,10143,True,12.120028495788574,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.16042709350586,116
Unknown,14611,False,11.680281639099121,292
Unknown,2091,True,0.0,41
Unknown,13075,True,0.0,261
Unknown,13505,True,0.0,270
Unknown,30698,False,12.121570587158203,613
Unknown,35147,True,0.0,702
Unknown,91,True,0.0,1
Unknown,3993,True,12.170418739318848,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,12.131376266479492,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,11.946924209594727,990
Unknown,30471,False,11.927107810974121,609
Unknown,29886,False,12.143617630004883,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,False,12.044570922851562,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,11.975334167480469,985
Unknown,24729,True,0.0,494
Unknown,9772,True,0.0,195
Unknown,1991,True,0.0,39
Unknown,3406,False,12.156289100646973,68
Unknown,42341,True,0.0,846
Unknown,885,True,12.069417953491211,17
Unknown,2223,True,11.544878959655762,44
Unknown,25094,True,0.0,501
Unknown,27807,False,12.119665145874023,556
Unknown,17976,True,0.0,359
Unknown,49943,True,0.0,998
Unknown,42010,True,12.171225547790527,840
Unknown,31153,True,0.0,623
Unknown,819,False,12.167304992675781,16
Unknown,36871,True,0.0,737
Unknown,15923,True,0.0,318
Unknown,34551,True,0.0,691
Unknown,21678,False,12.04819393157959,433
Unknown,26085,True,12.123220443725586,521
Unknown,49211,False,11.806516647338867,984
Unknown,12664,False,12.062640190124512,253
Unknown,34350,True,11.950702667236328,687
Unknown,19658,False,12.154590606689453,393
AutoAttack,31502,True,0.0,630
AutoAttack,35000,False,0.0,700
AutoAttack,33014,False,0.0,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,False,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,False,0.0,921
AutoAttack,34638,True,0.0,692
AutoAttack,29785,False,0.0,595
AutoAttack,31826,False,0.0,636
AutoAttack,21816,False,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,True,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,False,0.0,313
AutoAttack,970,True,0.0,19
AutoAttack,46751,False,0.0,935
AutoAttack,37438,False,0.0,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,True,0.0,263
AutoAttack,40603,False,0.0,812
AutoAttack,34749,False,0.0,694
AutoAttack,46520,False,0.0,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,False,0.0,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,False,0.0,756
AutoAttack,12766,False,0.0,255
AutoAttack,14162,False,0.0,283
AutoAttack,13665,False,0.0,273
AutoAttack,23218,True,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,False,0.0,427
AutoAttack,18466,False,0.0,369
AutoAttack,26113,False,0.0,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,False,0.0,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,False,0.0,711
AutoAttack,6405,False,0.0,128
AutoAttack,11109,True,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,False,0.0,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,False,0.0,116
AutoAttack,14611,False,0.0,292
AutoAttack,2091,True,0.0,41
AutoAttack,13075,True,0.0,261
AutoAttack,13505,True,0.0,270
AutoAttack,30698,False,0.0,613
AutoAttack,35147,True,0.0,702
AutoAttack,91,True,0.0,1
AutoAttack,3993,False,0.0,79
AutoAttack,29922,True,0.0,598
AutoAttack,9254,True,0.0,185
AutoAttack,35870,True,0.0,717
AutoAttack,2636,True,0.0,52
AutoAttack,30933,True,0.0,618
AutoAttack,40490,True,0.0,809
AutoAttack,25040,False,0.0,500
AutoAttack,41730,True,0.0,834
AutoAttack,38492,True,0.0,769
AutoAttack,26932,True,0.0,538
AutoAttack,5947,True,0.0,118
AutoAttack,49504,False,0.0,990
AutoAttack,30471,False,0.0,609
AutoAttack,29886,False,0.0,597
AutoAttack,43973,True,0.0,879
AutoAttack,11248,True,0.0,224
AutoAttack,41845,True,0.0,836
AutoAttack,7337,False,0.0,146
AutoAttack,7156,True,0.0,143
AutoAttack,38641,True,0.0,772
AutoAttack,49287,False,0.0,985
AutoAttack,24729,True,0.0,494
AutoAttack,9772,True,0.0,195
AutoAttack,1991,True,0.0,39
AutoAttack,3406,False,0.0,68
AutoAttack,42341,True,0.0,846
AutoAttack,885,False,0.0,17
AutoAttack,2223,False,0.0,44
AutoAttack,25094,True,0.0,501
AutoAttack,27807,False,0.0,556
AutoAttack,17976,True,0.0,359
AutoAttack,49943,True,0.0,998
AutoAttack,42010,False,0.0,840
AutoAttack,31153,True,0.0,623
AutoAttack,819,False,0.0,16
AutoAttack,36871,True,0.0,737
AutoAttack,15923,True,0.0,318
AutoAttack,34551,True,0.0,691
AutoAttack,21678,False,0.0,433
AutoAttack,26085,False,0.0,521
AutoAttack,49211,False,0.0,984
AutoAttack,12664,False,0.0,253
AutoAttack,34350,False,0.0,687
AutoAttack,19658,False,0.0,393
DIFGSM,31502,True,0.0,630
DIFGSM,35000,True,9.192651748657227,700
DIFGSM,33014,True,10.135665893554688,660
DIFGSM,18048,True,0.0,360
DIFGSM,10675,True,10.229008674621582,213
DIFGSM,26020,True,0.0,520
DIFGSM,46082,True,8.756407737731934,921
DIFGSM,34638,True,0.0,692
DIFGSM,29785,True,9.74886417388916,595
DIFGSM,31826,True,8.62939453125,636
DIFGSM,21816,True,9.304155349731445,436
DIFGSM,18778,True,0.0,375
DIFGSM,34990,True,0.0,699
DIFGSM,47602,True,0.0,952
DIFGSM,8167,True,0.0,163
DIFGSM,3570,True,0.0,71
DIFGSM,15664,True,9.632732391357422,313
DIFGSM,970,True,0.0,19
DIFGSM,46751,True,9.017036437988281,935
DIFGSM,37438,False,8.783674240112305,748
DIFGSM,21503,True,9.600837707519531,430
DIFGSM,13152,True,0.0,263
DIFGSM,40603,True,8.65973949432373,812
DIFGSM,34749,False,10.760181427001953,694
DIFGSM,46520,False,9.433180809020996,930
DIFGSM,42340,True,0.0,846
DIFGSM,22878,True,9.37169361114502,457
DIFGSM,42636,True,0.0,852
DIFGSM,12439,True,0.0,248
DIFGSM,37834,True,10.180774688720703,756
DIFGSM,12766,False,10.5049409866333,255
DIFGSM,14162,False,8.919148445129395,283
DIFGSM,13665,True,9.432086944580078,273
DIFGSM,23218,True,0.0,464
DIFGSM,31068,True,0.0,621
DIFGSM,21353,False,9.14013957977295,427
DIFGSM,18466,True,10.149456024169922,369
DIFGSM,26113,False,10.082381248474121,522
DIFGSM,20780,True,0.0,415
DIFGSM,36482,True,9.096494674682617,729
DIFGSM,47057,True,0.0,941
DIFGSM,35555,True,8.601473808288574,711
DIFGSM,6405,False,10.71054458618164,128
DIFGSM,11109,True,0.0,222
DIFGSM,18331,True,0.0,366
DIFGSM,10143,True,10.032419204711914,202
DIFGSM,30860,True,0.0,617
DIFGSM,5805,True,10.618014335632324,116
DIFGSM,14611,True,9.030682563781738,292
DIFGSM,2091,True,0.0,41
DIFGSM,13075,True,0.0,261
DIFGSM,13505,True,0.0,270
DIFGSM,30698,True,9.751280784606934,613
DIFGSM,35147,True,0.0,702
DIFGSM,91,True,0.0,1
DIFGSM,3993,True,8.853813171386719,79
DIFGSM,29922,True,0.0,598
DIFGSM,9254,True,0.0,185
DIFGSM,35870,True,0.0,717
DIFGSM,2636,True,0.0,52
DIFGSM,30933,True,0.0,618
DIFGSM,40490,True,0.0,809
DIFGSM,25040,True,9.80419635772705,500
DIFGSM,41730,True,0.0,834
DIFGSM,38492,True,0.0,769
DIFGSM,26932,True,0.0,538
DIFGSM,5947,True,0.0,118
DIFGSM,49504,False,10.049729347229004,990
DIFGSM,30471,True,9.761354446411133,609
DIFGSM,29886,True,9.737922668457031,597
DIFGSM,43973,True,0.0,879
