Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,0.0,630
Unknown,35000,False,12.170417785644531,700
Unknown,33014,True,12.063851356506348,660
Unknown,18048,True,0.0,360
Unknown,10675,True,0.0,213
Unknown,26020,True,0.0,520
Unknown,46082,True,12.171306610107422,921
Unknown,34638,True,0.0,692
Unknown,29785,True,12.169997215270996,595
Unknown,31826,True,10.574234962463379,636
Unknown,21816,True,0.0,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.169921875,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.401559829711914,935
Unknown,37438,True,12.006857872009277,748
Unknown,21503,False,0.0,430
Unknown,13152,True,0.0,263
Unknown,40603,True,11.071976661682129,812
Unknown,34749,False,11.806453704833984,694
Unknown,46520,False,12.161073684692383,930
Unknown,42340,True,0.0,846
Unknown,22878,False,12.031296730041504,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,11.818467140197754,255
Unknown,14162,True,12.171305656433105,283
Unknown,13665,False,0.0,273
Unknown,23218,True,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,False,12.119659423828125,427
Unknown,18466,True,0.0,369
Unknown,26113,True,0.0,522
Unknown,20780,True,0.0,415
Unknown,36482,True,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,True,0.0,711
Unknown,6405,False,12.096404075622559,128
Unknown,11109,True,0.0,222
Unknown,18331,True,0.0,366
Unknown,10143,True,12.115585327148438,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.160375595092773,116
Unknown,14611,False,11.714347839355469,292
Unknown,2091,True,0.0,41
Unknown,13075,True,0.0,261
Unknown,13505,True,0.0,270
Unknown,30698,False,12.120774269104004,613
Unknown,35147,True,0.0,702
Unknown,91,False,0.0,1
Unknown,3993,True,12.166282653808594,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,False,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,11.973369598388672,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,0.0,990
Unknown,30471,False,11.920555114746094,609
Unknown,29886,False,12.14389419555664,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,False,12.042535781860352,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,12.007935523986816,985
Unknown,24729,True,0.0,494
Unknown,9772,True,0.0,195
Unknown,1991,True,0.0,39
Unknown,3406,True,0.0,68
Unknown,42341,True,0.0,846
Unknown,885,True,12.091353416442871,17
Unknown,2223,True,11.549921989440918,44
Unknown,25094,True,0.0,501
Unknown,27807,False,11.802299499511719,556
Unknown,17976,True,0.0,359
Unknown,49943,True,11.708545684814453,998
Unknown,42010,True,12.166858673095703,840
Unknown,31153,True,0.0,623
Unknown,819,False,12.004913330078125,16
Unknown,36871,True,0.0,737
Unknown,15923,False,12.159432411193848,318
Unknown,34551,True,0.0,691
Unknown,21678,False,12.073354721069336,433
Unknown,26085,True,12.14006233215332,521
Unknown,49211,False,11.81082534790039,984
Unknown,12664,True,12.072904586791992,253
Unknown,34350,True,11.935787200927734,687
Unknown,19658,False,12.153138160705566,393
AutoAttack,31502,True,0.0,630
AutoAttack,35000,False,0.0,700
AutoAttack,33014,False,0.0,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,True,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,False,0.0,921
AutoAttack,34638,True,0.0,692
AutoAttack,29785,False,0.0,595
AutoAttack,31826,False,0.0,636
AutoAttack,21816,True,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,True,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,False,0.0,313
AutoAttack,970,True,0.0,19
AutoAttack,46751,False,0.0,935
AutoAttack,37438,False,0.0,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,True,0.0,263
AutoAttack,40603,False,0.0,812
AutoAttack,34749,False,0.0,694
AutoAttack,46520,False,0.0,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,False,0.0,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,True,0.0,756
AutoAttack,12766,False,0.0,255
AutoAttack,14162,False,0.0,283
AutoAttack,13665,False,0.0,273
AutoAttack,23218,True,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,False,0.0,427
AutoAttack,18466,True,0.0,369
AutoAttack,26113,True,0.0,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,True,0.0,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,True,0.0,711
AutoAttack,6405,False,0.0,128
AutoAttack,11109,True,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,False,0.0,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,False,0.0,116
AutoAttack,14611,False,0.0,292
