Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,12.16920280456543,630
Unknown,35000,True,12.17017650604248,700
Unknown,33014,True,12.040465354919434,660
Unknown,18048,True,0.0,360
Unknown,10675,True,0.0,213
Unknown,26020,True,0.0,520
Unknown,46082,True,12.171306610107422,921
Unknown,34638,True,12.16321849822998,692
Unknown,29785,True,12.17047119140625,595
Unknown,31826,True,10.675466537475586,636
Unknown,21816,True,11.442635536193848,436
Unknown,18778,True,0.0,375
Unknown,34990,True,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.169355392456055,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.400166511535645,935
Unknown,37438,True,12.170973777770996,748
Unknown,21503,True,12.00087833404541,430
Unknown,13152,True,0.0,263
Unknown,40603,True,11.0347900390625,812
Unknown,34749,False,12.125916481018066,694
Unknown,46520,False,12.158655166625977,930
Unknown,42340,True,0.0,846
Unknown,22878,True,12.039830207824707,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,12.151583671569824,756
Unknown,12766,False,12.144472122192383,255
Unknown,14162,True,12.171258926391602,283
Unknown,13665,True,12.171244621276855,273
Unknown,23218,True,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,True,12.12287712097168,427
Unknown,18466,True,12.095593452453613,369
Unknown,26113,True,0.0,522
Unknown,20780,True,0.0,415
Unknown,36482,True,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,True,0.0,711
Unknown,6405,True,12.104753494262695,128
Unknown,11109,True,0.0,222
Unknown,18331,True,0.0,366
Unknown,10143,True,12.118948936462402,202
Unknown,30860,True,0.0,617
Unknown,5805,True,12.161114692687988,116
Unknown,14611,True,11.72325611114502,292
Unknown,2091,True,0.0,41
Unknown,13075,True,12.137606620788574,261
Unknown,13505,True,0.0,270
Unknown,30698,True,12.125381469726562,613
Unknown,35147,True,0.0,702
Unknown,91,True,12.16789436340332,1
Unknown,3993,True,12.170536041259766,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,12.129670143127441,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,11.960033416748047,990
Unknown,30471,True,11.944790840148926,609
Unknown,29886,True,12.146632194519043,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
Unknown,41845,True,0.0,836
Unknown,7337,False,12.038215637207031,146
Unknown,7156,True,0.0,143
Unknown,38641,True,0.0,772
Unknown,49287,False,11.98221206665039,985
Unknown,24729,True,0.0,494
Unknown,9772,True,0.0,195
Unknown,1991,False,12.158263206481934,39
Unknown,3406,True,0.0,68
Unknown,42341,True,0.0,846
Unknown,885,True,12.076303482055664,17
Unknown,2223,True,11.54908561706543,44
Unknown,25094,True,0.0,501
Unknown,27807,True,0.0,556
Unknown,17976,True,0.0,359
Unknown,49943,True,11.701150894165039,998
Unknown,42010,True,12.171306610107422,840
Unknown,31153,True,0.0,623
Unknown,819,False,12.168355941772461,16
Unknown,36871,True,0.0,737
Unknown,15923,True,12.157539367675781,318
Unknown,34551,True,0.0,691
Unknown,21678,False,12.073163032531738,433
Unknown,26085,True,12.130587577819824,521
Unknown,49211,False,11.806764602661133,984
Unknown,12664,False,12.050396919250488,253
Unknown,34350,True,11.947197914123535,687
Unknown,19658,True,12.156322479248047,393
AutoAttack,31502,False,0.0,630
AutoAttack,35000,False,0.0,700
AutoAttack,33014,False,0.0,660
AutoAttack,18048,True,0.0,360
AutoAttack,10675,True,0.0,213
AutoAttack,26020,True,0.0,520
AutoAttack,46082,True,9.394062042236328,921
AutoAttack,34638,False,0.0,692
AutoAttack,29785,True,9.318022727966309,595
AutoAttack,31826,False,0.0,636
AutoAttack,21816,False,0.0,436
AutoAttack,18778,True,0.0,375
AutoAttack,34990,True,0.0,699
AutoAttack,47602,True,0.0,952
AutoAttack,8167,True,0.0,163
AutoAttack,3570,True,0.0,71
AutoAttack,15664,False,0.0,313
AutoAttack,970,True,0.0,19
AutoAttack,46751,True,8.700413703918457,935
AutoAttack,37438,False,0.0,748
AutoAttack,21503,False,0.0,430
AutoAttack,13152,True,0.0,263
AutoAttack,40603,False,0.0,812
AutoAttack,34749,False,0.0,694
AutoAttack,46520,False,0.0,930
AutoAttack,42340,True,0.0,846
AutoAttack,22878,False,0.0,457
AutoAttack,42636,True,0.0,852
AutoAttack,12439,True,0.0,248
AutoAttack,37834,False,0.0,756
AutoAttack,12766,False,0.0,255
AutoAttack,14162,True,9.095678329467773,283
AutoAttack,13665,False,0.0,273
AutoAttack,23218,True,0.0,464
AutoAttack,31068,True,0.0,621
AutoAttack,21353,False,0.0,427
AutoAttack,18466,False,0.0,369
AutoAttack,26113,True,0.0,522
AutoAttack,20780,True,0.0,415
AutoAttack,36482,True,0.0,729
AutoAttack,47057,True,0.0,941
AutoAttack,35555,True,0.0,711
AutoAttack,6405,False,0.0,128
AutoAttack,11109,True,0.0,222
AutoAttack,18331,True,0.0,366
AutoAttack,10143,False,0.0,202
AutoAttack,30860,True,0.0,617
AutoAttack,5805,False,0.0,116
AutoAttack,14611,False,0.0,292
AutoAttack,2091,True,0.0,41
AutoAttack,13075,False,0.0,261
AutoAttack,13505,True,0.0,270
AutoAttack,30698,False,0.0,613
AutoAttack,35147,True,0.0,702
AutoAttack,91,False,0.0,1
AutoAttack,3993,False,0.0,79
AutoAttack,29922,True,0.0,598
AutoAttack,9254,True,0.0,185
AutoAttack,35870,True,0.0,717
AutoAttack,2636,True,0.0,52
AutoAttack,30933,True,0.0,618
AutoAttack,40490,True,0.0,809
AutoAttack,25040,False,0.0,500
AutoAttack,41730,True,0.0,834
AutoAttack,38492,True,0.0,769
AutoAttack,26932,True,0.0,538
AutoAttack,5947,True,0.0,118
AutoAttack,49504,False,0.0,990
AutoAttack,30471,True,9.393425941467285,609
AutoAttack,29886,False,0.0,597
AutoAttack,43973,True,0.0,879
AutoAttack,11248,True,0.0,224
AutoAttack,41845,True,0.0,836
AutoAttack,7337,True,9.382347106933594,146
AutoAttack,7156,True,0.0,143
AutoAttack,38641,True,0.0,772
AutoAttack,49287,True,9.073555946350098,985
AutoAttack,24729,True,0.0,494
AutoAttack,9772,True,0.0,195
AutoAttack,1991,False,0.0,39
AutoAttack,3406,True,0.0,68
AutoAttack,42341,True,0.0,846
AutoAttack,885,False,0.0,17
AutoAttack,2223,False,0.0,44
AutoAttack,25094,True,0.0,501
AutoAttack,27807,True,0.0,556
AutoAttack,17976,True,0.0,359
AutoAttack,49943,False,0.0,998
AutoAttack,42010,False,0.0,840
AutoAttack,31153,True,0.0,623
AutoAttack,819,False,0.0,16
AutoAttack,36871,True,0.0,737
AutoAttack,15923,False,0.0,318
AutoAttack,34551,True,0.0,691
AutoAttack,21678,True,9.545012474060059,433
AutoAttack,26085,False,0.0,521
AutoAttack,49211,True,8.8325834274292,984
AutoAttack,12664,False,0.0,253
AutoAttack,34350,False,0.0,687
AutoAttack,19658,True,9.601924896240234,393
DIFGSM,31502,True,9.856793403625488,630
DIFGSM,35000,True,9.870999336242676,700
DIFGSM,33014,True,9.928933143615723,660
DIFGSM,18048,True,0.0,360
DIFGSM,10675,True,0.0,213
DIFGSM,26020,True,0.0,520
DIFGSM,46082,True,9.580950736999512,921
DIFGSM,34638,True,9.530527114868164,692
DIFGSM,29785,True,10.037498474121094,595
DIFGSM,31826,True,9.158499717712402,636
DIFGSM,21816,True,9.718282699584961,436
DIFGSM,18778,True,0.0,375
DIFGSM,34990,True,0.0,699
DIFGSM,47602,True,0.0,952
DIFGSM,8167,True,0.0,163
DIFGSM,3570,True,0.0,71
DIFGSM,15664,True,9.716889381408691,313
DIFGSM,970,True,0.0,19
DIFGSM,46751,True,9.501842498779297,935
DIFGSM,37438,True,9.46980094909668,748
DIFGSM,21503,True,10.012028694152832,430
DIFGSM,13152,True,0.0,263
DIFGSM,40603,True,9.126402854919434,812
DIFGSM,34749,True,10.548969268798828,694
DIFGSM,46520,True,10.100348472595215,930
DIFGSM,42340,True,0.0,846
DIFGSM,22878,True,9.417170524597168,457
DIFGSM,42636,True,0.0,852
DIFGSM,12439,True,0.0,248
DIFGSM,37834,True,10.025757789611816,756
DIFGSM,12766,True,9.690627098083496,255
DIFGSM,14162,True,9.728748321533203,283
DIFGSM,13665,True,9.550349235534668,273
DIFGSM,23218,True,0.0,464
DIFGSM,31068,True,0.0,621
DIFGSM,21353,True,9.755387306213379,427
DIFGSM,18466,True,10.256034851074219,369
DIFGSM,26113,True,0.0,522
DIFGSM,20780,True,0.0,415
DIFGSM,36482,True,0.0,729
DIFGSM,47057,True,0.0,941
DIFGSM,35555,True,0.0,711
DIFGSM,6405,True,9.718209266662598,128
DIFGSM,11109,True,0.0,222
DIFGSM,18331,True,0.0,366
DIFGSM,10143,True,9.535943984985352,202
DIFGSM,30860,True,0.0,617
DIFGSM,5805,True,10.160841941833496,116
DIFGSM,14611,True,9.580740928649902,292
DIFGSM,2091,True,0.0,41
DIFGSM,13075,True,9.667461395263672,261
DIFGSM,13505,True,0.0,270
DIFGSM,30698,True,9.472887992858887,613
DIFGSM,35147,True,0.0,702
DIFGSM,91,True,9.609789848327637,1
DIFGSM,3993,True,9.466461181640625,79
DIFGSM,29922,True,0.0,598
