Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,0.0,630
Unknown,35000,True,0.0,700
Unknown,33014,False,11.884247779846191,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.139105796813965,213
Unknown,26020,True,0.0,520
Unknown,46082,True,0.0,921
Unknown,34638,True,11.999598503112793,692
Unknown,29785,True,12.17038345336914,595
Unknown,31826,False,0.0,636
Unknown,21816,False,0.0,436
Unknown,18778,True,0.0,375
Unknown,34990,False,0.0,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.005406379699707,313
Unknown,970,True,0.0,19
Unknown,46751,True,11.392287254333496,935
Unknown,37438,False,12.170937538146973,748
Unknown,21503,False,0.0,430
Unknown,13152,True,12.169906616210938,263
Unknown,40603,True,11.055541038513184,812
Unknown,34749,False,0.0,694
Unknown,46520,False,12.163818359375,930
Unknown,42340,True,0.0,846
Unknown,22878,False,12.044323921203613,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,0.0,255
Unknown,14162,False,12.171286582946777,283
Unknown,13665,True,12.1712064743042,273
Unknown,23218,False,0.0,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,0.0,369
Unknown,26113,False,0.0,522
Unknown,20780,True,0.0,415
Unknown,36482,True,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,False,10.844956398010254,711
Unknown,6405,False,0.0,128
Unknown,11109,False,0.0,222
Unknown,18331,True,0.0,366
Unknown,10143,True,0.0,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.160979270935059,116
Unknown,14611,False,11.744940757751465,292
Unknown,2091,True,0.0,41
Unknown,13075,False,12.143550872802734,261
Unknown,13505,False,0.0,270
Unknown,30698,False,11.94669246673584,613
Unknown,35147,True,0.0,702
Unknown,91,True,0.0,1
Unknown,3993,False,0.0,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,False,0.0,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,0.0,990
Unknown,30471,False,0.0,609
Unknown,29886,False,12.148564338684082,597
Unknown,43973,True,0.0,879
Unknown,11248,True,0.0,224
