Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,31502,True,0.0,630
Unknown,35000,True,0.0,700
Unknown,33014,True,12.041421890258789,660
Unknown,18048,True,0.0,360
Unknown,10675,True,12.1394624710083,213
Unknown,26020,True,0.0,520
Unknown,46082,True,0.0,921
Unknown,34638,True,12.164162635803223,692
Unknown,29785,True,12.170173645019531,595
Unknown,31826,True,10.669858932495117,636
Unknown,21816,True,11.441305160522461,436
Unknown,18778,True,0.0,375
Unknown,34990,True,12.164013862609863,699
Unknown,47602,True,0.0,952
Unknown,8167,True,0.0,163
Unknown,3570,True,0.0,71
Unknown,15664,True,12.16889476776123,313
Unknown,970,False,12.159599304199219,19
Unknown,46751,True,11.39819622039795,935
Unknown,37438,True,12.170903205871582,748
Unknown,21503,True,11.99862003326416,430
Unknown,13152,True,12.1696195602417,263
Unknown,40603,True,11.041732788085938,812
Unknown,34749,False,12.127066612243652,694
Unknown,46520,True,12.162288665771484,930
Unknown,42340,True,0.0,846
Unknown,22878,True,12.041329383850098,457
Unknown,42636,True,0.0,852
Unknown,12439,True,0.0,248
Unknown,37834,True,0.0,756
Unknown,12766,False,12.144018173217773,255
Unknown,14162,False,12.171257972717285,283
Unknown,13665,True,12.171223640441895,273
Unknown,23218,False,12.156695365905762,464
Unknown,31068,True,0.0,621
Unknown,21353,True,0.0,427
Unknown,18466,True,0.0,369
Unknown,26113,False,11.960206985473633,522
Unknown,20780,True,0.0,415
Unknown,36482,True,0.0,729
Unknown,47057,True,0.0,941
Unknown,35555,True,11.155075073242188,711
Unknown,6405,False,12.102876663208008,128
Unknown,11109,True,12.160506248474121,222
Unknown,18331,True,0.0,366
Unknown,10143,True,0.0,202
Unknown,30860,True,0.0,617
Unknown,5805,False,12.160139083862305,116
Unknown,14611,True,11.72152328491211,292
Unknown,2091,True,0.0,41
Unknown,13075,True,12.136337280273438,261
Unknown,13505,True,12.124174118041992,270
Unknown,30698,True,12.121537208557129,613
Unknown,35147,True,0.0,702
Unknown,91,True,12.166951179504395,1
Unknown,3993,True,12.170604705810547,79
Unknown,29922,True,0.0,598
Unknown,9254,True,0.0,185
Unknown,35870,True,0.0,717
Unknown,2636,True,0.0,52
Unknown,30933,True,0.0,618
Unknown,40490,True,0.0,809
Unknown,25040,True,12.132149696350098,500
Unknown,41730,True,0.0,834
Unknown,38492,True,0.0,769
Unknown,26932,True,0.0,538
Unknown,5947,True,0.0,118
Unknown,49504,False,11.963449478149414,990
