Identifier,Evaluation,True,2-Norm for Adv.-Image
Unknown,3400,True,0.0
Unknown,41179,False,0.0
Unknown,30687,True,0.0
Unknown,10192,False,10.687368392944336
Unknown,11191,False,12.040874481201172
Unknown,32801,False,0.0
Unknown,40038,False,0.0
Unknown,30476,False,12.086787223815918
Unknown,20133,True,0.0
Unknown,45907,True,12.144858360290527
Unknown,31719,False,0.0
Unknown,24382,False,11.632145881652832
Unknown,8940,True,11.971650123596191
Unknown,9288,True,12.161842346191406
Unknown,47621,False,11.476741790771484
Unknown,6153,False,0.0
Unknown,3345,True,11.8381986618042
Unknown,36604,True,0.0
Unknown,3221,False,10.220942497253418
Unknown,30933,True,0.0
Unknown,35195,False,10.196002960205078
Unknown,25317,True,0.0
Unknown,31290,True,12.165640830993652
Unknown,23710,False,12.129119873046875
Unknown,37396,False,0.0
Unknown,24443,False,10.13464069366455
Unknown,5167,False,0.0
Unknown,1866,False,10.922452926635742
Unknown,9661,True,10.98570442199707
Unknown,38574,True,0.0
Unknown,38296,True,0.0
Unknown,20817,False,0.0
Unknown,42086,True,0.0
Unknown,39734,True,0.0
Unknown,44349,False,0.0
Unknown,26810,True,0.0
Unknown,47525,False,0.0
Unknown,40394,True,0.0
Unknown,16688,False,0.0
Unknown,47561,False,9.770920753479004
Unknown,45418,False,12.167290687561035
Unknown,10705,False,10.226041793823242
Unknown,2042,True,0.0
Unknown,613,False,12.168784141540527
Unknown,47436,False,11.138740539550781
Unknown,6122,True,0.0
Unknown,39584,False,8.684835433959961
Unknown,21553,False,10.237794876098633
Unknown,11203,True,11.850802421569824
Unknown,12521,True,12.13119888305664
Unknown,42430,True,11.12336540222168
Unknown,24959,True,0.0
Unknown,30927,True,0.0
Unknown,17820,True,0.0
Unknown,26873,False,12.055702209472656
Unknown,43229,True,0.0
Unknown,23127,True,0.0
Unknown,7555,False,0.0
Unknown,17260,True,0.0
Unknown,39819,True,0.0
Unknown,11980,True,9.061081886291504
Unknown,4371,False,0.0
Unknown,44946,True,12.10254192352295
Unknown,12178,False,11.591937065124512
Unknown,34773,True,0.0
Unknown,16110,False,12.149959564208984
Unknown,32197,True,0.0
Unknown,7686,False,12.17025375366211
Unknown,20251,False,0.0
Unknown,33139,False,12.078739166259766
Unknown,23177,False,0.0
Unknown,33688,True,0.0
Unknown,31189,True,0.0
Unknown,20112,False,11.30930233001709
Unknown,14993,True,12.171125411987305
Unknown,29840,True,0.0
Unknown,34496,True,0.0
Unknown,3740,False,10.951090812683105
Unknown,37680,True,11.702816009521484
Unknown,20320,True,0.0
Unknown,1533,False,11.331661224365234
Unknown,42937,False,11.450701713562012
Unknown,24002,True,12.116968154907227
Unknown,17196,True,0.0
Unknown,32789,True,0.0
Unknown,34487,True,0.0
Unknown,46554,False,11.68411636352539
Unknown,37772,False,0.0
Unknown,44443,True,0.0
Unknown,11251,False,0.0
Unknown,19067,True,0.0
Unknown,35480,False,0.0
Unknown,21324,False,10.369349479675293
Unknown,15764,True,0.0
Unknown,48167,False,0.0
Unknown,1796,False,11.926446914672852
Unknown,19936,False,0.0
Unknown,31658,True,0.0
Unknown,11746,True,12.167900085449219
Unknown,35086,False,9.399454116821289
AutoAttack,3400,True,0.0
AutoAttack,41179,False,0.0
AutoAttack,30687,True,0.0
AutoAttack,10192,False,0.0
AutoAttack,11191,False,0.0
AutoAttack,32801,False,0.0
AutoAttack,40038,False,0.0
AutoAttack,30476,False,0.0
AutoAttack,20133,True,0.0
AutoAttack,45907,True,12.1184720993042
AutoAttack,31719,False,0.0
AutoAttack,24382,False,11.625224113464355
AutoAttack,8940,False,0.0
AutoAttack,9288,False,0.0
AutoAttack,47621,False,0.0
AutoAttack,6153,False,0.0
AutoAttack,3345,False,0.0
AutoAttack,36604,True,0.0
AutoAttack,3221,False,0.0
AutoAttack,30933,True,0.0
AutoAttack,35195,False,0.0
AutoAttack,25317,True,0.0
AutoAttack,31290,False,0.0
AutoAttack,23710,False,0.0
AutoAttack,37396,False,0.0
AutoAttack,24443,False,0.0
AutoAttack,5167,False,0.0
AutoAttack,1866,False,0.0
AutoAttack,9661,False,0.0
AutoAttack,38574,True,0.0
AutoAttack,38296,True,0.0
AutoAttack,20817,False,0.0
AutoAttack,42086,True,0.0
AutoAttack,39734,True,0.0
AutoAttack,44349,False,0.0
AutoAttack,26810,True,0.0
AutoAttack,47525,False,0.0
AutoAttack,40394,True,0.0
AutoAttack,16688,False,0.0
AutoAttack,47561,False,0.0
AutoAttack,45418,False,0.0
AutoAttack,10705,False,0.0
AutoAttack,2042,True,0.0
AutoAttack,613,False,0.0
AutoAttack,47436,False,0.0
AutoAttack,6122,True,0.0
AutoAttack,39584,False,0.0
AutoAttack,21553,False,0.0
AutoAttack,11203,False,0.0
AutoAttack,12521,False,0.0
AutoAttack,42430,False,0.0
AutoAttack,24959,True,0.0
AutoAttack,30927,True,0.0
AutoAttack,17820,True,0.0
AutoAttack,26873,False,0.0
AutoAttack,43229,True,0.0
AutoAttack,23127,True,0.0
AutoAttack,7555,False,0.0
AutoAttack,17260,True,0.0
AutoAttack,39819,True,0.0
AutoAttack,11980,False,0.0
AutoAttack,4371,False,0.0
AutoAttack,44946,False,0.0
AutoAttack,12178,False,0.0
AutoAttack,34773,True,0.0
AutoAttack,16110,False,0.0
AutoAttack,32197,True,0.0
AutoAttack,7686,False,0.0
AutoAttack,20251,False,0.0
AutoAttack,33139,False,0.0
AutoAttack,23177,False,0.0
AutoAttack,33688,True,0.0
AutoAttack,31189,True,0.0
AutoAttack,20112,False,0.0
AutoAttack,14993,False,0.0
AutoAttack,29840,True,0.0
AutoAttack,34496,True,0.0
AutoAttack,3740,False,0.0
