Identifier,Evaluation,True,2-Norm for Adv.-Image
Unknown,3400,True,0.0
Unknown,41179,False,11.58574104309082
Unknown,30687,True,0.0
Unknown,10192,False,10.690634727478027
Unknown,11191,True,12.0435791015625
Unknown,32801,True,11.958395957946777
Unknown,40038,False,11.492746353149414
Unknown,30476,True,0.0
Unknown,20133,True,0.0
Unknown,45907,True,12.17128849029541
Unknown,31719,True,12.133523941040039
Unknown,24382,True,0.0
Unknown,8940,False,11.942612648010254
Unknown,9288,True,12.160591125488281
Unknown,47621,False,11.954893112182617
Unknown,6153,False,12.137842178344727
Unknown,3345,True,12.16181468963623
Unknown,36604,True,0.0
Unknown,3221,True,12.163468360900879
Unknown,30933,True,0.0
Unknown,35195,True,12.019603729248047
Unknown,25317,True,0.0
Unknown,31290,False,12.16419506072998
Unknown,23710,False,12.133886337280273
Unknown,37396,True,0.0
Unknown,24443,False,12.041629791259766
Unknown,5167,False,12.16356086730957
Unknown,1866,False,12.01247501373291
Unknown,9661,True,0.0
Unknown,38574,True,0.0
Unknown,38296,True,0.0
Unknown,20817,False,11.751673698425293
Unknown,42086,True,0.0
Unknown,39734,True,0.0
Unknown,44349,False,12.099963188171387
Unknown,26810,True,0.0
Unknown,47525,True,0.0
Unknown,40394,True,0.0
Unknown,16688,True,11.272808074951172
Unknown,47561,False,11.617191314697266
Unknown,45418,True,12.16672420501709
Unknown,10705,False,12.166635513305664
Unknown,2042,True,0.0
Unknown,613,False,12.167987823486328
Unknown,47436,False,12.011486053466797
Unknown,6122,True,0.0
Unknown,39584,False,11.566313743591309
Unknown,21553,True,12.171178817749023
Unknown,11203,False,11.848750114440918
Unknown,12521,True,0.0
Unknown,42430,True,11.095632553100586
Unknown,24959,True,0.0
Unknown,30927,True,0.0
Unknown,17820,True,0.0
Unknown,26873,False,12.12260627746582
Unknown,43229,True,0.0
Unknown,23127,True,0.0
Unknown,7555,True,12.14277172088623
Unknown,17260,True,0.0
Unknown,39819,True,0.0
Unknown,11980,True,0.0
Unknown,4371,False,12.170995712280273
Unknown,44946,True,0.0
Unknown,12178,False,12.094846725463867
Unknown,34773,True,0.0
Unknown,16110,False,12.142135620117188
Unknown,32197,True,0.0
Unknown,7686,True,12.170015335083008
Unknown,20251,True,11.587413787841797
Unknown,33139,True,12.063775062561035
Unknown,23177,False,11.974794387817383
Unknown,33688,True,0.0
Unknown,31189,True,0.0
Unknown,20112,False,11.97504997253418
Unknown,14993,True,12.171140670776367
Unknown,29840,True,0.0
Unknown,34496,True,0.0
Unknown,3740,True,12.117408752441406
Unknown,37680,True,11.673300743103027
Unknown,20320,True,0.0
Unknown,1533,True,0.0
Unknown,42937,True,11.43446159362793
Unknown,24002,True,12.112996101379395
Unknown,17196,True,0.0
Unknown,32789,True,11.971920013427734
Unknown,34487,True,0.0
Unknown,46554,True,0.0
Unknown,37772,True,12.168126106262207
Unknown,44443,True,0.0
Unknown,11251,True,0.0
Unknown,19067,True,0.0
Unknown,35480,True,0.0
Unknown,21324,False,10.393585205078125
Unknown,15764,True,0.0
Unknown,48167,False,12.094605445861816
Unknown,1796,True,0.0
Unknown,19936,False,12.135966300964355
Unknown,31658,True,0.0
Unknown,11746,True,0.0
Unknown,35086,True,12.119272232055664
AutoAttack,3400,True,0.0
AutoAttack,41179,False,0.0
AutoAttack,30687,True,0.0
AutoAttack,10192,False,0.0
AutoAttack,11191,False,0.0
AutoAttack,32801,False,0.0
AutoAttack,40038,False,0.0
AutoAttack,30476,True,0.0
AutoAttack,20133,True,0.0
AutoAttack,45907,False,0.0
AutoAttack,31719,False,0.0
AutoAttack,24382,True,0.0
AutoAttack,8940,False,0.0
AutoAttack,9288,False,0.0
AutoAttack,47621,False,0.0
AutoAttack,6153,False,0.0
AutoAttack,3345,False,0.0
AutoAttack,36604,True,0.0
AutoAttack,3221,False,0.0
AutoAttack,30933,True,0.0
AutoAttack,35195,False,0.0
AutoAttack,25317,True,0.0
AutoAttack,31290,False,0.0
AutoAttack,23710,False,0.0
AutoAttack,37396,True,0.0
AutoAttack,24443,False,0.0
AutoAttack,5167,False,0.0
AutoAttack,1866,False,0.0
AutoAttack,9661,True,0.0
AutoAttack,38574,True,0.0
AutoAttack,38296,True,0.0
AutoAttack,20817,False,0.0
AutoAttack,42086,True,0.0
AutoAttack,39734,True,0.0
AutoAttack,44349,False,0.0
AutoAttack,26810,True,0.0
AutoAttack,47525,True,0.0
AutoAttack,40394,True,0.0
AutoAttack,16688,False,0.0
AutoAttack,47561,False,0.0
AutoAttack,45418,False,0.0
AutoAttack,10705,False,0.0
AutoAttack,2042,True,0.0
AutoAttack,613,False,0.0
AutoAttack,47436,False,0.0
AutoAttack,6122,True,0.0
AutoAttack,39584,False,0.0
AutoAttack,21553,False,0.0
AutoAttack,11203,False,0.0
AutoAttack,12521,True,0.0
AutoAttack,42430,False,0.0
AutoAttack,24959,True,0.0
AutoAttack,30927,True,0.0
AutoAttack,17820,True,0.0
AutoAttack,26873,False,0.0
AutoAttack,43229,True,0.0
AutoAttack,23127,True,0.0
