Identifier,Evaluation,True,2-Norm for Adv.-Image
Unknown,3400,True,0.0
Unknown,41179,True,0.0
Unknown,30687,True,0.0
Unknown,10192,False,10.721636772155762
Unknown,11191,True,12.044657707214355
Unknown,32801,True,11.789740562438965
Unknown,40038,False,11.50348949432373
Unknown,30476,True,12.090242385864258
Unknown,20133,True,0.0
Unknown,45907,True,12.17128849029541
Unknown,31719,False,0.0
Unknown,24382,False,11.640993118286133
Unknown,8940,False,11.947785377502441
Unknown,9288,True,12.162104606628418
Unknown,47621,False,0.0
Unknown,6153,False,0.0
Unknown,3345,True,12.162250518798828
Unknown,36604,True,0.0
Unknown,3221,True,12.165590286254883
Unknown,30933,True,0.0
Unknown,35195,True,12.00887680053711
Unknown,25317,True,0.0
Unknown,31290,False,12.166153907775879
Unknown,23710,False,12.136157989501953
Unknown,37396,True,0.0
Unknown,24443,False,12.062341690063477
Unknown,5167,False,12.163278579711914
Unknown,1866,False,12.009713172912598
Unknown,9661,True,12.162308692932129
Unknown,38574,True,0.0
Unknown,38296,True,0.0
Unknown,20817,False,0.0
Unknown,42086,True,0.0
Unknown,39734,True,0.0
Unknown,44349,False,12.104392051696777
Unknown,26810,True,0.0
Unknown,47525,False,0.0
Unknown,40394,True,12.169896125793457
Unknown,16688,False,0.0
Unknown,47561,False,11.628080368041992
Unknown,45418,False,12.166977882385254
Unknown,10705,False,12.003453254699707
Unknown,2042,True,0.0
Unknown,613,False,12.16747760772705
Unknown,47436,False,12.009439468383789
Unknown,6122,True,0.0
Unknown,39584,False,0.0
Unknown,21553,True,12.171157836914062
Unknown,11203,False,11.85670280456543
Unknown,12521,False,12.125846862792969
Unknown,42430,True,0.0
Unknown,24959,True,0.0
Unknown,30927,True,0.0
Unknown,17820,True,0.0
Unknown,26873,False,12.117704391479492
Unknown,43229,True,0.0
Unknown,23127,True,0.0
Unknown,7555,False,11.977852821350098
Unknown,17260,True,0.0
Unknown,39819,True,0.0
Unknown,11980,True,11.853046417236328
Unknown,4371,False,12.171161651611328
Unknown,44946,True,0.0
Unknown,12178,False,12.103387832641602
Unknown,34773,True,0.0
Unknown,16110,False,12.154415130615234
Unknown,32197,True,0.0
