Identifier,Evaluation,True,2-Norm for Adv.-Image
Unknown,3400,True,0.0
Unknown,41179,True,0.0
Unknown,30687,True,0.0
Unknown,10192,True,10.702110290527344
Unknown,11191,True,0.0
Unknown,32801,True,11.961713790893555
Unknown,40038,False,11.521073341369629
Unknown,30476,True,0.0
Unknown,20133,True,0.0
Unknown,45907,True,12.171305656433105
Unknown,31719,False,12.134284019470215
Unknown,24382,True,11.577471733093262
Unknown,8940,False,11.960246086120605
Unknown,9288,True,0.0
Unknown,47621,False,11.967996597290039
Unknown,6153,False,12.143255233764648
Unknown,3345,True,12.160637855529785
Unknown,36604,True,0.0
Unknown,3221,True,0.0
Unknown,30933,True,0.0
Unknown,35195,True,12.016413688659668
Unknown,25317,True,0.0
Unknown,31290,True,12.164618492126465
Unknown,23710,False,12.137334823608398
Unknown,37396,True,0.0
Unknown,24443,False,12.038103103637695
Unknown,5167,True,12.164395332336426
Unknown,1866,True,12.018507957458496
Unknown,9661,True,0.0
Unknown,38574,True,0.0
Unknown,38296,True,0.0
Unknown,20817,True,11.75749397277832
Unknown,42086,True,0.0
Unknown,39734,True,0.0
Unknown,44349,True,12.101431846618652
Unknown,26810,True,0.0
Unknown,47525,True,0.0
Unknown,40394,True,0.0
Unknown,16688,True,11.291495323181152
Unknown,47561,True,11.594427108764648
Unknown,45418,True,12.168280601501465
Unknown,10705,False,12.166984558105469
Unknown,2042,True,0.0
Unknown,613,False,12.168290138244629
Unknown,47436,True,12.015130043029785
Unknown,6122,True,0.0
Unknown,39584,True,11.559764862060547
Unknown,21553,True,12.171198844909668
Unknown,11203,False,11.87130355834961
Unknown,12521,True,12.118229866027832
Unknown,42430,True,11.133832931518555
Unknown,24959,True,0.0
Unknown,30927,True,0.0
Unknown,17820,True,0.0
Unknown,26873,False,12.1170072555542
Unknown,43229,True,0.0
Unknown,23127,True,0.0
Unknown,7555,True,12.142374038696289
Unknown,17260,True,0.0
Unknown,39819,True,0.0
Unknown,11980,True,0.0
Unknown,4371,True,12.170999526977539
Unknown,44946,True,0.0
Unknown,12178,False,12.099287986755371
Unknown,34773,True,0.0
Unknown,16110,True,12.147217750549316
Unknown,32197,True,0.0
