Identifier;Evaluation;Tricked;2-Norm for Adv.-Image;Class;filename;match_count
JSMA;3173;False;2,645777702331543;6,0;SCP Default.csv;
JSMA;3173;False;1,8685365915298464;6,0;Unstruct Adv.csv;
JSMA;3173;False;1,7297667264938354;6,0;SCP Adv.csv;
JSMA;3173;False;0,517620325088501;6,0;Trivial Adv.csv;
JSMA;3173;False;2,238109350204468;6,0;Unstruct Default.csv;
JSMA;3173;False;2,335115432739258;6,0;Trivial Default.csv;
JSMA;3173;True;2,4531021118164062;6,0;Base Model.csv;6,0
JSMA;3365;False;2,4491353034973145;6,0;SCP Default.csv;
JSMA;3365;False;2,0282952785491943;6,0;Unstruct Adv.csv;
JSMA;3365;False;2,5287060737609863;6,0;SCP Adv.csv;
JSMA;3365;False;1,7873611450195312;6,0;Trivial Adv.csv;
JSMA;3365;False;2,52538537979126;6,0;Unstruct Default.csv;
JSMA;3365;False;1,9863276481628416;6,0;Trivial Default.csv;
JSMA;3365;True;2,8284270763397217;6,0;Base Model.csv;6,0
OnePixel;3173;False;2,462139129638672;6,0;SCP Default.csv;
OnePixel;3173;False;2,781512975692749;6,0;Unstruct Adv.csv;
OnePixel;3173;False;2,535515069961548;6,0;SCP Adv.csv;
OnePixel;3173;False;2,8068721294403076;6,0;Trivial Adv.csv;
OnePixel;3173;False;2,849000930786133;6,0;Unstruct Default.csv;
OnePixel;3173;False;2,2647624015808105;6,0;Trivial Default.csv;
OnePixel;3173;True;2,8971426486968994;6,0;Base Model.csv;6,0
OnePixel;6655;False;2,2621145248413086;9,0;SCP Default.csv;
OnePixel;6655;False;2,799179792404175;9,0;Unstruct Adv.csv;
OnePixel;6655;False;2,43340802192688;9,0;SCP Adv.csv;
OnePixel;6655;False;2,5262291431427;9,0;Trivial Adv.csv;
OnePixel;6655;False;2,322875499725342;9,0;Unstruct Default.csv;
OnePixel;6655;False;2,6397149562835693;9,0;Trivial Default.csv;
OnePixel;6655;True;2,994787216186523;9,0;Base Model.csv;6,0
PGD;3142;False;2,4888930320739746;2,0;SCP Default.csv;
PGD;3142;False;1,875556707382202;2,0;Unstruct Adv.csv;
PGD;3142;False;1,680963158607483;2,0;SCP Adv.csv;
PGD;3142;False;1,9023796319961548;2,0;Trivial Adv.csv;
PGD;3142;False;2,4410104751586914;2,0;Unstruct Default.csv;
PGD;3142;False;2,450490951538086;2,0;Trivial Default.csv;
PGD;3142;True;2,4473369121551514;2,0;Base Model.csv;6,0
