Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
BPDA,31502,True,12.169312477111816,630,SCP Default.csv,
BPDA,33014,True,12.035319328308104,660,SCP Default.csv,
BPDA,34638,True,12.164050102233888,692,SCP Default.csv,
BPDA,29785,True,12.17044162750244,595,SCP Default.csv,
BPDA,21816,True,11.437164306640623,436,SCP Default.csv,
BPDA,15664,True,12.170044898986816,313,SCP Default.csv,
BPDA,46751,True,11.393261909484863,935,SCP Default.csv,
BPDA,37438,True,12.17099666595459,748,SCP Default.csv,
BPDA,40603,True,11.04725170135498,812,SCP Default.csv,
BPDA,13665,True,12.171268463134766,273,SCP Default.csv,
BPDA,6405,True,12.103201866149902,128,SCP Default.csv,
BPDA,10143,True,12.11992645263672,202,SCP Default.csv,
BPDA,14611,True,11.715922355651855,292,SCP Default.csv,
BPDA,13075,True,12.136937141418455,261,SCP Default.csv,
BPDA,91,True,12.167154312133787,1,SCP Default.csv,
BPDA,3993,True,12.170703887939451,79,SCP Default.csv,
BPDA,25040,True,12.131214141845703,500,SCP Default.csv,
BPDA,49943,True,11.701510429382324,998,SCP Default.csv,
BPDA,42010,True,12.171225547790527,840,SCP Default.csv,
BPDA,15923,True,12.157769203186035,318,SCP Default.csv,
BPDA,26085,True,12.129075050354004,521,SCP Default.csv,
AutoAttack,29785,True,8.606475830078125,595,SCP Default.csv,
AutoAttack,46751,True,8.521378517150879,935,SCP Default.csv,
AutoAttack,14162,True,8.344222068786621,283,SCP Default.csv,
AutoAttack,30471,True,8.38573169708252,609,SCP Default.csv,
AutoAttack,7337,True,8.88329792022705,146,SCP Default.csv,
AutoAttack,49287,True,8.743703842163086,985,SCP Default.csv,
AutoAttack,21678,True,8.293635368347168,433,SCP Default.csv,
DIFGSM,31502,True,9.268088340759276,630,SCP Default.csv,
DIFGSM,33014,True,9.297746658325195,660,SCP Default.csv,
DIFGSM,34638,True,9.012873649597168,692,SCP Default.csv,
DIFGSM,29785,True,9.195762634277344,595,SCP Default.csv,
DIFGSM,21816,True,8.827261924743652,436,SCP Default.csv,
DIFGSM,15664,True,9.01084804534912,313,SCP Default.csv,
DIFGSM,46751,True,9.022311210632324,935,SCP Default.csv,
DIFGSM,37438,True,8.99953556060791,748,SCP Default.csv,
DIFGSM,21503,True,9.273200035095217,430,SCP Default.csv,
DIFGSM,40603,True,8.43594741821289,812,SCP Default.csv,
DIFGSM,34749,True,9.597880363464355,694,SCP Default.csv,
DIFGSM,46520,True,9.204564094543455,930,SCP Default.csv,
DIFGSM,22878,True,8.790242195129395,457,SCP Default.csv,
DIFGSM,12766,True,9.22011661529541,255,SCP Default.csv,
DIFGSM,14162,True,8.95151138305664,283,SCP Default.csv,
DIFGSM,13665,True,8.84792709350586,273,SCP Default.csv,
DIFGSM,6405,True,9.49101448059082,128,SCP Default.csv,
DIFGSM,10143,True,8.989367485046387,202,SCP Default.csv,
DIFGSM,5805,True,9.581978797912598,116,SCP Default.csv,
DIFGSM,14611,True,9.202958106994627,292,SCP Default.csv,
DIFGSM,13075,True,9.010820388793944,261,SCP Default.csv,
DIFGSM,30698,True,9.558640480041504,613,SCP Default.csv,
DIFGSM,91,True,9.137876510620115,1,SCP Default.csv,
DIFGSM,3993,True,8.976076126098633,79,SCP Default.csv,
DIFGSM,25040,True,9.14142894744873,500,SCP Default.csv,
DIFGSM,49504,True,9.28010368347168,990,SCP Default.csv,
DIFGSM,30471,True,9.14944553375244,609,SCP Default.csv,
DIFGSM,29886,True,8.928191184997559,597,SCP Default.csv,
DIFGSM,7337,True,9.48099422454834,146,SCP Default.csv,
DIFGSM,49287,True,9.483449935913086,985,SCP Default.csv,
DIFGSM,1991,True,9.13898754119873,39,SCP Default.csv,
DIFGSM,885,True,9.008702278137209,17,SCP Default.csv,
DIFGSM,2223,True,8.824658393859863,44,SCP Default.csv,
DIFGSM,49943,True,8.777861595153809,998,SCP Default.csv,
DIFGSM,42010,True,9.342540740966797,840,SCP Default.csv,
DIFGSM,819,True,9.289056777954102,16,SCP Default.csv,
DIFGSM,15923,True,9.241379737854004,318,SCP Default.csv,
DIFGSM,21678,True,9.16364574432373,433,SCP Default.csv,
DIFGSM,26085,True,9.300921440124512,521,SCP Default.csv,
DIFGSM,12664,True,9.262466430664062,253,SCP Default.csv,
DIFGSM,34350,True,9.199981689453123,687,SCP Default.csv,
DIFGSM,19658,True,9.511322021484377,393,SCP Default.csv,
MIFGSM,31502,True,9.79841136932373,630,SCP Default.csv,
MIFGSM,33014,True,9.764284133911133,660,SCP Default.csv,
MIFGSM,34638,True,9.538233757019045,692,SCP Default.csv,
MIFGSM,29785,True,9.748353004455566,595,SCP Default.csv,
MIFGSM,21816,True,9.32353401184082,436,SCP Default.csv,
MIFGSM,15664,True,9.58066177368164,313,SCP Default.csv,
MIFGSM,46751,True,9.317180633544922,935,SCP Default.csv,
MIFGSM,37438,True,9.35153102874756,748,SCP Default.csv,
MIFGSM,21503,True,10.07507610321045,430,SCP Default.csv,
MIFGSM,40603,True,8.754127502441406,812,SCP Default.csv,
MIFGSM,34749,True,10.338326454162598,694,SCP Default.csv,
MIFGSM,46520,True,9.867470741271973,930,SCP Default.csv,
