Base Model;SCP Adv;SCP Default;Trivial Adv;Trivial Default;Unstruct Adv;Unstruct Default
0.98387897;0.034136057;0.7789469;0.07534583;0.5910053;0.035577383;0.821641
0.97011673;0.0659272;0.7916894;0.11706206;0.57153636;0.1862359;0.8864051
0.9481903;0.0;0.7496066;0.15189044;0.6371079;0.1688061;0.89787394
0.9370348;0.019326525;0.79357666;0.14083984;0.6579022;0.16614605;0.8959502
0.90468454;0.0;0.7630379;0.17557353;0.7114311;0.08349542;0.8566968
0.95154446;0.017862126;0.8431585;0.11266518;0.6765961;0.0990241;0.9034096
0.9636862;0.009776085;0.84019995;0.14196101;0.6844055;0.09577027;0.8960773
0.96862465;0.0030395824;0.8170408;0.12213799;0.66280085;0.092339605;0.8987754
0.96887106;0.004225659;0.81376594;0.14033037;0.66175735;0.10789168;0.89390457
0.9567521;0.0;0.8312588;0.11419154;0.6518566;0.04027217;0.91756266
0.9564036;0.0;0.8284993;0.10626859;0.6443588;0.05141607;0.9144814
0.957949;0.005120044;0.8150743;0.09568095;0.636847;0.060884297;0.91754013
0.9533339;0.0112519;0.81270987;0.09563419;0.61120206;0.10937552;0.9097908
0.95209646;0.019394841;0.8476887;0.09950563;0.63971436;0.030649872;0.931757
0.94554603;0.00032171607;0.81759894;0.093151845;0.6286979;0.035008676;0.92491305
0.94574296;0.0054774494;0.8254533;0.091625035;0.6361314;0.04508545;0.92539746
0.92083603;0.0063372254;0.86763644;0.13040689;0.6897603;0.0045522633;0.9432212
